  LS    nlcreq                        Temp                       Time    
  1     0.15617057257600E-15          150.0000                       -1301.7181818182
  2     0.93348283543632E-02           96.0000                       -1172.2181818182
  3     0.13446852559557E-01           25.0000                       -1001.8181818182
  4     0.14215717018758E-01           25.0000                          -1.8181818182
  5     0.14215760766975E-01           30.0000                          -0.9090909091
  6     0.14215770715870E-01           35.0000                           0.0000000000
  7     0.14215780531449E-01           40.0000                           0.9090909091
  8     0.14215813965968E-01           45.0000                           1.8181818182
  9     0.14215959731597E-01           50.0000                           2.7272727273
  10    0.14216592839321E-01           55.0000                           3.6363636364
  11    0.14219035850200E-01           60.0000                           4.5454545455
  12    0.14227058535376E-01           65.0000                           5.4545454545
  13    0.14248444321436E-01           70.0000                           6.3636363636
  14    0.14293781913696E-01           75.0000                           7.2727272727
  15    0.14371688224260E-01           80.0000                           8.1818181818
  16    0.14481733188974E-01           85.0000                           9.0909090909
  17    0.14667351372830E-01           90.0000                          10.0000000000
  18    0.15062162817141E-01           95.0000                          10.9090909091
  19    0.15642463980767E-01          100.0000                          11.8181818182
  20    0.16211549005501E-01          105.0000                          12.7272727273
  21    0.16678406037739E-01          110.0000                          13.6363636364
  22    0.17040247865594E-01          115.0000                          14.5454545454
  23    0.17304083317592E-01          120.0000                          15.4545454545
  24    0.17673695621610E-01          125.0000                          16.3636363636
  25    0.19612396036925E-01          125.0000                        1786.3636363636
  26    0.19612452547330E-01          119.5000                        1787.3636363636
  27    0.19629972890926E-01          114.0000                        1788.3636363636
  28    0.19850058075540E-01          108.5000                        1789.3636363636
  29    0.20493013339520E-01          103.0000                        1790.3636363636
  30    0.21406665528556E-01           97.5000                        1791.3636363636
  31    0.22355780500321E-01           92.0000                        1792.3636363636
  32    0.23016800603542E-01           86.5000                        1793.3636363636
  33    0.23387824150583E-01           81.0000                        1794.3636363636
  34    0.23671946652734E-01           75.5000                        1795.3636363636
  35    0.23914408726036E-01           70.0000                        1796.3636363636
  36    0.24133845271286E-01           64.5000                        1797.3636363636
  37    0.24338412821376E-01           59.0000                        1798.3636363636
  38    0.24532030949505E-01           53.5000                        1799.3636363636
  39    0.24716821332953E-01           48.0000                        1800.3636363636
  40    0.24893920001950E-01           42.5000                        1801.3636363636
  41    0.25064042851834E-01           37.0000                        1802.3636363636
  42    0.25227509126932E-01           31.5000                        1803.3636363636
  43    0.25384506423400E-01           26.0000                        1804.3636363636
  44    0.25532397822492E-01           20.5000                        1805.3636363636
  45    0.25671667621845E-01           15.0000                        1806.3636363636
  46    0.25803122904453E-01            9.5000                        1807.3636363636
  47    0.25927225749192E-01            4.0000                        1808.3636363636
  48    0.26044175086001E-01           -1.5000                        1809.3636363636
  49    0.26154041494317E-01           -7.0000                        1810.3636363636
  50    0.26256834925220E-01          -12.5000                        1811.3636363636
  51    0.26352538068491E-01          -18.0000                        1812.3636363636
  52    0.26441106643148E-01          -23.5000                        1813.3636363636
  53    0.26522496651781E-01          -29.0000                        1814.3636363636
  54    0.26596678967514E-01          -34.5000                        1815.3636363636
  55    0.26663654048785E-01          -40.0000                        1816.3636363636
  56    0.28318370762619E-01          -40.0000                        3586.3636363636
  57    0.28318511080188E-01          -33.5000                        3587.5454545454
  58    0.28318591694472E-01          -27.0000                        3588.7272727272
  59    0.28318632656629E-01          -20.5000                        3589.9090909091
  60    0.28318655044510E-01          -14.0000                        3591.0909090909
  61    0.28318679844586E-01           -7.5000                        3592.2727272727
  62    0.28318740325819E-01           -1.0000                        3593.4545454545
  63    0.28318924647558E-01            5.5000                        3594.6363636363
  64    0.28319472617083E-01           12.0000                        3595.8181818181
  65    0.28321035537019E-01           18.5000                        3596.9999999999
  66    0.28325558211982E-01           25.0000                        3598.1818181817
  67    0.28333613991726E-01           30.0000                        3599.0909090908
  68    0.28351157655993E-01           35.0000                        3599.9999999999
  69    0.28385722759857E-01           40.0000                        3600.9090909090
  70    0.28445635851116E-01           45.0000                        3601.8181818181
  71    0.28537551275778E-01           50.0000                        3602.7272727272
  72    0.28662132932895E-01           55.0000                        3603.6363636363
  73    0.28813753417864E-01           60.0000                        3604.5454545454
  74    0.28984440035933E-01           65.0000                        3605.4545454544
  75    0.29166763031699E-01           70.0000                        3606.3636363635
  76    0.29354961339605E-01           75.0000                        3607.2727272726
  77    0.29544783216089E-01           80.0000                        3608.1818181817
  78    0.29729404529392E-01           85.0000                        3609.0909090908
  79    0.29960644103377E-01           90.0000                        3609.9999999999
  80    0.30364061404683E-01           95.0000                        3610.9090909090
  81    0.30899727439639E-01          100.0000                        3611.8181818181
  82    0.31397529878753E-01          105.0000                        3612.7272727272
  83    0.31827085612293E-01          110.0000                        3613.6363636363
  84    0.32240444286859E-01          115.0000                        3614.5454545453
  85    0.32666570271325E-01          120.0000                        3615.4545454544
  86    0.33288231661098E-01          125.0000                        3616.3636363635
  87    0.36410860901080E-01          125.0000                        5386.3636363635
  88    0.36410893871139E-01          119.5000                        5387.3636363635
  89    0.36426257969495E-01          114.0000                        5388.3636363635
  90    0.36636710250892E-01          108.5000                        5389.3636363635
  91    0.37262761157941E-01          103.0000                        5390.3636363635
  92    0.38159307020711E-01           97.5000                        5391.3636363635
  93    0.39096008989178E-01           92.0000                        5392.3636363635
  94    0.39750462502062E-01           86.5000                        5393.3636363635
  95    0.40118506338049E-01           81.0000                        5394.3636363635
  96    0.40400595905057E-01           75.5000                        5395.3636363635
  97    0.40641530848555E-01           70.0000                        5396.3636363635
  98    0.40859741540866E-01           64.5000                        5397.3636363635
  99    0.41063286177342E-01           59.0000                        5398.3636363635
  100   0.41256031601991E-01           53.5000                        5399.3636363635
  101   0.41440067244062E-01           48.0000                        5400.3636363635
  102   0.41616507493971E-01           42.5000                        5401.3636363635
  103   0.41786052451981E-01           37.0000                        5402.3636363635
  104   0.41949009774313E-01           31.5000                        5403.3636363635
  105   0.42105558455810E-01           26.0000                        5404.3636363635
  106   0.42253069331571E-01           20.5000                        5405.3636363635
  107   0.42392007869532E-01           15.0000                        5406.3636363635
  108   0.42523164613550E-01            9.5000                        5407.3636363635
  109   0.42646997801615E-01            4.0000                        5408.3636363635
  110   0.42763705010262E-01           -1.5000                        5409.3636363635
  111   0.42873354846377E-01           -7.0000                        5410.3636363635
  112   0.42975952653000E-01          -12.5000                        5411.3636363635
  113   0.43071469552379E-01          -18.0000                        5412.3636363635
  114   0.43159862516872E-01          -23.5000                        5413.3636363635
  115   0.43241089670007E-01          -29.0000                        5414.3636363635
  116   0.43315124090973E-01          -34.5000                        5415.3636363635
  117   0.43381963259290E-01          -40.0000                        5416.3636363635
  118   0.45034880440994E-01          -40.0000                        7186.3636363635
  119   0.45035020303911E-01          -33.5000                        7187.5454545453
  120   0.45035100558071E-01          -27.0000                        7188.7272727271
  121   0.45035141027417E-01          -20.5000                        7189.9090909090
  122   0.45035162617837E-01          -14.0000                        7191.0909090908
  123   0.45035185407897E-01           -7.5000                        7192.2727272726
  124   0.45035240394458E-01           -1.0000                        7193.4545454544
  125   0.45035410687435E-01            5.5000                        7194.6363636362
  126   0.45035930115404E-01           12.0000                        7195.8181818180
  127   0.45037453810259E-01           18.5000                        7196.9999999998
  128   0.45041946845796E-01           25.0000                        7198.1818181816
  129   0.45050002433343E-01           30.0000                        7199.0909090907
  130   0.45067577372189E-01           35.0000                        7199.9999999998
  131   0.45102194649451E-01           40.0000                        7200.9090909089
  132   0.45162163183602E-01           45.0000                        7201.8181818180
  133   0.45254129436100E-01           50.0000                        7202.7272727271
  134   0.45378758468439E-01           55.0000                        7203.6363636362
  135   0.45530428739333E-01           60.0000                        7204.5454545453
  136   0.45701176072800E-01           65.0000                        7205.4545454543
  137   0.45883579919518E-01           70.0000                        7206.3636363634
  138   0.46071890574717E-01           75.0000                        7207.2727272725
  139   0.46261860656259E-01           80.0000                        7208.1818181816
  140   0.46446700792853E-01           85.0000                        7209.0909090907
  141   0.46678418477851E-01           90.0000                        7209.9999999998
  142   0.47083191424122E-01           95.0000                        7210.9090909089
  143   0.47621941607735E-01          100.0000                        7211.8181818180
  144   0.48124985490331E-01          105.0000                        7212.7272727271
  145   0.48561516508833E-01          110.0000                        7213.6363636362
  146   0.48983340203553E-01          115.0000                        7214.5454545453
  147   0.49419271417314E-01          120.0000                        7215.4545454543
  148   0.50053868019845E-01          125.0000                        7216.3636363634
  149   0.53282571876156E-01          125.0000                        8986.3636363634
  150   0.53282600696277E-01          119.5000                        8987.3636363634
  151   0.53297352790203E-01          114.0000                        8988.3636363634
  152   0.53503544100238E-01          108.5000                        8989.3636363634
  153   0.54122134963922E-01          103.0000                        8990.3636363634
  154   0.55011367306831E-01           97.5000                        8991.3636363634
  155   0.55942662393251E-01           92.0000                        8992.3636363634
  156   0.56594028894112E-01           86.5000                        8993.3636363634
  157   0.56960511130595E-01           81.0000                        8994.3636363634
  158   0.57241459233342E-01           75.5000                        8995.3636363634
  159   0.57481500619511E-01           70.0000                        8996.3636363634
  160   0.57698981758402E-01           64.5000                        8997.3636363634
  161   0.57901917528149E-01           59.0000                        8998.3636363634
  162   0.58094148522755E-01           53.5000                        8999.3636363634
  163   0.58277745556738E-01           48.0000                        9000.3636363634
  164   0.58453809310562E-01           42.5000                        9001.3636363634
  165   0.58623029154663E-01           37.0000                        9002.3636363634
  166   0.58785704489951E-01           31.5000                        9003.3636363634
  167   0.58942007807968E-01           26.0000                        9004.3636363634
  168   0.59089314486560E-01           20.5000                        9005.3636363634
  169   0.59228082925515E-01           15.0000                        9006.3636363634
  170   0.59359096309310E-01            9.5000                        9007.3636363634
  171   0.59482807784331E-01            4.0000                        9008.3636363634
  172   0.59599411340960E-01           -1.5000                        9009.3636363634
  173   0.59708972636207E-01           -7.0000                        9010.3636363634
  174   0.59811494908358E-01          -12.5000                        9011.3636363634
  175   0.59906947323762E-01          -18.0000                        9012.3636363634
  176   0.59995285388257E-01          -23.5000                        9013.3636363634
  177   0.60076466167471E-01          -29.0000                        9014.3636363634
  178   0.60150461376410E-01          -34.5000                        9015.3636363634
  179   0.60217269149289E-01          -40.0000                        9016.3636363634
  180   0.61869022696525E-01          -40.0000                       10786.3636363634
  181   0.61869162408312E-01          -33.5000                       10787.5454545452
  182   0.61869242385503E-01          -27.0000                       10788.7272727271
  183   0.61869282590030E-01          -20.5000                       10789.9090909089
  184   0.61869303533507E-01          -14.0000                       10791.0909090907
  185   0.61869324940034E-01           -7.5000                       10792.2727272725
  186   0.61869376592967E-01           -1.0000                       10793.4545454543
  187   0.61869537369873E-01            5.5000                       10794.6363636361
  188   0.61870035892703E-01           12.0000                       10795.8181818179
  189   0.61871524890226E-01           18.5000                       10796.9999999997
  190   0.61875976458734E-01           25.0000                       10798.1818181815
