  LS    nlcreq                        Temp                       Time    
  1     0.46766291286374E-15          150.0000                       -1301.7181818182
  2     0.36036172638512E-02           96.0000                       -1172.2181818182
  3     0.62427192531933E-02           25.0000                       -1001.8181818182
  4     0.70504865810589E-02           25.0000                          -1.8181818182
  5     0.70505430252753E-02           30.0000                          -0.9090909091
  6     0.70505598110524E-02           35.0000                           0.0000000000
  7     0.70505766468093E-02           40.0000                           0.9090909091
  8     0.70506241964349E-02           45.0000                           1.8181818182
  9     0.70507923027940E-02           50.0000                           2.7272727273
  10    0.70513852779141E-02           55.0000                           3.6363636364
  11    0.70534023775046E-02           60.0000                           4.5454545455
  12    0.70597457852906E-02           65.0000                           5.4545454545
  13    0.70771554031017E-02           70.0000                           6.3636363636
  14    0.71165986116126E-02           75.0000                           7.2727272727
  15    0.71901502796182E-02           80.0000                           8.1818181818
  16    0.73033547284746E-02           85.0000                           9.0909090909
  17    0.74530372576531E-02           90.0000                          10.0000000000
  18    0.76297742738924E-02           95.0000                          10.9090909091
  19    0.78249598735796E-02          100.0000                          11.8181818182
  20    0.80304791249682E-02          105.0000                          12.7272727273
  21    0.82406646449558E-02          110.0000                          13.6363636364
  22    0.84505500437440E-02          115.0000                          14.5454545454
  23    0.86605961120314E-02          120.0000                          15.4545454545
  24    0.88612029518969E-02          125.0000                          16.3636363636
  25    0.93720288972945E-02          125.0000                        1786.3636363636
  26    0.93720294796878E-02          119.5000                        1787.3636363636
  27    0.93720615104453E-02          114.0000                        1788.3636363636
  28    0.93728395258117E-02          108.5000                        1789.3636363636
  29    0.93786445423799E-02          103.0000                        1790.3636363636
  30    0.93997830760070E-02           97.5000                        1791.3636363636
  31    0.94478876818024E-02           92.0000                        1792.3636363636
  32    0.95283657340076E-02           86.5000                        1793.3636363636
  33    0.96390598552692E-02           81.0000                        1794.3636363636
  34    0.97728234714404E-02           75.5000                        1795.3636363636
  35    0.99202254576819E-02           70.0000                        1796.3636363636
  36    0.10075182594480E-01           64.5000                        1797.3636363636
  37    0.10233796210945E-01           59.0000                        1798.3636363636
  38    0.10393005387532E-01           53.5000                        1799.3636363636
  39    0.10550952189543E-01           48.0000                        1800.3636363636
  40    0.10706287980361E-01           42.5000                        1801.3636363636
  41    0.10858150552029E-01           37.0000                        1802.3636363636
  42    0.11005691032402E-01           31.5000                        1803.3636363636
  43    0.11148429389204E-01           26.0000                        1804.3636363636
  44    0.11283523507559E-01           20.5000                        1805.3636363636
  45    0.11410964554438E-01           15.0000                        1806.3636363636
  46    0.11531110105742E-01            9.5000                        1807.3636363636
  47    0.11644139659571E-01            4.0000                        1808.3636363636
  48    0.11750146350587E-01           -1.5000                        1809.3636363636
  49    0.11849061129281E-01           -7.0000                        1810.3636363636
  50    0.11940847006171E-01          -12.5000                        1811.3636363636
  51    0.12025526887524E-01          -18.0000                        1812.3636363636
  52    0.12103093656081E-01          -23.5000                        1813.3636363636
  53    0.12173544780334E-01          -29.0000                        1814.3636363636
  54    0.12236930169922E-01          -34.5000                        1815.3636363636
  55    0.12293355077427E-01          -40.0000                        1816.3636363636
  56    0.13881489262100E-01          -40.0000                        3586.3636363636
  57    0.13881637414003E-01          -33.5000                        3587.5454545454
  58    0.13881729094046E-01          -27.0000                        3588.7272727272
  59    0.13881778910098E-01          -20.5000                        3589.9090909091
  60    0.13881804980259E-01          -14.0000                        3591.0909090909
  61    0.13881824132190E-01           -7.5000                        3592.2727272727
  62    0.13881856138998E-01           -1.0000                        3593.4545454545
  63    0.13881945025982E-01            5.5000                        3594.6363636363
  64    0.13882210017817E-01           12.0000                        3595.8181818181
  65    0.13882965589747E-01           18.5000                        3596.9999999999
  66    0.13885070622774E-01           25.0000                        3598.1818181817
  67    0.13888684001883E-01           30.0000                        3599.0909090908
  68    0.13896529907758E-01           35.0000                        3599.9999999999
  69    0.13912749801783E-01           40.0000                        3600.9090909090
  70    0.13943356311040E-01           45.0000                        3601.8181818181
  71    0.13996039252949E-01           50.0000                        3602.7272727272
  72    0.14077391310512E-01           55.0000                        3603.6363636363
  73    0.14191154289615E-01           60.0000                        3604.5454545454
  74    0.14336307415798E-01           65.0000                        3605.4545454544
  75    0.14506988266798E-01           70.0000                        3606.3636363635
  76    0.14696502591818E-01           75.0000                        3607.2727272726
  77    0.14899517044568E-01           80.0000                        3608.1818181817
  78    0.15111730250083E-01           85.0000                        3609.0909090908
  79    0.15330463897278E-01           90.0000                        3609.9999999999
  80    0.15552560251805E-01           95.0000                        3610.9090909090
  81    0.15777987752380E-01          100.0000                        3611.8181818181
  82    0.16004765929349E-01          105.0000                        3612.7272727272
  83    0.16232283511710E-01          110.0000                        3613.6363636363
  84    0.16460056810878E-01          115.0000                        3614.5454545453
  85    0.16693315489228E-01          120.0000                        3615.4545454544
  86    0.16924891835352E-01          125.0000                        3616.3636363635
  87    0.17886243681362E-01          125.0000                        5386.3636363635
  88    0.17886244454960E-01          119.5000                        5387.3636363635
  89    0.17886263999318E-01          114.0000                        5388.3636363635
  90    0.17886695811152E-01          108.5000                        5389.3636363635
  91    0.17890099705143E-01          103.0000                        5390.3636363635
  92    0.17903552748653E-01           97.5000                        5391.3636363635
  93    0.17937064132237E-01           92.0000                        5392.3636363635
  94    0.17998077460543E-01           86.5000                        5393.3636363635
  95    0.18088135266326E-01           81.0000                        5394.3636363635
  96    0.18203006241859E-01           75.5000                        5395.3636363635
  97    0.18334681998597E-01           70.0000                        5396.3636363635
  98    0.18476972555412E-01           64.5000                        5397.3636363635
  99    0.18625421300810E-01           59.0000                        5398.3636363635
  100   0.18776421017408E-01           53.5000                        5399.3636363635
  101   0.18927647962095E-01           48.0000                        5400.3636363635
  102   0.19077409086949E-01           42.5000                        5401.3636363635
  103   0.19224586855934E-01           37.0000                        5402.3636363635
  104   0.19368152971659E-01           31.5000                        5403.3636363635
  105   0.19507489577311E-01           26.0000                        5404.3636363635
  106   0.19639773495241E-01           20.5000                        5405.3636363635
  107   0.19764873933799E-01           15.0000                        5406.3636363635
  108   0.19883048418956E-01            9.5000                        5407.3636363635
  109   0.19994405850124E-01            4.0000                        5408.3636363635
  110   0.20098986737739E-01           -1.5000                        5409.3636363635
  111   0.20196685080495E-01           -7.0000                        5410.3636363635
  112   0.20287431504327E-01          -12.5000                        5411.3636363635
  113   0.20371222663547E-01          -18.0000                        5412.3636363635
  114   0.20448030565947E-01          -23.5000                        5413.3636363635
  115   0.20517836296179E-01          -29.0000                        5414.3636363635
  116   0.20580676507989E-01          -34.5000                        5415.3636363635
  117   0.20636642043558E-01          -40.0000                        5416.3636363635
  118   0.22211606190290E-01          -40.0000                        7186.3636363635
  119   0.22211752157680E-01          -33.5000                        7187.5454545453
  120   0.22211841703566E-01          -27.0000                        7188.7272727271
  121   0.22211889340374E-01          -20.5000                        7189.9090909090
  122   0.22211912815949E-01          -14.0000                        7191.0909090908
  123   0.22211927662735E-01           -7.5000                        7192.2727272726
  124   0.22211949727875E-01           -1.0000                        7193.4545454544
  125   0.22212011843992E-01            5.5000                        7194.6363636362
  126   0.22212209874067E-01           12.0000                        7195.8181818180
  127   0.22212825219169E-01           18.5000                        7196.9999999998
  128   0.22214688688380E-01           25.0000                        7198.1818181816
  129   0.22218056364838E-01           30.0000                        7199.0909090907
  130   0.22225635898477E-01           35.0000                        7199.9999999998
  131   0.22241647691418E-01           40.0000                        7200.9090909089
  132   0.22272189916126E-01           45.0000                        7201.8181818180
  133   0.22324989496428E-01           50.0000                        7202.7272727271
  134   0.22406620255750E-01           55.0000                        7203.6363636362
  135   0.22520797853636E-01           60.0000                        7204.5454545453
  136   0.22666519673591E-01           65.0000                        7205.4545454543
  137   0.22837953987357E-01           70.0000                        7206.3636363634
  138   0.23028427331591E-01           75.0000                        7207.2727272725
  139   0.23232523427777E-01           80.0000                        7208.1818181816
  140   0.23445997224948E-01           85.0000                        7209.0909090907
  141   0.23666215500501E-01           90.0000                        7209.9999999998
  142   0.23890137611679E-01           95.0000                        7210.9090909089
  143   0.24117761025078E-01          100.0000                        7211.8181818180
  144   0.24347263752858E-01          105.0000                        7212.7272727271
  145   0.24578163089572E-01          110.0000                        7213.6363636362
  146   0.24815496526742E-01          115.0000                        7214.5454545453
  147   0.25051986860885E-01          120.0000                        7215.4545454543
  148   0.25289460423457E-01          125.0000                        7216.3636363634
  149   0.26368672859375E-01          125.0000                        8986.3636363634
  150   0.26368674568877E-01          119.5000                        8987.3636363634
  151   0.26368699659581E-01          114.0000                        8988.3636363634
  152   0.26369120450920E-01          108.5000                        8989.3636363634
