  LS    nlcreq                        Temp                       Time    
  1     0.19973576688607E-02           60.0000                          -4.5454545455
  2     0.19978495330234E-02           65.0000                          -3.6363636364
  3     0.19979653434292E-02           70.0000                          -2.7272727273
  4     0.19979855544176E-02           75.0000                          -1.8181818182
  5     0.19979901691108E-02           80.0000                          -0.9090909091
  6     0.19979990789747E-02           85.0000                           0.0000000000
  7     0.19980523961755E-02           90.0000                           0.9090909091
  8     0.19983930312083E-02           95.0000                           1.8181818182
  9     0.20001140066327E-02          100.0000                           2.7272727273
  10    0.20065192801595E-02          105.0000                           3.6363636364
  11    0.20240991777605E-02          110.0000                           4.5454545455
  12    0.20608798909399E-02          115.0000                           5.4545454545
  13    0.21225968774598E-02          120.0000                           6.3636363636
  14    0.22101805485801E-02          125.0000                           7.2727272727
  15    0.27107856141006E-02          125.0000                        1777.2727272727
  16    0.27107857842941E-02          119.5000                        1778.2727272727
  17    0.27107860671907E-02          114.0000                        1779.2727272727
  18    0.27108168522736E-02          108.5000                        1780.2727272727
  19    0.27112662664344E-02          103.0000                        1781.2727272727
  20    0.27138075131078E-02           97.5000                        1782.2727272727
  21    0.27221188234683E-02           92.0000                        1783.2727272727
  22    0.27409391627990E-02           86.5000                        1784.2727272727
  23    0.27738541628985E-02           81.0000                        1785.2727272727
  24    0.28219113718890E-02           75.5000                        1786.2727272727
  25    0.28833129077051E-02           70.0000                        1787.2727272727
  26    0.29553389407565E-02           64.5000                        1788.2727272727
  27    0.30350481058673E-02           59.0000                        1789.2727272727
  28    0.31197625676745E-02           53.5000                        1790.2727272727
  29    0.32072586900053E-02           48.0000                        1791.2727272727
  30    0.32957718463284E-02           42.5000                        1792.2727272727
  31    0.33839366492420E-02           37.0000                        1793.2727272727
  32    0.34707180595024E-02           31.5000                        1794.2727272727
  33    0.35553289812945E-02           26.0000                        1795.2727272727
  34    0.36360442565221E-02           20.5000                        1796.2727272727
  35    0.37124533148306E-02           15.0000                        1797.2727272727
  36    0.37844525346357E-02            9.5000                        1798.2727272727
  37    0.38519338815241E-02            4.0000                        1799.2727272727
  38    0.39147982188215E-02           -1.5000                        1800.2727272727
  39    0.39729528050879E-02           -7.0000                        1801.2727272727
  40    0.40263297821787E-02          -12.5000                        1802.2727272727
  41    0.40748998243405E-02          -18.0000                        1803.2727272727
  42    0.41186699856761E-02          -23.5000                        1804.2727272727
  43    0.41576873521295E-02          -29.0000                        1805.2727272727
  44    0.41920409823221E-02          -34.5000                        1806.2727272727
  45    0.42218708784583E-02          -40.0000                        1807.2727272727
  46    0.54842563421411E-02          -40.0000                        3577.2727272727
  47    0.54844131077590E-02          -33.5000                        3578.4545454545
  48    0.54845318284932E-02          -27.0000                        3579.6363636363
  49    0.54846121758028E-02          -20.5000                        3580.8181818182
  50    0.54846608317528E-02          -14.0000                        3582.0000000000
  51    0.54846879785835E-02           -7.5000                        3583.1818181818
  52    0.54847042033304E-02           -1.0000                        3584.3636363636
  53    0.54847205840311E-02            5.5000                        3585.5454545454
  54    0.54847568158788E-02           12.0000                        3586.7272727272
  55    0.54848688266781E-02           18.5000                        3587.9090909090
  56    0.54852280482593E-02           25.0000                        3589.0909090908
  57    0.54858967887563E-02           30.0000                        3589.9999999999
  58    0.54874887690577E-02           35.0000                        3590.9090909090
  59    0.54911736713018E-02           40.0000                        3591.8181818181
  60    0.54992105508762E-02           45.0000                        3592.7272727272
  61    0.55150943417198E-02           50.0000                        3593.6363636363
  62    0.55429910001227E-02           55.0000                        3594.5454545454
  63    0.55868525023694E-02           60.0000                        3595.4545454544
  64    0.56496326631679E-02           65.0000                        3596.3636363635
  65    0.57325608165706E-02           70.0000                        3597.2727272726
  66    0.58348920052141E-02           75.0000                        3598.1818181817
  67    0.59543992562291E-02           80.0000                        3599.0909090908
  68    0.60879247184512E-02           85.0000                        3599.9999999999
  69    0.62317150608592E-02           90.0000                        3600.9090909090
  70    0.63824147177795E-02           95.0000                        3601.8181818181
  71    0.65381529201352E-02          100.0000                        3602.7272727272
  72    0.66979044320418E-02          105.0000                        3603.6363636363
  73    0.68599758707613E-02          110.0000                        3604.5454545454
  74    0.70233798914469E-02          115.0000                        3605.4545454544
  75    0.71889267683699E-02          120.0000                        3606.3636363635
  76    0.73582882285322E-02          125.0000                        3607.2727272726
  77    0.81414801721903E-02          125.0000                        5377.2727272726
  78    0.81414807167618E-02          119.5000                        5378.2727272726
  79    0.81414828151001E-02          114.0000                        5379.2727272726
  80    0.81415316385306E-02          108.5000                        5380.2727272726
  81    0.81420196889838E-02          103.0000                        5381.2727272726
  82    0.81444449845378E-02           97.5000                        5382.2727272726
  83    0.81519766692705E-02           92.0000                        5383.2727272726
  84    0.81687763144433E-02           86.5000                        5384.2727272726
  85    0.81982684511936E-02           81.0000                        5385.2727272726
  86    0.82418397650188E-02           75.5000                        5386.2727272726
  87    0.82983071280115E-02           70.0000                        5387.2727272726
  88    0.83654248131184E-02           64.5000                        5388.2727272726
  89    0.84405445794900E-02           59.0000                        5389.2727272726
  90    0.85211263763059E-02           53.5000                        5390.2727272726
  91    0.86049836790425E-02           48.0000                        5391.2727272726
  92    0.86903333076509E-02           42.5000                        5392.2727272726
  93    0.87757659894383E-02           37.0000                        5393.2727272726
  94    0.88601949090521E-02           31.5000                        5394.2727272726
  95    0.89427829371327E-02           26.0000                        5395.2727272726
  96    0.90218072059003E-02           20.5000                        5396.2727272726
  97    0.90968051775657E-02           15.0000                        5397.2727272726
  98    0.91676218954802E-02            9.5000                        5398.2727272726
  99    0.92341113856717E-02            4.0000                        5399.2727272726
  100   0.92961416443326E-02           -1.5000                        5400.2727272726
  101   0.93535950897905E-02           -7.0000                        5401.2727272726
  102   0.94063839284982E-02          -12.5000                        5402.2727272726
  103   0.94544630167667E-02          -18.0000                        5403.2727272726
  104   0.94978264071455E-02          -23.5000                        5404.2727272726
  105   0.95365077817795E-02          -29.0000                        5405.2727272726
  106   0.95705867585314E-02          -34.5000                        5406.2727272726
  107   0.96001940473783E-02          -40.0000                        5407.2727272726
  108   0.10851061815917E-01          -40.0000                        7177.2727272726
  109   0.10851216039496E-01          -33.5000                        7178.4545454544
  110   0.10851331915528E-01          -27.0000                        7179.6363636362
  111   0.10851409303005E-01          -20.5000                        7180.8181818181
  112   0.10851454952851E-01          -14.0000                        7181.9999999999
  113   0.10851479047366E-01           -7.5000                        7183.1818181817
  114   0.10851491588830E-01           -1.0000                        7184.3636363635
  115   0.10851501656311E-01            5.5000                        7185.5454545453
  116   0.10851522775430E-01           12.0000                        7186.7272727271
  117   0.10851594581482E-01           18.5000                        7187.9090909089
  118   0.10851856907980E-01           25.0000                        7189.0909090907
  119   0.10852396468159E-01           30.0000                        7189.9999999998
  120   0.10853792415607E-01           35.0000                        7190.9090909089
  121   0.10857218157180E-01           40.0000                        7191.8181818180
  122   0.10864960512783E-01           45.0000                        7192.7272727271
  123   0.10880552988972E-01           50.0000                        7193.6363636362
  124   0.10908172940966E-01           55.0000                        7194.5454545453
  125   0.10951750897747E-01           60.0000                        7195.4545454544
  126   0.11014226520138E-01           65.0000                        7196.3636363634
  127   0.11096860756645E-01           70.0000                        7197.2727272725
  128   0.11198983755662E-01           75.0000                        7198.1818181816
  129   0.11318426056330E-01           80.0000                        7199.0909090907
  130   0.11452075939767E-01           85.0000                        7199.9999999998
