 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71015356E-04  0.15578399E-04 -0.19722127E-03
 0.1000E-13  0.4235E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71016938E-04  0.15579525E-04 -0.19721747E-03
 0.1000E-12  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017314E-04  0.15579694E-04 -0.19721846E-03
 0.1000E-11  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017430E-04  0.15579741E-04 -0.19721875E-03
 0.1000E-10  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017468E-04  0.15579755E-04 -0.19721884E-03
 0.1000E-09  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017481E-04  0.15579759E-04 -0.19721887E-03
 0.1000E-08  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017485E-04  0.15579761E-04 -0.19721888E-03
 0.1000E-07  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017487E-04  0.15579761E-04 -0.19721888E-03
 0.1000E-06  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017491E-04  0.15579762E-04 -0.19721889E-03
 0.1000E-05  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017531E-04  0.15579766E-04 -0.19721895E-03
 0.1000E-04  0.4236E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71017920E-04  0.15579811E-04 -0.19721957E-03
 0.1000E-03  0.4235E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71021810E-04  0.15580261E-04 -0.19722576E-03
 0.1000E-02  0.4231E-04  0.1530E-03 -0.4686E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71060424E-04  0.15584727E-04 -0.19728717E-03
 0.1000E-01  0.4190E-04  0.1534E-03 -0.4689E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71419428E-04  0.15626209E-04 -0.19785788E-03
 0.1000E+00  0.4006E-04  0.1556E-03 -0.4709E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73390922E-04  0.15873325E-04 -0.20104523E-03
 0.1000E+01  0.3745E-04  0.1583E-03 -0.4730E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.75874908E-04  0.16173992E-04 -0.20500756E-03
 0.1000E+02  0.3438E-04  0.1615E-03 -0.4754E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.78801470E-04  0.16538379E-04 -0.20967678E-03
 0.1000E+03  0.3235E-04  0.1675E-03 -0.4814E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.82716411E-04  0.17208138E-04 -0.21638798E-03
 0.1000E+04  0.4167E-04  0.1845E-03 -0.5069E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.88251495E-04  0.19129532E-04 -0.22853999E-03
 0.1000E+05  0.7056E-04  0.2197E-03 -0.5658E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.96856348E-04  0.23198132E-04 -0.25051378E-03
 0.1000E+06  0.1063E-03  0.2642E-03 -0.6399E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10747357E-03  0.28507005E-04 -0.27874197E-03
 0.1000E+07  0.1389E-03  0.3085E-03 -0.7120E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11850418E-03  0.33981201E-04 -0.30829309E-03
 0.1000E+08  0.1644E-03  0.3503E-03 -0.7765E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12995853E-03  0.39342389E-04 -0.33834384E-03
 0.1000E+09  0.1813E-03  0.3916E-03 -0.8341E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14269632E-03  0.44847800E-04 -0.37068078E-03
 0.1000E+10  0.1875E-03  0.4377E-03 -0.8880E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15867605E-03  0.51213568E-04 -0.40983232E-03
 0.1000E+11  0.1738E-03  0.5018E-03 -0.9426E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.18332404E-03  0.60387133E-04 -0.46838440E-03
 0.1000E+12  0.1190E-03  0.5986E-03 -0.9913E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22337402E-03  0.74849757E-04 -0.56205003E-03
 0.1000E+13 -0.3839E-04  0.7596E-03 -0.1005E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.29678852E-03  0.10030274E-03 -0.72962944E-03
 0.1000E+14 -0.4999E-03  0.1072E-02 -0.8673E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45733917E-03  0.15295201E-03 -0.10838455E-02
 0.1000E+15 -0.1631E-02  0.1648E-02 -0.3233E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.78587009E-03  0.25526029E-03 -0.17857290E-02
 0.1000E+16 -0.3946E-02  0.2677E-02  0.9553E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14097812E-02  0.44221259E-03 -0.30850089E-02
