  LS    nlcreq                        Temp                       Time    
  1     0.48808679308969E-15          150.0000                       -1301.7181818182
  2     0.36276268210245E-02           96.0000                       -1172.2181818182
  3     0.72353448585343E-02           25.0000                       -1001.8181818182
  4     0.80862125249879E-02           25.0000                          -1.8181818182
  5     0.80862786859147E-02           30.0000                          -0.9090909091
  6     0.80862995750407E-02           35.0000                           0.0000000000
  7     0.80863209428015E-02           40.0000                           0.9090909091
  8     0.80863872190196E-02           45.0000                           1.8181818182
  9     0.80866337708065E-02           50.0000                           2.7272727273
  10    0.80874700120917E-02           55.0000                           3.6363636364
  11    0.80899026457142E-02           60.0000                           4.5454545455
  12    0.80961089679189E-02           65.0000                           5.4545454545
  13    0.81097734255623E-02           70.0000                           6.3636363636
  14    0.81354314356035E-02           75.0000                           7.2727272727
  15    0.81769453224737E-02           80.0000                           8.1818181818
  16    0.82345518595857E-02           85.0000                           9.0909090909
  17    0.83215738187011E-02           90.0000                          10.0000000000
  18    0.84747895364273E-02           95.0000                          10.9090909091
  19    0.86747178836612E-02          100.0000                          11.8181818182
  20    0.88369333247165E-02          105.0000                          12.7272727273
  21    0.89468017181853E-02          110.0000                          13.6363636364
  22    0.90281021896276E-02          115.0000                          14.5454545454
  23    0.90965162300998E-02          120.0000                          15.4545454545
  24    0.91789425315657E-02          125.0000                          16.3636363636
  25    0.95878699951099E-02          125.0000                        1786.3636363636
  26    0.95878765433568E-02          119.5000                        1787.3636363636
  27    0.95889736642043E-02          114.0000                        1788.3636363636
  28    0.96116238526740E-02          108.5000                        1789.3636363636
  29    0.97252822140898E-02          103.0000                        1790.3636363636
  30    0.10015755659531E-01           97.5000                        1791.3636363636
  31    0.10470009486415E-01           92.0000                        1792.3636363636
  32    0.10881928145349E-01           86.5000                        1793.3636363636
  33    0.11168151067530E-01           81.0000                        1794.3636363636
  34    0.11408560540679E-01           75.5000                        1795.3636363636
  35    0.11623115382262E-01           70.0000                        1796.3636363636
  36    0.11821882037023E-01           64.5000                        1797.3636363636
  37    0.12009652277649E-01           59.0000                        1798.3636363636
  38    0.12188791974406E-01           53.5000                        1799.3636363636
  39    0.12360576106858E-01           48.0000                        1800.3636363636
  40    0.12525664978570E-01           42.5000                        1801.3636363636
  41    0.12684440320052E-01           37.0000                        1802.3636363636
  42    0.12837038960631E-01           31.5000                        1803.3636363636
  43    0.12983499094904E-01           26.0000                        1804.3636363636
  44    0.13121438882594E-01           20.5000                        1805.3636363636
  45    0.13251159630097E-01           15.0000                        1806.3636363636
  46    0.13373274936530E-01            9.5000                        1807.3636363636
  47    0.13488131563835E-01            4.0000                        1808.3636363636
  48    0.13595874942449E-01           -1.5000                        1809.3636363636
  49    0.13696556048638E-01           -7.0000                        1810.3636363636
  50    0.13790183051361E-01          -12.5000                        1811.3636363636
  51    0.13876753614890E-01          -18.0000                        1812.3636363636
  52    0.13956270856548E-01          -23.5000                        1813.3636363636
  53    0.14028734452444E-01          -29.0000                        1814.3636363636
  54    0.14094172071969E-01          -34.5000                        1815.3636363636
  55    0.14152652134078E-01          -40.0000                        1816.3636363636
  56    0.15851400476604E-01          -40.0000                        3586.3636363636
  57    0.15851573151575E-01          -33.5000                        3587.5454545454
  58    0.15851687794483E-01          -27.0000                        3588.7272727272
  59    0.15851758369856E-01          -20.5000                        3589.9090909091
  60    0.15851804689433E-01          -14.0000                        3591.0909090909
  61    0.15851853980532E-01           -7.5000                        3592.2727272727
  62    0.15851957744188E-01           -1.0000                        3593.4545454545
  63    0.15852240849315E-01            5.5000                        3594.6363636363
  64    0.15853000215639E-01           12.0000                        3595.8181818181
  65    0.15854865462364E-01           18.5000                        3596.9999999999
  66    0.15859245539542E-01           25.0000                        3598.1818181817
  67    0.15865769804871E-01           30.0000                        3599.0909090908
  68    0.15877896239383E-01           35.0000                        3599.9999999999
  69    0.15899114586850E-01           40.0000                        3600.9090909090
  70    0.15933424627819E-01           45.0000                        3601.8181818181
  71    0.15984784094274E-01           50.0000                        3602.7272727272
  72    0.16055447674679E-01           55.0000                        3603.6363636363
  73    0.16144988776926E-01           60.0000                        3604.5454545454
  74    0.16250781762502E-01           65.0000                        3605.4545454544
  75    0.16368788055394E-01           70.0000                        3606.3636363635
  76    0.16494644751170E-01           75.0000                        3607.2727272726
  77    0.16623641536459E-01           80.0000                        3608.1818181817
  78    0.16748933018018E-01           85.0000                        3609.0909090908
  79    0.16886882987997E-01           90.0000                        3609.9999999999
  80    0.17073564737138E-01           95.0000                        3610.9090909090
  81    0.17285672473687E-01          100.0000                        3611.8181818181
  82    0.17458736132438E-01          105.0000                        3612.7272727272
  83    0.17597913773005E-01          110.0000                        3613.6363636363
  84    0.17728722719843E-01          115.0000                        3614.5454545453
  85    0.17864722127351E-01          120.0000                        3615.4545454544
  86    0.18033364584255E-01          125.0000                        3616.3636363635
  87    0.19205764325275E-01          125.0000                        5386.3636363635
  88    0.19205773567287E-01          119.5000                        5387.3636363635
  89    0.19207144744469E-01          114.0000                        5388.3636363635
  90    0.19229220619291E-01          108.5000                        5389.3636363635
  91    0.19325396975790E-01          103.0000                        5390.3636363635
  92    0.19555580363682E-01           97.5000                        5391.3636363635
  93    0.19928936643270E-01           92.0000                        5392.3636363635
  94    0.20284150526944E-01           86.5000                        5393.3636363635
  95    0.20539394319871E-01           81.0000                        5394.3636363635
  96    0.20757785999919E-01           75.5000                        5395.3636363635
  97    0.20955928478089E-01           70.0000                        5396.3636363635
  98    0.21141830547753E-01           64.5000                        5397.3636363635
  99    0.21319145547677E-01           59.0000                        5398.3636363635
  100   0.21489570514557E-01           53.5000                        5399.3636363635
  101   0.21653949906690E-01           48.0000                        5400.3636363635
  102   0.21812655623191E-01           42.5000                        5401.3636363635
  103   0.21965862717946E-01           37.0000                        5402.3636363635
  104   0.22113561584768E-01           31.5000                        5403.3636363635
  105   0.22255679690038E-01           26.0000                        5404.3636363635
  106   0.22390090534451E-01           20.5000                        5405.3636363635
  107   0.22516930481162E-01           15.0000                        5406.3636363635
  108   0.22636643673022E-01            9.5000                        5407.3636363635
  109   0.22749461807610E-01            4.0000                        5408.3636363635
  110   0.22855460560555E-01           -1.5000                        5409.3636363635
  111   0.22954642487706E-01           -7.0000                        5410.3636363635
  112   0.23046979292659E-01          -12.5000                        5411.3636363635
  113   0.23132433003394E-01          -18.0000                        5412.3636363635
  114   0.23210972283556E-01          -23.5000                        5413.3636363635
  115   0.23282585165226E-01          -29.0000                        5414.3636363635
  116   0.23347289971751E-01          -34.5000                        5415.3636363635
  117   0.23405144863316E-01          -40.0000                        5416.3636363635
  118   0.25081678104243E-01          -40.0000                        7186.3636363635
  119   0.25081847061746E-01          -33.5000                        7187.5454545453
  120   0.25081958124586E-01          -27.0000                        7188.7272727271
  121   0.25082025217716E-01          -20.5000                        7189.9090909090
  122   0.25082067188134E-01          -14.0000                        7191.0909090908
  123   0.25082108391889E-01           -7.5000                        7192.2727272726
  124   0.25082192580990E-01           -1.0000                        7193.4545454544
  125   0.25082427638759E-01            5.5000                        7194.6363636362
  126   0.25083083650612E-01           12.0000                        7195.8181818180
  127   0.25084765469844E-01           18.5000                        7196.9999999998
  128   0.25088867808594E-01           25.0000                        7198.1818181816
  129   0.25095140717679E-01           30.0000                        7199.0909090907
  130   0.25107071591513E-01           35.0000                        7199.9999999998
  131   0.25128319138708E-01           40.0000                        7200.9090909089
  132   0.25163051795101E-01           45.0000                        7201.8181818180
  133   0.25215299779381E-01           50.0000                        7202.7272727271
  134   0.25287313144717E-01           55.0000                        7203.6363636362
  135   0.25378646680547E-01           60.0000                        7204.5454545453
  136   0.25486640289969E-01           65.0000                        7205.4545454543
  137   0.25607208354313E-01           70.0000                        7206.3636363634
  138   0.25735984983363E-01           75.0000                        7207.2727272725
  139   0.25868182785896E-01           80.0000                        7208.1818181816
  140   0.25997316485061E-01           85.0000                        7209.0909090907
  141   0.26141532110341E-01           90.0000                        7209.9999999998
  142   0.26340763030517E-01           95.0000                        7210.9090909089
  143   0.26575573410261E-01          100.0000                        7211.8181818180
  144   0.26780304361618E-01          105.0000                        7212.7272727271
  145   0.26956408730872E-01          110.0000                        7213.6363636362
  146   0.27128777635504E-01          115.0000                        7214.5454545453
  147   0.27311331906774E-01          120.0000                        7215.4545454543
  148   0.27533887359545E-01          125.0000                        7216.3636363634
  149   0.29458259275707E-01          125.0000                        8986.3636363634
