 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0 -0.1762E-06  0.2177E-05 -0.1762E-06 -0.1350E-04 -0.1350E-04 -0.1350E-04 -0.42661277E-05 -0.10512201E-05 -0.42661277E-05
      -39.0  0.1760E-06 -0.2176E-05  0.1760E-06  0.1350E-04  0.1350E-04  0.1350E-04  0.42660190E-05  0.10512974E-05  0.42660190E-05
        0.0 -0.1666E-06  0.2147E-05 -0.1666E-06 -0.1350E-04 -0.1350E-04 -0.1350E-04 -0.42616881E-05 -0.10543835E-05 -0.42616881E-05
        1.0  0.1664E-06 -0.2146E-05  0.1664E-06  0.1350E-04  0.1350E-04  0.1350E-04  0.42615747E-05  0.10544645E-05  0.42615747E-05
      130.0 -0.1998E-06  0.2554E-05 -0.1998E-06 -0.1435E-04 -0.1435E-04 -0.1435E-04 -0.44598642E-05 -0.10948242E-05 -0.44598642E-05
      131.0  0.3347E-06 -0.3581E-05  0.3347E-06  0.1605E-04  0.1605E-04  0.1605E-04  0.48877880E-05  0.11529354E-05  0.48877880E-05
      135.0 -0.1547E-05  0.1281E-04 -0.1547E-05 -0.3135E-04 -0.3135E-04 -0.3135E-04 -0.87392246E-05 -0.16765620E-05 -0.87392246E-05
      136.0  0.1681E-05 -0.1384E-04  0.1681E-05  0.3305E-04  0.3305E-04  0.3305E-04  0.91670559E-05  0.17350778E-05  0.91670559E-05
      140.0 -0.2837E-05  0.2256E-04 -0.2837E-05 -0.4750E-04 -0.4750E-04 -0.4750E-04 -0.12811473E-04 -0.22298982E-05 -0.12811473E-04
      141.0  0.2835E-05 -0.2255E-04  0.2835E-05  0.4750E-04  0.4750E-04  0.4750E-04  0.12810612E-04  0.22307023E-05  0.12810612E-04
      180.0 -0.2749E-05  0.2226E-04 -0.2749E-05 -0.4750E-04 -0.4750E-04 -0.4750E-04 -0.12777967E-04 -0.22625585E-05 -0.12777967E-04
      181.0  0.2747E-05 -0.2225E-04  0.2747E-05  0.4750E-04  0.4750E-04  0.4750E-04  0.12777131E-04  0.22633908E-05  0.12777131E-04
