  LS    nlcreq                        Temp                       Time    
  1     0.44277112037965E-15          150.0000                       -1301.7181818182
  2     0.20087762655966E-02           96.0000                       -1172.2181818182
  3     0.45009831185362E-02           25.0000                       -1001.8181818182
  4     0.53989490459578E-02           25.0000                          -1.8181818182
  5     0.53990370355694E-02           30.0000                          -0.9090909091
  6     0.53990702010184E-02           35.0000                           0.0000000000
  7     0.53990977757131E-02           40.0000                           0.9090909091
  8     0.53991637213800E-02           45.0000                           1.8181818182
  9     0.53993788762872E-02           50.0000                           2.7272727273
  10    0.54000555043735E-02           55.0000                           3.6363636364
  11    0.54019807466107E-02           60.0000                           4.5454545455
  12    0.54069318045191E-02           65.0000                           5.4545454545
  13    0.54182827746318E-02           70.0000                           6.3636363636
  14    0.54409111488818E-02           75.0000                           7.2727272727
  15    0.54803338477547E-02           80.0000                           8.1818181818
  16    0.55410074248516E-02           85.0000                           9.0909090909
  17    0.56247915667186E-02           90.0000                          10.0000000000
  18    0.57305461296252E-02           95.0000                          10.9090909091
  19    0.58542338444566E-02          100.0000                          11.8181818182
  20    0.59905855158874E-02          105.0000                          12.7272727273
  21    0.61347471530127E-02          110.0000                          13.6363636364
  22    0.62808148248147E-02          115.0000                          14.5454545454
  23    0.64239398197138E-02          120.0000                          15.4545454545
  24    0.65592041383696E-02          125.0000                          16.3636363636
  25    0.69533400978197E-02          125.0000                        1786.3636363636
  26    0.69533410357760E-02          119.5000                        1787.3636363636
  27    0.69533630997675E-02          114.0000                        1788.3636363636
  28    0.69538176233115E-02          108.5000                        1789.3636363636
  29    0.69571316949840E-02          103.0000                        1790.3636363636
  30    0.69693016251127E-02           97.5000                        1791.3636363636
  31    0.69978280004607E-02           92.0000                        1792.3636363636
  32    0.70475851415170E-02           86.5000                        1793.3636363636
  33    0.71197589574662E-02           81.0000                        1794.3636363636
  34    0.72119214724885E-02           75.5000                        1795.3636363636
  35    0.73191406558867E-02           70.0000                        1796.3636363636
  36    0.74371305324078E-02           64.5000                        1797.3636363636
  37    0.75623167744561E-02           59.0000                        1798.3636363636
  38    0.76916434400316E-02           53.5000                        1799.3636363636
  39    0.78227989017692E-02           48.0000                        1800.3636363636
  40    0.79540174938614E-02           42.5000                        1801.3636363636
  41    0.80839558252986E-02           37.0000                        1802.3636363636
  42    0.82114806471501E-02           31.5000                        1803.3636363636
  43    0.83357625520057E-02           26.0000                        1804.3636363636
  44    0.84544670562206E-02           20.5000                        1805.3636363636
  45    0.85671787555985E-02           15.0000                        1806.3636363636
  46    0.86738595756611E-02            9.5000                        1807.3636363636
  47    0.87744269525193E-02            4.0000                        1808.3636363636
  48    0.88687986197630E-02           -1.5000                        1809.3636363636
  49    0.89568331700729E-02           -7.0000                        1810.3636363636
  50    0.90384330029187E-02          -12.5000                        1811.3636363636
  51    0.91135546940745E-02          -18.0000                        1812.3636363636
  52    0.91821722181590E-02          -23.5000                        1813.3636363636
  53    0.92442986512307E-02          -29.0000                        1814.3636363636
  54    0.92999837317640E-02          -34.5000                        1815.3636363636
  55    0.93493373071096E-02          -40.0000                        1816.3636363636
  56    0.10963677477684E-01          -40.0000                        3586.3636363636
  57    0.10963856253195E-01          -33.5000                        3587.5454545454
  58    0.10963982742934E-01          -27.0000                        3588.7272727272
  59    0.10964065603633E-01          -20.5000                        3589.9090909091
  60    0.10964118763738E-01          -14.0000                        3591.0909090909
  61    0.10964157486382E-01           -7.5000                        3592.2727272727
  62    0.10964201380526E-01           -1.0000                        3593.4545454545
  63    0.10964292200554E-01            5.5000                        3594.6363636363
  64    0.10964546674906E-01           12.0000                        3595.8181818181
  65    0.10965299431731E-01           18.5000                        3596.9999999999
  66    0.10967416928731E-01           25.0000                        3598.1818181817
  67    0.10970867061235E-01           30.0000                        3599.0909090908
  68    0.10977709759196E-01           35.0000                        3599.9999999999
  69    0.10990367497543E-01           40.0000                        3600.9090909090
  70    0.11011806062038E-01           45.0000                        3601.8181818181
  71    0.11045440184692E-01           50.0000                        3602.7272727272
  72    0.11094286419410E-01           55.0000                        3603.6363636363
  73    0.11160932894249E-01           60.0000                        3604.5454545454
  74    0.11247119431645E-01           65.0000                        3605.4545454544
