 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.7248E-04  0.1132E-03 -0.3135E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.42470101E-04  0.11076433E-04 -0.11850452E-03
 0.1000E-13  0.7236E-04  0.1141E-03 -0.3145E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.42925469E-04  0.11166246E-04 -0.11932563E-03
 0.1000E-12  0.7246E-04  0.1173E-03 -0.3189E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.44564530E-04  0.11501370E-04 -0.12234283E-03
 0.1000E-11  0.7227E-04  0.1196E-03 -0.3217E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45744270E-04  0.11734621E-04 -0.12448202E-03
 0.1000E-10  0.7200E-04  0.1218E-03 -0.3243E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.46897987E-04  0.11959480E-04 -0.12656065E-03
 0.1000E-09  0.7159E-04  0.1242E-03 -0.3272E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.48227148E-04  0.12214147E-04 -0.12893698E-03
 0.1000E-08  0.7099E-04  0.1268E-03 -0.3301E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.49698344E-04  0.12490341E-04 -0.13154326E-03
 0.1000E-07  0.7008E-04  0.1299E-03 -0.3333E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.51486087E-04  0.12817927E-04 -0.13467680E-03
 0.1000E-06  0.6885E-04  0.1333E-03 -0.3365E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.53467654E-04  0.13170624E-04 -0.13810652E-03
 0.1000E-05  0.6707E-04  0.1371E-03 -0.3398E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.55852208E-04  0.13580920E-04 -0.14217517E-03
 0.1000E-04  0.6505E-04  0.1407E-03 -0.3426E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.58153406E-04  0.13962094E-04 -0.14603986E-03
 0.1000E-03  0.6241E-04  0.1446E-03 -0.3452E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.60797543E-04  0.14384262E-04 -0.15041542E-03
 0.1000E-02  0.5840E-04  0.1496E-03 -0.3478E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.64335106E-04  0.14923491E-04 -0.15616400E-03
 0.1000E-01  0.5265E-04  0.1554E-03 -0.3497E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.68719578E-04  0.15552050E-04 -0.16312436E-03
 0.1000E+00  0.4578E-04  0.1609E-03 -0.3502E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73311259E-04  0.16165340E-04 -0.17022768E-03
 0.1000E+01  0.3902E-04  0.1655E-03 -0.3496E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77385435E-04  0.16674871E-04 -0.17638729E-03
 0.1000E+02  0.3079E-04  0.1703E-03 -0.3478E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81993997E-04  0.17218456E-04 -0.18322050E-03
 0.1000E+03  0.2136E-04  0.1751E-03 -0.3448E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.86893910E-04  0.17759703E-04 -0.19033370E-03
 0.1000E+04  0.9643E-05  0.1803E-03 -0.3400E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.92655070E-04  0.18362974E-04 -0.19855220E-03
 0.1000E+05 -0.2024E-05  0.1865E-03 -0.3360E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.98784421E-04  0.19078820E-04 -0.20750220E-03
 0.1000E+06 -0.9710E-05  0.2026E-03 -0.3452E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10832199E-03  0.20974012E-04 -0.22397626E-03
 0.1000E+07  0.6504E-05  0.2404E-03 -0.3974E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12141908E-03  0.25587073E-04 -0.25334649E-03
 0.1000E+08  0.3313E-04  0.2977E-03 -0.4782E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13909517E-03  0.32867153E-04 -0.29675758E-03
 0.1000E+09  0.5019E-04  0.3651E-03 -0.5605E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16150142E-03  0.41928621E-04 -0.35155299E-03
 0.1000E+10  0.3529E-04  0.4462E-03 -0.6262E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19370490E-03  0.53553744E-04 -0.42583814E-03
 0.1000E+11 -0.3938E-04  0.5526E-03 -0.6592E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.24296953E-03  0.69862142E-04 -0.53460002E-03
 0.1000E+12 -0.2456E-03  0.7148E-03 -0.6177E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32802377E-03  0.96225473E-04 -0.71610895E-03
 0.1000E+13 -0.6316E-03  0.9406E-03 -0.4597E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45335333E-03  0.13463070E-03 -0.98177847E-03
 0.1000E+14 -0.1234E-02  0.1253E-02 -0.1712E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.63015231E-03  0.18928440E-03 -0.13578637E-02
 0.1000E+15 -0.1799E-02  0.1546E-02  0.1001E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.78882443E-03  0.24135301E-03 -0.17058563E-02
 0.1000E+16 -0.2266E-02  0.1794E-02  0.3190E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.91961761E-03  0.28573801E-03 -0.19976743E-02
