 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.8104E-04  0.1355E-03 -0.3485E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.52788929E-04  0.13452776E-04 -0.13847136E-03
 0.1000E-13  0.7988E-04  0.1401E-03 -0.3533E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.55377725E-04  0.13944624E-04 -0.14302870E-03
 0.1000E-12  0.7837E-04  0.1442E-03 -0.3572E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.57811134E-04  0.14391126E-04 -0.14725404E-03
 0.1000E-11  0.7656E-04  0.1481E-03 -0.3605E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.60187451E-04  0.14813861E-04 -0.15132610E-03
 0.1000E-10  0.7396E-04  0.1527E-03 -0.3638E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.63090850E-04  0.15313315E-04 -0.15623251E-03
 0.1000E-09  0.6990E-04  0.1585E-03 -0.3672E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.66917795E-04  0.15942262E-04 -0.16258080E-03
 0.1000E-08  0.6422E-04  0.1648E-03 -0.3698E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71437857E-04  0.16642403E-04 -0.16990607E-03
 0.1000E-07  0.5782E-04  0.1706E-03 -0.3708E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.75848829E-04  0.17282686E-04 -0.17688089E-03
 0.1000E-06  0.5111E-04  0.1756E-03 -0.3707E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.80033411E-04  0.17856826E-04 -0.18336368E-03
 0.1000E-05  0.4295E-04  0.1809E-03 -0.3694E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84700692E-04  0.18460316E-04 -0.19044629E-03
 0.1000E-04  0.3319E-04  0.1864E-03 -0.3668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.89856549E-04  0.19086167E-04 -0.19810615E-03
 0.1000E-03  0.2147E-04  0.1919E-03 -0.3623E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.95589317E-04  0.19733787E-04 -0.20642907E-03
 0.1000E-02  0.6765E-05  0.1979E-03 -0.3555E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10232782E-03  0.20442589E-04 -0.21600095E-03
 0.1000E-01 -0.1473E-04  0.2054E-03 -0.3437E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11154289E-03  0.21333154E-04 -0.22876759E-03
 0.1000E+00 -0.4235E-04  0.2146E-03 -0.3277E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12317648E-03  0.22465312E-04 -0.24483185E-03
 0.1000E+01 -0.7260E-04  0.2350E-03 -0.3195E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13992975E-03  0.24984667E-04 -0.27087269E-03
 0.1000E+02 -0.9150E-04  0.2859E-03 -0.3510E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16530494E-03  0.31521479E-04 -0.31960991E-03
 0.1000E+03 -0.1262E-03  0.3718E-03 -0.4008E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20421952E-03  0.43178043E-04 -0.40029248E-03
 0.1000E+04 -0.2338E-03  0.4920E-03 -0.4132E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.26622713E-03  0.60884707E-04 -0.52632613E-03
 0.1000E+05 -0.4987E-03  0.6634E-03 -0.3208E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.36993943E-03  0.88409494E-04 -0.73016987E-03
 0.1000E+06 -0.9536E-03  0.9004E-03 -0.1038E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.51797943E-03  0.12863878E-03 -0.10246765E-02
 0.1000E+07 -0.1591E-02  0.1214E-02  0.2203E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.70392318E-03  0.18326908E-03 -0.14093254E-02
 0.1000E+08 -0.2106E-02  0.1510E-02  0.4397E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84915986E-03  0.23545669E-03 -0.17440691E-02
 0.1000E+09 -0.2481E-02  0.1756E-02  0.5691E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.95481718E-03  0.27912258E-03 -0.20081027E-02
 0.1000E+10 -0.2667E-02  0.1910E-02  0.6026E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10078852E-02  0.30648713E-03 -0.21603500E-02
 0.1000E+11 -0.2819E-02  0.2033E-02  0.6326E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10552281E-02  0.32857300E-03 -0.22876735E-02
 0.1000E+12 -0.2895E-02  0.2080E-02  0.6614E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10780168E-02  0.33732059E-03 -0.23420721E-02
 0.1000E+13 -0.3025E-02  0.2147E-02  0.7235E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11149615E-02  0.34979688E-03 -0.24240885E-02
 0.1000E+14 -0.3129E-02  0.2262E-02  0.7132E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11629633E-02  0.37054693E-03 -0.25471228E-02
 0.1000E+15 -0.3165E-02  0.2267E-02  0.7444E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11732361E-02  0.37139518E-03 -0.25603851E-02
 0.1000E+16 -0.3165E-02  0.2268E-02  0.7432E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11734864E-02  0.37177773E-03 -0.25620259E-02
