  LS    nlcreq                        Temp                       Time    
  1     0.28735700789578E-02           25.0000                          -4.5454545455
  2     0.28745997513946E-02           30.0000                          -3.6363636364
  3     0.28750536235719E-02           35.0000                          -2.7272727273
  4     0.28752316118853E-02           40.0000                          -1.8181818182
  5     0.28752953921199E-02           45.0000                          -0.9090909091
  6     0.28753194392518E-02           50.0000                           0.0000000000
  7     0.28753355182990E-02           55.0000                           0.9090909091
  8     0.28753717551328E-02           60.0000                           1.8181818182
  9     0.28755259946051E-02           65.0000                           2.7272727273
  10    0.28761966327033E-02           70.0000                           3.6363636364
  11    0.28786603134268E-02           75.0000                           4.5454545455
  12    0.28859096707606E-02           80.0000                           5.4545454545
  13    0.29027725053166E-02           85.0000                           6.3636363636
  14    0.29344835687076E-02           90.0000                           7.2727272727
  15    0.29849320132282E-02           95.0000                           8.1818181818
  16    0.30557400940491E-02          100.0000                           9.0909090909
  17    0.31461441736263E-02          105.0000                          10.0000000000
  18    0.32533388771498E-02          110.0000                          10.9090909091
  19    0.33736076820724E-02          115.0000                          11.8181818182
  20    0.35046036507936E-02          120.0000                          12.7272727273
  21    0.36426501491100E-02          125.0000                          13.6363636364
  22    0.42224314150636E-02          125.0000                        1783.6363636364
  23    0.42224315921665E-02          119.5000                        1784.6363636364
  24    0.42224324382697E-02          114.0000                        1785.6363636364
  25    0.42224914645312E-02          108.5000                        1786.6363636364
  26    0.42232066528888E-02          103.0000                        1787.6363636364
  27    0.42268027794042E-02           97.5000                        1788.6363636364
  28    0.42374101126479E-02           92.0000                        1789.6363636364
  29    0.42593705340891E-02           86.5000                        1790.6363636364
  30    0.42952532063545E-02           81.0000                        1791.6363636364
  31    0.43453302912942E-02           75.5000                        1792.6363636364
  32    0.44078473030792E-02           70.0000                        1793.6363636364
  33    0.44803972845716E-02           64.5000                        1794.6363636364
  34    0.45604264738788E-02           59.0000                        1795.6363636364
  35    0.46455807709296E-02           53.5000                        1796.6363636364
  36    0.47338559562679E-02           48.0000                        1797.6363636364
  37    0.48236113700723E-02           42.5000                        1798.6363636364
  38    0.49135282508420E-02           37.0000                        1799.6363636364
  39    0.50025565663832E-02           31.5000                        1800.6363636364
