 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0 -0.2711E-06  0.2973E-05 -0.2711E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.21879924E-05 -0.97158281E-06 -0.21879924E-05
      -39.0  0.2709E-06 -0.2972E-05  0.2709E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.21879434E-05  0.97165066E-06  0.21879434E-05
        0.0 -0.2654E-06  0.2948E-05 -0.2654E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.21859839E-05 -0.97437385E-06 -0.21859839E-05
        1.0  0.2652E-06 -0.2948E-05  0.2652E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.21859324E-05  0.97444571E-06  0.21859324E-05
       85.0 -0.3893E-06  0.3749E-05 -0.3893E-06 -0.1525E-04 -0.1525E-04 -0.1525E-04 -0.23050970E-05 -0.10045801E-05 -0.23050970E-05
       86.0  0.5848E-06 -0.4974E-05  0.5848E-06  0.1681E-04  0.1681E-04  0.1681E-04  0.24817909E-05  0.10385507E-05  0.24817909E-05
       90.0 -0.2345E-05  0.1600E-04 -0.2345E-05 -0.3090E-04 -0.3090E-04 -0.3090E-04 -0.40719911E-05 -0.13446786E-05 -0.40719911E-05
       91.0  0.2540E-05 -0.1722E-04  0.2540E-05  0.3246E-04  0.3246E-04  0.3246E-04  0.42485480E-05  0.13789797E-05  0.42485480E-05
       95.0 -0.4160E-05  0.2737E-04 -0.4160E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.57142993E-05 -0.16631382E-05 -0.57142993E-05
       96.0  0.4159E-05 -0.2737E-04  0.4159E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.57140570E-05  0.16636657E-05  0.57140570E-05
      180.0 -0.4080E-05  0.2692E-04 -0.4080E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.56924031E-05 -0.17116000E-05 -0.56924031E-05
      181.0  0.4079E-05 -0.2692E-04  0.4079E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.56921289E-05  0.17122173E-05  0.56921289E-05
