 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14 -0.4790E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783490E-04  0.12420123E-04 -0.86828621E-04
 0.1000E-13 -0.4800E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783586E-04  0.12421109E-04 -0.86827311E-04
 0.1000E-12 -0.4798E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783755E-04  0.12421266E-04 -0.86827771E-04
 0.1000E-11 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783798E-04  0.12421308E-04 -0.86827891E-04
 0.1000E-10 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783810E-04  0.12421321E-04 -0.86827927E-04
 0.1000E-09 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783814E-04  0.12421325E-04 -0.86827938E-04
 0.1000E-08 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783815E-04  0.12421326E-04 -0.86827941E-04
 0.1000E-07 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783815E-04  0.12421327E-04 -0.86827942E-04
 0.1000E-06 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783815E-04  0.12421327E-04 -0.86827943E-04
 0.1000E-05 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783815E-04  0.12421327E-04 -0.86827943E-04
 0.1000E-04 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783815E-04  0.12421327E-04 -0.86827943E-04
 0.1000E-03 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783816E-04  0.12421327E-04 -0.86827944E-04
 0.1000E-02 -0.4797E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783820E-04  0.12421328E-04 -0.86827951E-04
 0.1000E-01 -0.4798E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30783866E-04  0.12421336E-04 -0.86828021E-04
 0.1000E+00 -0.4800E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30784322E-04  0.12421413E-04 -0.86828725E-04
 0.1000E+01 -0.4823E-05  0.1373E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30788872E-04  0.12422187E-04 -0.86835747E-04
 0.1000E+02 -0.5049E-05  0.1374E-03 -0.4093E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30833402E-04  0.12429764E-04 -0.86904455E-04
 0.1000E+03 -0.6888E-05  0.1380E-03 -0.4089E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.31195127E-04  0.12491189E-04 -0.87461886E-04
 0.1000E+04 -0.1166E-04  0.1397E-03 -0.4081E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32134056E-04  0.12652595E-04 -0.88904251E-04
 0.1000E+05 -0.1631E-04  0.1420E-03 -0.4078E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.33224190E-04  0.12881634E-04 -0.90625762E-04
 0.1000E+06 -0.1339E-04  0.1496E-03 -0.4189E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.35121309E-04  0.13730242E-04 -0.94253577E-04
 0.1000E+07  0.2428E-04  0.1728E-03 -0.4717E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.39597023E-04  0.16859742E-04 -0.10440568E-03
 0.1000E+08  0.1064E-03  0.2164E-03 -0.5785E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.47039476E-04  0.22997884E-04 -0.12276542E-03
 0.1000E+09  0.2017E-03  0.2709E-03 -0.7079E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.55924018E-04  0.30527865E-04 -0.14525048E-03
 0.1000E+10  0.2906E-03  0.3274E-03 -0.8366E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.64676706E-04  0.38137596E-04 -0.16801493E-03
 0.1000E+11  0.3670E-03  0.3823E-03 -0.9556E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72670534E-04  0.45389846E-04 -0.18958558E-03
 0.1000E+12  0.4329E-03  0.4377E-03 -0.1068E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.80608588E-04  0.52727369E-04 -0.21151590E-03
 0.1000E+13  0.4920E-03  0.4958E-03 -0.1180E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.88966503E-04  0.60560667E-04 -0.23500582E-03
 0.1000E+14  0.5550E-03  0.5696E-03 -0.1313E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.10054827E-03  0.70977368E-04 -0.26695954E-03
 0.1000E+15  0.6332E-03  0.6766E-03 -0.1496E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.11861863E-03  0.86856088E-04 -0.31617898E-03
 0.1000E+16  0.7387E-03  0.8472E-03 -0.1770E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.14928464E-03  0.11347201E-03 -0.39892936E-03
