  LS    nlcreq                        Temp                       Time    
  1     0.19116507331213E-02           96.0000                       -1173.1272727273
  2     0.44038639030244E-02           25.0000                       -1002.7272727273
  3     0.51958129231928E-02           25.0000                          -2.7272727273
  4     0.51959238774983E-02           30.0000                          -1.8181818182
  5     0.51959773539125E-02           35.0000                          -0.9090909091
  6     0.51960083967616E-02           40.0000                           0.0000000000
  7     0.51960393514579E-02           45.0000                           0.9090909091
  8     0.51960989914080E-02           50.0000                           1.8181818182
  9     0.51962568968387E-02           55.0000                           2.7272727273
  10    0.51966891788605E-02           60.0000                           3.6363636364
  11    0.51978021564090E-02           65.0000                           4.5454545455
  12    0.52003397860374E-02           70.0000                           5.4545454545
  13    0.52052875688915E-02           75.0000                           6.3636363636
  14    0.52135590696710E-02           80.0000                           7.2727272727
  15    0.52256993063789E-02           85.0000                           8.1818181818
  16    0.52451451894736E-02           90.0000                           9.0909090909
  17    0.52830035747181E-02           95.0000                          10.0000000000
  18    0.53388874471399E-02          100.0000                          10.9090909091
  19    0.53936812382544E-02          105.0000                          11.8181818182
  20    0.54393292472971E-02          110.0000                          12.7272727273
  21    0.54770078197874E-02          115.0000                          13.6363636364
  22    0.55119399931385E-02          120.0000                          14.5454545454
  23    0.55529302386237E-02          125.0000                          15.4545454545
  24    0.58632073384303E-02          125.0000                        1785.4545454545
  25    0.58632131390340E-02          119.5000                        1786.4545454545
  26    0.58632565343109E-02          114.0000                        1787.4545454545
  27    0.58645859204602E-02          108.5000                        1788.4545454545
  28    0.58793117844925E-02          103.0000                        1789.4545454545
  29    0.59468181581843E-02           97.5000                        1790.4545454545
  30    0.61075128081322E-02           92.0000                        1791.4545454545
  31    0.62999399742704E-02           86.5000                        1792.4545454545
  32    0.64611748786514E-02           81.0000                        1793.4545454545
  33    0.66022315660513E-02           75.5000                        1794.4545454545
  34    0.67326994946491E-02           70.0000                        1795.4545454545
  35    0.68558318130459E-02           64.5000                        1796.4545454545
  36    0.69731886484046E-02           59.0000                        1797.4545454545
  37    0.70855027737654E-02           53.5000                        1798.4545454545
  38    0.71931156363464E-02           48.0000                        1799.4545454545
  39    0.72961493149947E-02           42.5000                        1800.4545454545
  40    0.73946192096529E-02           37.0000                        1801.4545454545
  41    0.74884533111161E-02           31.5000                        1802.4545454545
  42    0.75775487704700E-02           26.0000                        1803.4545454545
  43    0.76606262600083E-02           20.5000                        1804.4545454545
  44    0.77376742862738E-02           15.0000                        1805.4545454545
  45    0.78088929809951E-02            9.5000                        1806.4545454545
  46    0.78744205528452E-02            4.0000                        1807.4545454545
  47    0.79343526345719E-02           -1.5000                        1808.4545454545
  48    0.79887678281061E-02           -7.0000                        1809.4545454545
  49    0.80377572286835E-02          -12.5000                        1810.4545454545
  50    0.80814383364279E-02          -18.0000                        1811.4545454545
  51    0.81199640910597E-02          -23.5000                        1812.4545454545
  52    0.81535310726080E-02          -29.0000                        1813.4545454545
  53    0.81823749831266E-02          -34.5000                        1814.4545454545
  54    0.82067769548955E-02          -40.0000                        1815.4545454545
  55    0.96311927412906E-02          -40.0000                        3585.4545454545
  56    0.96314381531066E-02          -33.5000                        3586.6363636363
  57    0.96316744265584E-02          -27.0000                        3587.8181818182
  58    0.96318955085376E-02          -20.5000                        3589.0000000000
  59    0.96321004482297E-02          -14.0000                        3590.1818181818
  60    0.96322941860998E-02           -7.5000                        3591.3636363636
  61    0.96324876211173E-02           -1.0000                        3592.5454545454
  62    0.96327004040228E-02            5.5000                        3593.7272727272
  63    0.96329710598277E-02           12.0000                        3594.9090909090
  64    0.96333883330806E-02           18.5000                        3596.0909090908
  65    0.96341716554852E-02           25.0000                        3597.2727272726
  66    0.96352481175191E-02           30.0000                        3598.1818181817
  67    0.96372021225407E-02           35.0000                        3599.0909090908
  68    0.96406583083390E-02           40.0000                        3599.9999999999
  69    0.96464515840619E-02           45.0000                        3600.9090909090
  70    0.96557119378828E-02           50.0000                        3601.8181818181
  71    0.96697587909251E-02           55.0000                        3602.7272727272
  72    0.96899540015316E-02           60.0000                        3603.6363636363
  73    0.97173108907731E-02           65.0000                        3604.5454545454
  74    0.97518254080294E-02           70.0000                        3605.4545454544
  75    0.97920210429171E-02           75.0000                        3606.3636363635
  76    0.98354195159962E-02           80.0000                        3607.2727272726
  77    0.98794997456128E-02           85.0000                        3608.1818181817
  78    0.99282441174951E-02           90.0000                        3609.0909090908
  79    0.99952465436275E-02           95.0000                        3609.9999999999
  80    0.10074845055256E-01          100.0000                        3610.9090909090
  81    0.10150211315008E-01          105.0000                        3611.8181818181
  82    0.10221791269335E-01          110.0000                        3612.7272727272
  83    0.10293342360413E-01          115.0000                        3613.6363636363
  84    0.10371803208254E-01          120.0000                        3614.5454545453
  85    0.10467893104215E-01          125.0000                        3615.4545454544
  86    0.11471072707887E-01          125.0000                        5385.4545454544
  87    0.11471091615901E-01          119.5000                        5386.4545454544
  88    0.11471215815987E-01          114.0000                        5387.4545454544
  89    0.11472839342060E-01          108.5000                        5388.4545454544
  90    0.11486289119886E-01          103.0000                        5389.4545454544
  91    0.11540684692932E-01           97.5000                        5390.4545454544
  92    0.11662842978772E-01           92.0000                        5391.4545454544
  93    0.11808247272605E-01           86.5000                        5392.4545454544
  94    0.11932439411761E-01           81.0000                        5393.4545454544
  95    0.12044875138041E-01           75.5000                        5394.4545454544
  96    0.12152191161563E-01           70.0000                        5395.4545454544
  97    0.12256382964407E-01           64.5000                        5396.4545454544
  98    0.12358104880709E-01           59.0000                        5397.4545454544
  99    0.12457412871440E-01           53.5000                        5398.4545454544
  100   0.12554122785038E-01           48.0000                        5399.4545454544
  101   0.12647950610848E-01           42.5000                        5400.4545454544
  102   0.12738592561624E-01           37.0000                        5401.4545454544
  103   0.12825730773767E-01           31.5000                        5402.4545454544
  104   0.12909068506222E-01           26.0000                        5403.4545454544
  105   0.12987441130541E-01           20.5000                        5404.4545454544
  106   0.13060664744304E-01           15.0000                        5405.4545454544
  107   0.13128758682815E-01            9.5000                        5406.4545454544
  108   0.13191724335613E-01            4.0000                        5407.4545454544
  109   0.13249551442779E-01           -1.5000                        5408.4545454544
  110   0.13302241797132E-01           -7.0000                        5409.4545454544
  111   0.13349824195302E-01          -12.5000                        5410.4545454544
  112   0.13392364785136E-01          -18.0000                        5411.4545454544
  113   0.13429973133127E-01          -23.5000                        5412.4545454544
  114   0.13462806763002E-01          -29.0000                        5413.4545454544
  115   0.13491073089779E-01          -34.5000                        5414.4545454544
  116   0.13515029122573E-01          -40.0000                        5415.4545454544
  117   0.14908527266410E-01          -40.0000                        7185.4545454544
  118   0.14908765598753E-01          -33.5000                        7186.6363636362
  119   0.14908993166437E-01          -27.0000                        7187.8181818181
  120   0.14909203961923E-01          -20.5000                        7188.9999999999
  121   0.14909397092567E-01          -14.0000                        7190.1818181817
  122   0.14909577128025E-01           -7.5000                        7191.3636363635
  123   0.14909753887463E-01           -1.0000                        7192.5454545453
  124   0.14909944271709E-01            5.5000                        7193.7272727271
  125   0.14910179428941E-01           12.0000                        7194.9090909089
  126   0.14910530539023E-01           18.5000                        7196.0909090907
  127   0.14911181091756E-01           25.0000                        7197.2727272725
  128   0.14912086003750E-01           30.0000                        7198.1818181816
  129   0.14913773517880E-01           35.0000                        7199.0909090907
  130   0.14916859128725E-01           40.0000                        7199.9999999998
  131   0.14922195700284E-01           45.0000                        7200.9090909089
  132   0.14930939313084E-01           50.0000                        7201.8181818180
  133   0.14944436917189E-01           55.0000                        7202.7272727271
  134   0.14964085773611E-01           60.0000                        7203.6363636362
  135   0.14990950855114E-01           65.0000                        7204.5454545453
  136   0.15025107014812E-01           70.0000                        7205.4545454543
  137   0.15065202569785E-01           75.0000                        7206.3636363634
  138   0.15108858399387E-01           80.0000                        7207.2727272725
  139   0.15153753941562E-01           85.0000                        7208.1818181816
  140   0.15204557772918E-01           90.0000                        7209.0909090907
  141   0.15276717468791E-01           95.0000                        7209.9999999998
  142   0.15366355419442E-01          100.0000                        7210.9090909089
  143   0.15455913639658E-01          105.0000                        7211.8181818180
  144   0.15545016918159E-01          110.0000                        7212.7272727271
  145   0.15637248025900E-01          115.0000                        7213.6363636362
  146   0.15739945926514E-01          120.0000                        7214.5454545453
  147   0.15865045704483E-01          125.0000                        7215.4545454543
  148   0.17436605096408E-01          125.0000                        8985.4545454543
  149   0.17436641264219E-01          119.5000                        8986.4545454543
  150   0.17436798010198E-01          114.0000                        8987.4545454543
  151   0.17438423751561E-01          108.5000                        8988.4545454543
  152   0.17450837657853E-01          103.0000                        8989.4545454543
  153   0.17500166597970E-01           97.5000                        8990.4545454543
  154   0.17611653255562E-01           92.0000                        8991.4545454543
  155   0.17745519110531E-01           86.5000                        8992.4545454543
  156   0.17860641980738E-01           81.0000                        8993.4545454543
  157   0.17965646215385E-01           75.5000                        8994.4545454543
  158   0.18066529937724E-01           70.0000                        8995.4545454543
  159   0.18165068217734E-01           64.5000                        8996.4545454543
  160   0.18261799020353E-01           59.0000                        8997.4545454543
  161   0.18356705025639E-01           53.5000                        8998.4545454543
  162   0.18449542279141E-01           48.0000                        8999.4545454543
  163   0.18539971895006E-01           42.5000                        9000.4545454543
  164   0.18627637450080E-01           37.0000                        9001.4545454543
  165   0.18712172488324E-01           31.5000                        9002.4545454543
