  LS    nlcreq                        Temp                       Time    
  1     0.44615260176960E-02           25.0000                       -1003.6363636364
  2     0.52783788892716E-02           25.0000                          -3.6363636364
  3     0.52784934530984E-02           30.0000                          -2.7272727273
  4     0.52785494761447E-02           35.0000                          -1.8181818182
  5     0.52785825677659E-02           40.0000                          -0.9090909091
  6     0.52786155737309E-02           45.0000                           0.0000000000
  7     0.52786778711810E-02           50.0000                           0.9090909091
  8     0.52788377285896E-02           55.0000                           1.8181818182
  9     0.52792636363671E-02           60.0000                           2.7272727273
  10    0.52803404686799E-02           65.0000                           3.6363636364
  11    0.52828004389309E-02           70.0000                           4.5454545455
  12    0.52877114422284E-02           75.0000                           5.4545454545
  13    0.52962114233910E-02           80.0000                           6.3636363636
  14    0.53091408624770E-02           85.0000                           7.2727272727
  15    0.53304500361664E-02           90.0000                           8.1818181818
  16    0.53709716187768E-02           95.0000                           9.0909090909
  17    0.54270324381088E-02          100.0000                          10.0000000000
  18    0.54730283231400E-02          105.0000                          10.9090909091
  19    0.55064120347512E-02          110.0000                          11.8181818182
  20    0.55334442448020E-02          115.0000                          12.7272727273
  21    0.55588487505583E-02          120.0000                          13.6363636364
  22    0.55924656421443E-02          125.0000                          14.5454545454
  23    0.59631743750151E-02          125.0000                        1784.5454545454
  24    0.59631795131817E-02          119.5000                        1785.5454545454
  25    0.59632104512497E-02          114.0000                        1786.5454545454
  26    0.59641559822096E-02          108.5000                        1787.5454545454
  27    0.59756868267870E-02          103.0000                        1788.5454545454
  28    0.60343152178103E-02           97.5000                        1789.5454545454
  29    0.61834506098787E-02           92.0000                        1790.5454545454
  30    0.63676154331224E-02           86.5000                        1791.5454545454
  31    0.65239191720048E-02           81.0000                        1792.5454545454
  32    0.66618321080072E-02           75.5000                        1793.5454545454
  33    0.67899416402401E-02           70.0000                        1794.5454545454
  34    0.69110958539330E-02           64.5000                        1795.5454545454
  35    0.70266856431523E-02           59.0000                        1796.5454545454
  36    0.71373910828900E-02           53.5000                        1797.5454545454
  37    0.72435296570704E-02           48.0000                        1798.5454545454
  38    0.73452008568334E-02           42.5000                        1799.5454545454
  39    0.74424352126384E-02           37.0000                        1800.5454545454
  40    0.75351561351442E-02           31.5000                        1801.5454545454
  41    0.76232470829943E-02           26.0000                        1802.5454545454
  42    0.77054300807405E-02           20.5000                        1803.5454545454
  43    0.77816690277697E-02           15.0000                        1804.5454545454
  44    0.78521414777226E-02            9.5000                        1805.5454545454
  45    0.79169679081624E-02            4.0000                        1806.5454545454
  46    0.79762297032437E-02           -1.5000                        1807.5454545454
