 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312172E-04  0.12647864E-04 -0.91046881E-04
 0.1000E-13 -0.1509E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312253E-04  0.12648872E-04 -0.91045559E-04
 0.1000E-12 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312425E-04  0.12649035E-04 -0.91046033E-04
 0.1000E-11 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312469E-04  0.12649080E-04 -0.91046159E-04
 0.1000E-10 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312481E-04  0.12649094E-04 -0.91046196E-04
 0.1000E-09 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312485E-04  0.12649098E-04 -0.91046207E-04
 0.1000E-08 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312486E-04  0.12649099E-04 -0.91046211E-04
 0.1000E-07 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312487E-04  0.12649100E-04 -0.91046213E-04
 0.1000E-06 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312488E-04  0.12649100E-04 -0.91046215E-04
 0.1000E-05 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312498E-04  0.12649102E-04 -0.91046230E-04
 0.1000E-04 -0.1508E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32312596E-04  0.12649117E-04 -0.91046380E-04
 0.1000E-03 -0.1509E-04  0.1399E-03 -0.4234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32313580E-04  0.12649271E-04 -0.91047878E-04
 0.1000E-02 -0.1514E-04  0.1399E-03 -0.4233E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32323337E-04  0.12650798E-04 -0.91062729E-04
 0.1000E-01 -0.1564E-04  0.1400E-03 -0.4232E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32416690E-04  0.12665400E-04 -0.91204779E-04
 0.1000E+00 -0.1932E-04  0.1412E-03 -0.4224E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.33105370E-04  0.12772326E-04 -0.92249615E-04
 0.1000E+01 -0.2588E-04  0.1431E-03 -0.4206E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.34298772E-04  0.12955475E-04 -0.94042768E-04
 0.1000E+02 -0.3091E-04  0.1447E-03 -0.4191E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.35199887E-04  0.13097889E-04 -0.95393229E-04
 0.1000E+03 -0.3638E-04  0.1463E-03 -0.4173E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.36148360E-04  0.13243188E-04 -0.96800307E-04
 0.1000E+04 -0.4284E-04  0.1482E-03 -0.4149E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.37250159E-04  0.13410285E-04 -0.98421907E-04
 0.1000E+05 -0.4899E-04  0.1514E-03 -0.4143E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.38592372E-04  0.13708186E-04 -0.10053147E-03
 0.1000E+06 -0.4605E-04  0.1595E-03 -0.4254E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.40776356E-04  0.14682882E-04 -0.10467393E-03
 0.1000E+07 -0.2194E-06  0.1859E-03 -0.4877E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45791726E-04  0.18423627E-04 -0.11644216E-03
 0.1000E+08  0.9544E-04  0.2351E-03 -0.6108E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.53864539E-04  0.25600403E-04 -0.13729097E-03
 0.1000E+09  0.2041E-03  0.2943E-03 -0.7549E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.62573227E-04  0.33945188E-04 -0.16094762E-03
 0.1000E+10  0.3004E-03  0.3536E-03 -0.8911E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.70746066E-04  0.41939606E-04 -0.18367239E-03
 0.1000E+11  0.3807E-03  0.4114E-03 -0.1015E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.78550655E-04  0.49546008E-04 -0.20563473E-03
 0.1000E+12  0.4473E-03  0.4673E-03 -0.1128E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.85870352E-04  0.56855928E-04 -0.22678892E-03
 0.1000E+13  0.5012E-03  0.5180E-03 -0.1225E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.92135755E-04  0.63455173E-04 -0.24563800E-03
 0.1000E+14  0.5448E-03  0.5634E-03 -0.1308E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.97724778E-04  0.69386442E-04 -0.26262190E-03
 0.1000E+15  0.5829E-03  0.6065E-03 -0.1386E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.10342105E-03  0.75170012E-04 -0.27952749E-03
 0.1000E+16  0.6133E-03  0.6431E-03 -0.1452E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.10913917E-03  0.80418006E-04 -0.29551284E-03
