  LS    nlcreq                        Temp                       Time    
  1     0.10167849450836E-02           96.0000                       -1173.1272727273
  2     0.26412653687494E-02           25.0000                       -1002.7272727273
  3     0.34642782584917E-02           25.0000                          -2.7272727273
  4     0.34644196322937E-02           30.0000                          -1.8181818182
  5     0.34644984555400E-02           35.0000                          -0.9090909091
  6     0.34645504087645E-02           40.0000                           0.0000000000
  7     0.34646011973705E-02           45.0000                           0.9090909091
  8     0.34646825933756E-02           50.0000                           1.8181818182
  9     0.34648599648264E-02           55.0000                           2.7272727273
  10    0.34652850040268E-02           60.0000                           3.6363636364
  11    0.34662828818127E-02           65.0000                           4.5454545455
  12    0.34684889312773E-02           70.0000                           5.4545454545
  13    0.34729103466510E-02           75.0000                           6.3636363636
  14    0.34809903989313E-02           80.0000                           7.2727272727
  15    0.34943790753131E-02           85.0000                           8.1818181818
  16    0.35148206992001E-02           90.0000                           9.0909090909
  17    0.35431263709367E-02           95.0000                          10.0000000000
  18    0.35801962128005E-02          100.0000                          10.9090909091
  19    0.36252418300169E-02          105.0000                          11.8181818182
  20    0.36776886923704E-02          110.0000                          12.7272727273
  21    0.37359848915042E-02          115.0000                          13.6363636364
  22    0.37968948357675E-02          120.0000                          14.5454545454
  23    0.38580996877119E-02          125.0000                          15.4545454545
  24    0.41756294434536E-02          125.0000                        1785.4545454545
  25    0.41756315317493E-02          119.5000                        1786.4545454545
  26    0.41756344881773E-02          114.0000                        1787.4545454545
  27    0.41756602950738E-02          108.5000                        1788.4545454545
  28    0.41758860271730E-02          103.0000                        1789.4545454545
  29    0.41769883959838E-02           97.5000                        1790.4545454545
  30    0.41804596183649E-02           92.0000                        1791.4545454545
  31    0.41884213615762E-02           86.5000                        1792.4545454545
  32    0.42029635259527E-02           81.0000                        1793.4545454545
  33    0.42253942423714E-02           75.5000                        1794.4545454545
  34    0.42558479230627E-02           70.0000                        1795.4545454545
  35    0.42936859462621E-02           64.5000                        1796.4545454545
  36    0.43381487555566E-02           59.0000                        1797.4545454545
  37    0.43879888560213E-02           53.5000                        1798.4545454545
  38    0.44418928199711E-02           48.0000                        1799.4545454545
  39    0.44986012009967E-02           42.5000                        1800.4545454545
  40    0.45569367596451E-02           37.0000                        1801.4545454545
  41    0.46158166684952E-02           31.5000                        1802.4545454545
  42    0.46743126859601E-02           26.0000                        1803.4545454545
  43    0.47309422312679E-02           20.5000                        1804.4545454545
  44    0.47850101049486E-02           15.0000                        1805.4545454545
  45    0.48360978277741E-02            9.5000                        1806.4545454545
  46    0.48838692491080E-02            4.0000                        1807.4545454545
  47    0.49280767701471E-02           -1.5000                        1808.4545454545
  48    0.49685342838496E-02           -7.0000                        1809.4545454545
  49    0.50051337304624E-02          -12.5000                        1810.4545454545
  50    0.50378451071542E-02          -18.0000                        1811.4545454545
  51    0.50667008494258E-02          -23.5000                        1812.4545454545
  52    0.50917908336275E-02          -29.0000                        1813.4545454545
  53    0.51132680991912E-02          -34.5000                        1814.4545454545
  54    0.51313392127484E-02          -40.0000                        1815.4545454545
  55    0.63826606972381E-02          -40.0000                        3585.4545454545
  56    0.63829026683485E-02          -33.5000                        3586.6363636363
  57    0.63831439434771E-02          -27.0000                        3587.8181818182
  58    0.63833793089359E-02          -20.5000                        3589.0000000000
  59    0.63836091634840E-02          -14.0000                        3590.1818181818
  60    0.63838380864760E-02           -7.5000                        3591.3636363636
  61    0.63840723453864E-02           -1.0000                        3592.5454545454
  62    0.63843209210329E-02            5.5000                        3593.7272727272
  63    0.63845967226983E-02           12.0000                        3594.9090909090
  64    0.63849254671298E-02           18.5000                        3596.0909090908
  65    0.63853745089483E-02           25.0000                        3597.2727272726
  66    0.63858779928505E-02           30.0000                        3598.1818181817
  67    0.63867074253460E-02           35.0000                        3599.0909090908
  68    0.63881791160430E-02           40.0000                        3599.9999999999
  69    0.63907936104926E-02           45.0000                        3600.9090909090
  70    0.63952789495520E-02           50.0000                        3601.8181818181
  71    0.64025263057329E-02           55.0000                        3602.7272727272
  72    0.64136772381823E-02           60.0000                        3603.6363636363
  73    0.64301739679977E-02           65.0000                        3604.5454545454
  74    0.64534277102257E-02           70.0000                        3605.4545454544
  75    0.64847302101572E-02           75.0000                        3606.3636363635
  76    0.65247508386012E-02           80.0000                        3607.2727272726
  77    0.65735952404917E-02           85.0000                        3608.1818181817
  78    0.66315021674553E-02           90.0000                        3609.0909090908
  79    0.66969492388438E-02           95.0000                        3609.9999999999
  80    0.67702810109044E-02          100.0000                        3610.9090909090
  81    0.68498116580221E-02          105.0000                        3611.8181818181
  82    0.69354286736646E-02          110.0000                        3612.7272727272
  83    0.70263770173482E-02          115.0000                        3613.6363636363
  84    0.71207630252296E-02          120.0000                        3614.5454545453
  85    0.72177298144725E-02          125.0000                        3615.4545454544
  86    0.79384693078406E-02          125.0000                        5385.4545454544
  87    0.79384732950337E-02          119.5000                        5386.4545454544
  88    0.79384755253073E-02          114.0000                        5387.4545454544
  89    0.79384984329125E-02          108.5000                        5388.4545454544
  90    0.79386779630790E-02          103.0000                        5389.4545454544
  91    0.79395010807159E-02           97.5000                        5390.4545454544
  92    0.79420235651605E-02           92.0000                        5391.4545454544
  93    0.79477710423949E-02           86.5000                        5392.4545454544
  94    0.79583435359737E-02           81.0000                        5393.4545454544
  95    0.79749187494021E-02           75.5000                        5394.4545454544
  96    0.79979276628136E-02           70.0000                        5395.4545454544
  97    0.80272287689996E-02           64.5000                        5396.4545454544
  98    0.80624573088732E-02           59.0000                        5397.4545454544
  99    0.81027847509725E-02           53.5000                        5398.4545454544
  100   0.81472380157707E-02           48.0000                        5399.4545454544
  101   0.81948106469591E-02           42.5000                        5400.4545454544
  102   0.82445020419549E-02           37.0000                        5401.4545454544
  103   0.82953432929982E-02           31.5000                        5402.4545454544
  104   0.83464646883015E-02           26.0000                        5403.4545454544
  105   0.83965597641540E-02           20.5000                        5404.4545454544
  106   0.84449138572311E-02           15.0000                        5405.4545454544
  107   0.84910411509437E-02            9.5000                        5406.4545454544
  108   0.85345400425360E-02            4.0000                        5407.4545454544
  109   0.85750975331641E-02           -1.5000                        5408.4545454544
  110   0.86124628973423E-02           -7.0000                        5409.4545454544
  111   0.86464696608184E-02          -12.5000                        5410.4545454544
  112   0.86770303958396E-02          -18.0000                        5411.4545454544
  113   0.87041234792115E-02          -23.5000                        5412.4545454544
  114   0.87277883025181E-02          -29.0000                        5413.4545454544
  115   0.87481291776399E-02          -34.5000                        5414.4545454544
  116   0.87653080760766E-02          -40.0000                        5415.4545454544
  117   0.99478124594061E-02          -40.0000                        7185.4545454544
  118   0.99480403491999E-02          -33.5000                        7186.6363636362
  119   0.99482644999497E-02          -27.0000                        7187.8181818181
  120   0.99484795096726E-02          -20.5000                        7188.9999999999
  121   0.99486851159807E-02          -14.0000                        7190.1818181817
  122   0.99488847281326E-02           -7.5000                        7191.3636363635
  123   0.99490830586519E-02           -1.0000                        7192.5454545453
  124   0.99492869474160E-02            5.5000                        7193.7272727271
  125   0.99495058604762E-02           12.0000                        7194.9090909089
  126   0.99497573629809E-02           18.5000                        7196.0909090907
  127   0.99500874766974E-02           25.0000                        7197.2727272725
  128   0.99504521399045E-02           30.0000                        7198.1818181816
  129   0.99510633950672E-02           35.0000                        7199.0909090907
  130   0.99522067051962E-02           40.0000                        7199.9999999998
  131   0.99543876162330E-02           45.0000                        7200.9090909089
  132   0.99583953280808E-02           50.0000                        7201.8181818180
  133   0.99652264993503E-02           55.0000                        7202.7272727271
  134   0.99761206479766E-02           60.0000                        7203.6363636362
  135   0.99925952522868E-02           65.0000                        7204.5454545453
  136   0.10016120501341E-01           70.0000                        7205.4545454543
  137   0.10048036250434E-01           75.0000                        7206.3636363634
  138   0.10089045389293E-01           80.0000                        7207.2727272725
  139   0.10139320789854E-01           85.0000                        7208.1818181816
  140   0.10199158699645E-01           90.0000                        7209.0909090907
  141   0.10267178511271E-01           95.0000                        7209.9999999998
  142   0.10343760617302E-01          100.0000                        7210.9090909089
  143   0.10427367623061E-01          105.0000                        7211.8181818180
  144   0.10517962388833E-01          110.0000                        7212.7272727271
  145   0.10614915379470E-01          115.0000                        7213.6363636362
  146   0.10716599510082E-01          120.0000                        7214.5454545453
  147   0.10822381364605E-01          125.0000                        7215.4545454543
  148   0.11724268231850E-01          125.0000                        8985.4545454543
  149   0.11724276805110E-01          119.5000                        8986.4545454543
  150   0.11724282801446E-01          114.0000                        8987.4545454543
  151   0.11724322134765E-01          108.5000                        8988.4545454543
  152   0.11724550181031E-01          103.0000                        8989.4545454543
  153   0.11725436883124E-01           97.5000                        8990.4545454543
  154   0.11727918620295E-01           92.0000                        8991.4545454543
  155   0.11733314243720E-01           86.5000                        8992.4545454543
  156   0.11743039574587E-01           81.0000                        8993.4545454543
  157   0.11758206240442E-01           75.5000                        8994.4545454543
  158   0.11779315970752E-01           70.0000                        8995.4545454543
  159   0.11806366058188E-01           64.5000                        8996.4545454543
  160   0.11839113370765E-01           59.0000                        8997.4545454543
  161   0.11876852123145E-01           53.5000                        8998.4545454543
  162   0.11918707415728E-01           48.0000                        8999.4545454543
  163   0.11963743640064E-01           42.5000                        9000.4545454543
  164   0.12011010528233E-01           37.0000                        9001.4545454543
  165   0.12059573071541E-01           31.5000                        9002.4545454543
  166   0.12108581479728E-01           26.0000                        9003.4545454543
  167   0.12156783646419E-01           20.5000                        9004.4545454543
  168   0.12203463978565E-01           15.0000                        9005.4545454543
  169   0.12248121121811E-01            9.5000                        9006.4545454543
  170   0.12290337679807E-01            4.0000                        9007.4545454543
  171   0.12329784762184E-01           -1.5000                        9008.4545454543
  172   0.12366196557143E-01           -7.0000                        9009.4545454543
  173   0.12399391747691E-01          -12.5000                        9010.4545454543
  174   0.12429268556195E-01          -18.0000                        9011.4545454543
  175   0.12455791578290E-01          -23.5000                        9012.4545454543
  176   0.12478987167924E-01          -29.0000                        9013.4545454543
  177   0.12498947106304E-01          -34.5000                        9014.4545454543
  178   0.12515822467961E-01          -40.0000                        9015.4545454543
  179   0.13674407350787E-01          -40.0000                       10785.4545454543
  180   0.13674629192256E-01          -33.5000                       10786.6363636362
  181   0.13674845779756E-01          -27.0000                       10787.8181818180
  182   0.13675051419105E-01          -20.5000                       10788.9999999998
  183   0.13675245479030E-01          -14.0000                       10790.1818181816
  184   0.13675430690322E-01           -7.5000                       10791.3636363634
  185   0.13675610970673E-01           -1.0000                       10792.5454545452
  186   0.13675792175718E-01            5.5000                       10793.7272727270
  187   0.13675982490038E-01           12.0000                       10794.9090909088
  188   0.13676196840086E-01           18.5000                       10796.0909090906
  189   0.13676474854366E-01           25.0000                       10797.2727272724
