  LS    nlcreq                        Temp                       Time    
  1     0.71984121320379E-16          150.0000                       -1301.7181818182
  2     0.99890663694778E-03           96.0000                       -1172.2181818182
  3     0.26201264821857E-02           25.0000                       -1001.8181818182
  4     0.34439642408194E-02           25.0000                          -1.8181818182
  5     0.34441062982616E-02           30.0000                          -0.9090909091
  6     0.34441858416587E-02           35.0000                           0.0000000000
  7     0.34442385384820E-02           40.0000                           0.9090909091
  8     0.34442902981881E-02           45.0000                           1.8181818182
  9     0.34443732909943E-02           50.0000                           2.7272727273
  10    0.34445533372212E-02           55.0000                           3.6363636364
  11    0.34449822337576E-02           60.0000                           4.5454545455
  12    0.34459837197795E-02           65.0000                           5.4545454545
  13    0.34481804864884E-02           70.0000                           6.3636363636
  14    0.34526107557650E-02           75.0000                           7.2727272727
  15    0.34607994223993E-02           80.0000                           8.1818181818
  16    0.34747060189022E-02           85.0000                           9.0909090909
  17    0.34964277448190E-02           90.0000                          10.0000000000
  18    0.35272462806290E-02           95.0000                          10.9090909091
  19    0.35676474672884E-02          100.0000                          11.8181818182
  20    0.36163958138654E-02          105.0000                          12.7272727273
  21    0.36717210924941E-02          110.0000                          13.6363636364
  22    0.37308227085709E-02          115.0000                          14.5454545454
  23    0.37919845793071E-02          120.0000                          15.4545454545
  24    0.38520143909390E-02          125.0000                          16.3636363636
  25    0.41518534335963E-02          125.0000                        1786.3636363636
  26    0.41518554047814E-02          119.5000                        1787.3636363636
  27    0.41518584208506E-02          114.0000                        1788.3636363636
  28    0.41518870611384E-02          108.5000                        1789.3636363636
  29    0.41521382391795E-02          103.0000                        1790.3636363636
  30    0.41533510131978E-02           97.5000                        1791.3636363636
  31    0.41571213335960E-02           92.0000                        1792.3636363636
  32    0.41656528504224E-02           86.5000                        1793.3636363636
  33    0.41810231943067E-02           81.0000                        1794.3636363636
  34    0.42044625408635E-02           75.5000                        1795.3636363636
  35    0.42358926474589E-02           70.0000                        1796.3636363636
  36    0.42748511835789E-02           64.5000                        1797.3636363636
  37    0.43203348261250E-02           59.0000                        1798.3636363636
  38    0.43710691380123E-02           53.5000                        1799.3636363636
  39    0.44257353304927E-02           48.0000                        1800.3636363636
  40    0.44830794177547E-02           42.5000                        1801.3636363636
  41    0.45419352615968E-02           37.0000                        1802.3636363636
  42    0.46012334630106E-02           31.5000                        1803.3636363636
  43    0.46600618191242E-02           26.0000                        1804.3636363636
  44    0.47169391969901E-02           20.5000                        1805.3636363636
  45    0.47711853783077E-02           15.0000                        1806.3636363636
  46    0.48223968789295E-02            9.5000                        1807.3636363636
  47    0.48702484482701E-02            4.0000                        1808.3636363636
  48    0.49145010818939E-02           -1.5000                        1809.3636363636
  49    0.49549739569799E-02           -7.0000                        1810.3636363636
  50    0.49915663898950E-02          -12.5000                        1811.3636363636
  51    0.50242524948585E-02          -18.0000                        1812.3636363636
  52    0.50530703525942E-02          -23.5000                        1813.3636363636
  53    0.50781137700643E-02          -29.0000                        1814.3636363636
  54    0.50995406138015E-02          -34.5000                        1815.3636363636
  55    0.51175595281147E-02          -40.0000                        1816.3636363636
  56    0.63713369968075E-02          -40.0000                        3586.3636363636
  57    0.63715802249538E-02          -33.5000                        3587.5454545454
  58    0.63718232837292E-02          -27.0000                        3588.7272727272
  59    0.63720608838821E-02          -20.5000                        3589.9090909091
  60    0.63722935116426E-02          -14.0000                        3591.0909090909
