  LS    nlcreq                        Temp                       Time    
  1     0.18444811935737E-02           30.0000                          -4.5454545455
  2     0.18453760002958E-02           35.0000                          -3.6363636364
  3     0.18458876490405E-02           40.0000                          -2.7272727273
  4     0.18461700989078E-02           45.0000                          -1.8181818182
  5     0.18463261982451E-02           50.0000                          -0.9090909091
  6     0.18464182623755E-02           55.0000                           0.0000000000
  7     0.18464815311639E-02           60.0000                           0.9090909091
  8     0.18465399542951E-02           65.0000                           1.8181818182
  9     0.18466250023080E-02           70.0000                           2.7272727273
  10    0.18468126204525E-02           75.0000                           3.6363636364
  11    0.18473137759430E-02           80.0000                           4.5454545455
  12    0.18486593274547E-02           85.0000                           5.4545454545
  13    0.18519289406164E-02           90.0000                           6.3636363636
  14    0.18588284362591E-02           95.0000                           7.2727272727
  15    0.18714292777427E-02          100.0000                           8.1818181818
  16    0.18916766048302E-02          105.0000                           9.0909090909
  17    0.19210083575346E-02          110.0000                          10.0000000000
  18    0.19602554785659E-02          115.0000                          10.9090909091
  19    0.20093531390316E-02          120.0000                          11.8181818182
  20    0.20673610330698E-02          125.0000                          12.7272727273
  21    0.24169505985576E-02          125.0000                        1782.7272727273
  22    0.24169513335719E-02          119.5000                        1783.7272727273
  23    0.24169519562213E-02          114.0000                        1784.7272727273
  24    0.24169565097403E-02          108.5000                        1785.7272727273
  25    0.24170207344847E-02          103.0000                        1786.7272727273
  26    0.24174285483135E-02           97.5000                        1787.7272727273
  27    0.24189339458710E-02           92.0000                        1788.7272727273
  28    0.24228140394582E-02           86.5000                        1789.7272727273
  29    0.24305644390797E-02           81.0000                        1790.7272727273
  30    0.24434203219460E-02           75.5000                        1791.7272727273
  31    0.24619105206023E-02           70.0000                        1792.7272727273
  32    0.24860013899496E-02           64.5000                        1793.7272727273
  33    0.25152070830771E-02           59.0000                        1794.7272727273
  34    0.25487578610830E-02           53.5000                        1795.7272727273
  35    0.25857464080478E-02           48.0000                        1796.7272727273
  36    0.26252294409007E-02           42.5000                        1797.7272727273
  37    0.26662928629913E-02           37.0000                        1798.7272727273
  38    0.27080918545895E-02           31.5000                        1799.7272727273
  39    0.27498704805245E-02           26.0000                        1800.7272727273
  40    0.27904675816548E-02           20.5000                        1801.7272727273
  41    0.28292999541228E-02           15.0000                        1802.7272727273
  42    0.28659975477345E-02            9.5000                        1803.7272727273
  43    0.29002631527423E-02            4.0000                        1804.7272727273
  44    0.29318727185803E-02           -1.5000                        1805.7272727273
  45    0.29606722366600E-02           -7.0000                        1806.7272727273
  46    0.29865751945419E-02          -12.5000                        1807.7272727273
  47    0.30095552581934E-02          -18.0000                        1808.7272727273
  48    0.30296447259705E-02          -23.5000                        1809.7272727273
  49    0.30469304877644E-02          -29.0000                        1810.7272727273
  50    0.30615485052631E-02          -34.5000                        1811.7272727273
  51    0.30736777677038E-02          -40.0000                        1812.7272727273
  52    0.40992287772978E-02          -40.0000                        3582.7272727273
  53    0.40994547090617E-02          -33.5000                        3583.9090909091
  54    0.40996905947345E-02          -27.0000                        3585.0909090909
  55    0.40999295129954E-02          -20.5000                        3586.2727272727
  56    0.41001671994885E-02          -14.0000                        3587.4545454545
  57    0.41004029151942E-02           -7.5000                        3588.6363636363
  58    0.41006401247429E-02           -1.0000                        3589.8181818181
  59    0.41008868653286E-02            5.5000                        3590.9999999999
  60    0.41011559737388E-02           12.0000                        3592.1818181817
  61    0.41014699886627E-02           18.5000                        3593.3636363635
  62    0.41018778765887E-02           25.0000                        3594.5454545454
  63    0.41023008782514E-02           30.0000                        3595.4545454544
  64    0.41029393141844E-02           35.0000                        3596.3636363635
  65    0.41040025935581E-02           40.0000                        3597.2727272726
  66    0.41058703272755E-02           45.0000                        3598.1818181817
  67    0.41091450027073E-02           50.0000                        3599.0909090908
  68    0.41146634549914E-02           55.0000                        3599.9999999999
  69    0.41234769278112E-02           60.0000                        3600.9090909090
  70    0.41367960337226E-02           65.0000                        3601.8181818181
  71    0.41558657431646E-02           70.0000                        3602.7272727272
  72    0.41818362184050E-02           75.0000                        3603.6363636363
  73    0.42157735306396E-02           80.0000                        3604.5454545454
  74    0.42585003314004E-02           85.0000                        3605.4545454544
  75    0.43103694875270E-02           90.0000                        3606.3636363635
