  LS    nlcreq                        Temp                       Time    
  1     0.14413372803076E-02           55.0000                          -4.5454545455
  2     0.14419766664815E-02           60.0000                          -3.6363636364
  3     0.14422580471147E-02           65.0000                          -2.7272727273
  4     0.14423791204273E-02           70.0000                          -1.8181818182
  5     0.14424358449343E-02           75.0000                          -0.9090909091
  6     0.14424700182417E-02           80.0000                           0.0000000000
  7     0.14425073088322E-02           85.0000                           0.9090909091
  8     0.14425937273997E-02           90.0000                           1.8181818182
  9     0.14428807320016E-02           95.0000                           2.7272727273
  10    0.14438323265163E-02          100.0000                           3.6363636364
  11    0.14465286176684E-02          105.0000                           4.5454545455
  12    0.14527976832169E-02          110.0000                           5.4545454545
  13    0.14649426273421E-02          115.0000                           6.3636363636
  14    0.14850330500842E-02          120.0000                           7.2727272727
  15    0.15144318310658E-02          125.0000                           8.1818181818
  16    0.17428865693674E-02          125.0000                        1778.1818181818
  17    0.17428873435828E-02          119.5000                        1779.1818181818
  18    0.17428885879840E-02          114.0000                        1780.1818181818
  19    0.17428972294568E-02          108.5000                        1781.1818181818
  20    0.17429890954722E-02          103.0000                        1782.1818181818
  21    0.17435094769020E-02           97.5000                        1783.1818181818
  22    0.17453191022969E-02           92.0000                        1784.1818181818
  23    0.17498105060584E-02           86.5000                        1785.1818181818
  24    0.17585551740665E-02           81.0000                        1786.1818181818
  25    0.17728042268349E-02           75.5000                        1787.1818181818
  26    0.17930301838685E-02           70.0000                        1788.1818181818
  27    0.18191238672345E-02           64.5000                        1789.1818181818
  28    0.18505156237552E-02           59.0000                        1790.1818181818
  29    0.18863529641830E-02           53.5000                        1791.1818181818
  30    0.19256529794437E-02           48.0000                        1792.1818181818
  31    0.19674066832437E-02           42.5000                        1793.1818181818
  32    0.20106462893814E-02           37.0000                        1794.1818181818
  33    0.20544876058778E-02           31.5000                        1795.1818181818
  34    0.20981477229888E-02           26.0000                        1796.1818181818
  35    0.21404115769446E-02           20.5000                        1797.1818181818
  36    0.21806941571224E-02           15.0000                        1798.1818181818
  37    0.22186378502785E-02            9.5000                        1799.1818181818
  38    0.22539608339632E-02            4.0000                        1800.1818181818
  39    0.22864570675452E-02           -1.5000                        1801.1818181818
  40    0.23159914931343E-02           -7.0000                        1802.1818181818
  41    0.23424947589644E-02          -12.5000                        1803.1818181818
  42    0.23659573656697E-02          -18.0000                        1804.1818181818
  43    0.23864287401748E-02          -23.5000                        1805.1818181818
  44    0.24040112797389E-02          -29.0000                        1806.1818181818
  45    0.24188543618175E-02          -34.5000                        1807.1818181818
  46    0.24311497498140E-02          -40.0000                        1808.1818181818
  47    0.34802541057621E-02          -40.0000                        3578.1818181818
  48    0.34804862203218E-02          -33.5000                        3579.3636363636
  49    0.34807301779473E-02          -27.0000                        3580.5454545454
  50    0.34809791840419E-02          -20.5000                        3581.7272727272
  51    0.34812292010703E-02          -14.0000                        3582.9090909091
  52    0.34814798489568E-02           -7.5000                        3584.0909090909
  53    0.34817352049471E-02           -1.0000                        3585.2727272727
  54    0.34820046330505E-02            5.5000                        3586.4545454545
  55    0.34823032306228E-02           12.0000                        3587.6363636363
  56    0.34826574486708E-02           18.5000                        3588.8181818181
  57    0.34831245214940E-02           25.0000                        3589.9999999999
  58    0.34836118120337E-02           30.0000                        3590.9090909090
  59    0.34843441574505E-02           35.0000                        3591.8181818181
  60    0.34855442185733E-02           40.0000                        3592.7272727272
  61    0.34876011391699E-02           45.0000                        3593.6363636363
  62    0.34911138776494E-02           50.0000                        3594.5454545454
  63    0.34969007028413E-02           55.0000                        3595.4545454544
  64    0.35059883943516E-02           60.0000                        3596.3636363635
  65    0.35195680668765E-02           65.0000                        3597.2727272726
  66    0.35388761615153E-02           70.0000                        3598.1818181817
  67    0.35650638357236E-02           75.0000                        3599.0909090908
  68    0.35991998930097E-02           80.0000                        3599.9999999999
  69    0.36421039701300E-02           85.0000                        3600.9090909090
  70    0.36941296100206E-02           90.0000                        3601.8181818181
  71    0.37551039670668E-02           95.0000                        3602.7272727272
  72    0.38246519065972E-02          100.0000                        3603.6363636363
  73    0.39022786018743E-02          105.0000                        3604.5454545454
  74    0.39869252971729E-02          110.0000                        3605.4545454544
  75    0.40776476670048E-02          115.0000                        3606.3636363635
  76    0.41744212647383E-02          120.0000                        3607.2727272726
  77    0.42768835975440E-02          125.0000                        3608.1818181817
  78    0.49191436363127E-02          125.0000                        5378.1818181817
  79    0.49191456359713E-02          119.5000                        5379.1818181817
  80    0.49191466000860E-02          114.0000                        5380.1818181817
  81    0.49191556999425E-02          108.5000                        5381.1818181817
  82    0.49192387262395E-02          103.0000                        5382.1818181817
  83    0.49196697512718E-02           97.5000                        5383.1818181817
  84    0.49211193475619E-02           92.0000                        5384.1818181817
  85    0.49246780794665E-02           86.5000                        5385.1818181817
  86    0.49316084101065E-02           81.0000                        5386.1818181817
  87    0.49429842497029E-02           75.5000                        5387.1818181817
  88    0.49593433783247E-02           70.0000                        5388.1818181817
  89    0.49807643328481E-02           64.5000                        5389.1818181817
  90    0.50069237120927E-02           59.0000                        5390.1818181817
  91    0.50372170180779E-02           53.5000                        5391.1818181817
  92    0.50708789302486E-02           48.0000                        5392.1818181817
  93    0.51070763892192E-02           42.5000                        5393.1818181817
  94    0.51449752083723E-02           37.0000                        5394.1818181817
  95    0.51837856964644E-02           31.5000                        5395.1818181817
  96    0.52227877285986E-02           26.0000                        5396.1818181817
  97    0.52608960744632E-02           20.5000                        5397.1818181817
  98    0.52975323738934E-02           15.0000                        5398.1818181817
  99    0.53323105932193E-02            9.5000                        5399.1818181817
  100   0.53649164556954E-02            4.0000                        5400.1818181817
  101   0.53951071448954E-02           -1.5000                        5401.1818181817
  102   0.54227086989169E-02           -7.0000                        5402.1818181817
  103   0.54476110854651E-02          -12.5000                        5403.1818181817
  104   0.54697667434946E-02          -18.0000                        5404.1818181817
  105   0.54891875829152E-02          -23.5000                        5405.1818181817
  106   0.55059398272509E-02          -29.0000                        5406.1818181817
  107   0.55201390400110E-02          -34.5000                        5407.1818181817
  108   0.55316737361304E-02          -40.0000                        5408.1818181817
  109   0.65211480749217E-02          -40.0000                        7178.1818181817
  110   0.65213636943369E-02          -33.5000                        7179.3636363635
  111   0.65215862327816E-02          -27.0000                        7180.5454545453
  112   0.65218083523361E-02          -20.5000                        7181.7272727271
  113   0.65220253902679E-02          -14.0000                        7182.9090909090
  114   0.65222360525452E-02           -7.5000                        7184.0909090908
  115   0.65224426148136E-02           -1.0000                        7185.2727272726
  116   0.65226507953206E-02            5.5000                        7186.4545454544
  117   0.65228694078681E-02           12.0000                        7187.6363636362
  118   0.65231132284394E-02           18.5000                        7188.8181818180
  119   0.65234146983563E-02           25.0000                        7189.9999999998
  120   0.65237181053948E-02           30.0000                        7190.9090909089
  121   0.65241738380457E-02           35.0000                        7191.8181818180
  122   0.65249556557781E-02           40.0000                        7192.7272727271
  123   0.65264086409881E-02           45.0000                        7193.6363636362
  124   0.65291269804529E-02           50.0000                        7194.5454545453
  125   0.65339767097777E-02           55.0000                        7195.4545454544
  126   0.65420500210523E-02           60.0000                        7196.3636363634
  127   0.65545867180159E-02           65.0000                        7197.2727272725
  128   0.65728662471367E-02           70.0000                        7198.1818181816
  129   0.65980966051395E-02           75.0000                        7199.0909090907
  130   0.66314070189458E-02           80.0000                        7199.9999999998
  131   0.66736841544635E-02           85.0000                        7200.9090909089
  132   0.67253631214212E-02           90.0000                        7201.8181818180
  133   0.67863591788322E-02           95.0000                        7202.7272727271
  134   0.68563667009296E-02          100.0000                        7203.6363636362
  135   0.69349411834097E-02          105.0000                        7204.5454545453
  136   0.70210985709641E-02          110.0000                        7205.4545454543
  137   0.71139588142193E-02          115.0000                        7206.3636363634
  138   0.72139581661873E-02          120.0000                        7207.2727272725
  139   0.73195147544561E-02          125.0000                        7208.1818181816
  140   0.80585053580187E-02          125.0000                        8978.1818181816
  141   0.80585092733391E-02          119.5000                        8979.1818181816
  142   0.80585123928961E-02          114.0000                        8980.1818181816
  143   0.80585334945595E-02          108.5000                        8981.1818181816
  144   0.80586614551750E-02          103.0000                        8982.1818181816
  145   0.80591970277192E-02           97.5000                        8983.1818181816
  146   0.80608044770006E-02           92.0000                        8984.1818181816
  147   0.80645063950776E-02           86.5000                        8985.1818181816
  148   0.80714603549916E-02           81.0000                        8986.1818181816
  149   0.80826568374323E-02           75.5000                        8987.1818181816
  150   0.80986119317808E-02           70.0000                        8988.1818181816
  151   0.81194266255811E-02           64.5000                        8989.1818181816
  152   0.81448232638451E-02           59.0000                        8990.1818181816
  153   0.81742489425187E-02           53.5000                        8991.1818181816
  154   0.82069858221444E-02           48.0000                        8992.1818181816
  155   0.82422401610722E-02           42.5000                        8993.1818181816
  156   0.82792081250554E-02           37.0000                        8994.1818181816
  157   0.83171222232913E-02           31.5000                        8995.1818181816
  158   0.83552778032926E-02           26.0000                        8996.1818181816
  159   0.83926210616402E-02           20.5000                        8997.1818181816
  160   0.84285783814585E-02           15.0000                        8998.1818181816
  161   0.84627606219525E-02            9.5000                        8999.1818181816
  162   0.84948492790028E-02            4.0000                        9000.1818181816
  163   0.85245963840223E-02           -1.5000                        9001.1818181816
  164   0.85518221390922E-02           -7.0000                        9002.1818181816
  165   0.85764103349364E-02          -12.5000                        9003.1818181816
  166   0.85983069556957E-02          -18.0000                        9004.1818181816
  167   0.86175175214517E-02          -23.5000                        9005.1818181816
  168   0.86341018895271E-02          -29.0000                        9006.1818181816
  169   0.86481695235622E-02          -34.5000                        9007.1818181816
  170   0.86596108396548E-02          -40.0000                        9008.1818181816
  171   0.96337425146575E-02          -40.0000                       10778.1818181816
  172   0.96339524062836E-02          -33.5000                       10779.3636363634
  173   0.96341672191649E-02          -27.0000                       10780.5454545452
  174   0.96343792181440E-02          -20.5000                       10781.7272727271
  175   0.96345833789527E-02          -14.0000                       10782.9090909089
  176   0.96347779610926E-02           -7.5000                       10784.0909090907
  177   0.96349646044840E-02           -1.0000                       10785.2727272725
  178   0.96351480608610E-02            5.5000                       10786.4545454543
  179   0.96353355665904E-02           12.0000                       10787.6363636361
  180   0.96355391850546E-02           18.5000                       10788.8181818179
  181   0.96357856714121E-02           25.0000                       10789.9999999997
