  LS    nlcreq                        Temp                       Time    
  1     0.15737786209345E-15          150.0000                       -1301.7181818182
  2     0.92327152234296E-02           96.0000                       -1172.2181818182
  3     0.13342323642975E-01           25.0000                       -1001.8181818182
  4     0.14111132747365E-01           25.0000                          -1.8181818182
  5     0.14111176468262E-01           30.0000                          -0.9090909091
  6     0.14111186407497E-01           35.0000                           0.0000000000
  7     0.14111196212556E-01           40.0000                           0.9090909091
  8     0.14111229604815E-01           45.0000                           1.8181818182
  9     0.14111375151438E-01           50.0000                           2.7272727273
  10    0.14112007733404E-01           55.0000                           3.6363636364
  11    0.14114450631476E-01           60.0000                           4.5454545455
  12    0.14122473764111E-01           65.0000                           5.4545454545
  13    0.14143845796391E-01           70.0000                           6.3636363636
  14    0.14189162433487E-01           75.0000                           7.2727272727
  15    0.14266921013472E-01           80.0000                           8.1818181818
  16    0.14376736267819E-01           85.0000                           9.0909090909
  17    0.14562267082490E-01           90.0000                          10.0000000000
  18    0.14957395794110E-01           95.0000                          10.9090909091
  19    0.15538996948093E-01          100.0000                          11.8181818182
  20    0.16109527812495E-01          105.0000                          12.7272727273
  21    0.16578048936998E-01          110.0000                          13.6363636364
  22    0.16938762535843E-01          115.0000                          14.5454545454
  23    0.17219123039805E-01          120.0000                          15.4545454545
  24    0.17591946915056E-01          125.0000                          16.3636363636
  25    0.19370384002071E-01          125.0000                        1786.3636363636
  26    0.19370450372093E-01          119.5000                        1787.3636363636
  27    0.19389177428949E-01          114.0000                        1788.3636363636
  28    0.19616397468726E-01          108.5000                        1789.3636363636
  29    0.20267616072862E-01          103.0000                        1790.3636363636
  30    0.21185811247228E-01           97.5000                        1791.3636363636
  31    0.22137014784287E-01           92.0000                        1792.3636363636
  32    0.22798897837474E-01           86.5000                        1793.3636363636
  33    0.23170309602795E-01           81.0000                        1794.3636363636
  34    0.23454722683062E-01           75.5000                        1795.3636363636
  35    0.23697406899730E-01           70.0000                        1796.3636363636
  36    0.23917033153775E-01           64.5000                        1797.3636363636
  37    0.24121775939718E-01           59.0000                        1798.3636363636
  38    0.24315556089360E-01           53.5000                        1799.3636363636
  39    0.24500492424386E-01           48.0000                        1800.3636363636
  40    0.24677717939594E-01           42.5000                        1801.3636363636
  41    0.24847952672134E-01           37.0000                        1802.3636363636
  42    0.25011519260250E-01           31.5000                        1803.3636363636
  43    0.25168606221549E-01           26.0000                        1804.3636363636
  44    0.25316560326886E-01           20.5000                        1805.3636363636
  45    0.25455872702675E-01           15.0000                        1806.3636363636
  46    0.25587358130923E-01            9.5000                        1807.3636363636
  47    0.25711482965953E-01            4.0000                        1808.3636363636
  48    0.25828449253185E-01           -1.5000                        1809.3636363636
  49    0.25938329136403E-01           -7.0000                        1810.3636363636
  50    0.26041133675635E-01          -12.5000                        1811.3636363636
  51    0.26136846021414E-01          -18.0000                        1812.3636363636
  52    0.26225422054433E-01          -23.5000                        1813.3636363636
  53    0.26306818145254E-01          -29.0000                        1814.3636363636
  54    0.26381005393661E-01          -34.5000                        1815.3636363636
  55    0.26447984261743E-01          -40.0000                        1816.3636363636
  56    0.28102829547555E-01          -40.0000                        3586.3636363636
  57    0.28102969868881E-01          -33.5000                        3587.5454545454
  58    0.28103050536444E-01          -27.0000                        3588.7272727272
  59    0.28103091530588E-01          -20.5000                        3589.9090909091
  60    0.28103114016869E-01          -14.0000                        3591.0909090909
  61    0.28103138955731E-01           -7.5000                        3592.2727272727
  62    0.28103199726636E-01           -1.0000                        3593.4545454545
  63    0.28103384961289E-01            5.5000                        3594.6363636363
  64    0.28103935153277E-01           12.0000                        3595.8181818181
  65    0.28105501951812E-01           18.5000                        3596.9999999999
  66    0.28110028706438E-01           25.0000                        3598.1818181817
  67    0.28118086678641E-01           30.0000                        3599.0909090908
  68    0.28135629034472E-01           35.0000                        3599.9999999999
  69    0.28170185934048E-01           40.0000                        3600.9090909090
  70    0.28230095673217E-01           45.0000                        3601.8181818181
  71    0.28322035916009E-01           50.0000                        3602.7272727272
  72    0.28446677975930E-01           55.0000                        3603.6363636363
  73    0.28598376127849E-01           60.0000                        3604.5454545454
  74    0.28769097794891E-01           65.0000                        3605.4545454544
  75    0.28951355321920E-01           70.0000                        3606.3636363635
  76    0.29139550585507E-01           75.0000                        3607.2727272726
  77    0.29329147098993E-01           80.0000                        3608.1818181817
  78    0.29513521566604E-01           85.0000                        3609.0909090908
  79    0.29744809907092E-01           90.0000                        3609.9999999999
  80    0.30148563333859E-01           95.0000                        3610.9090909090
  81    0.30684688280922E-01          100.0000                        3611.8181818181
  82    0.31183270411047E-01          105.0000                        3612.7272727272
  83    0.31614617374884E-01          110.0000                        3613.6363636363
  84    0.32023381326238E-01          115.0000                        3614.5454545453
  85    0.32460024258257E-01          120.0000                        3615.4545454544
  86    0.33084111041193E-01          125.0000                        3616.3636363635
  87    0.36165125263111E-01          125.0000                        5386.3636363635
  88    0.36165159069916E-01          119.5000                        5387.3636363635
  89    0.36180701933962E-01          114.0000                        5388.3636363635
  90    0.36392929910286E-01          108.5000                        5389.3636363635
  91    0.37021434038319E-01          103.0000                        5390.3636363635
  92    0.37919742011998E-01           97.5000                        5391.3636363635
  93    0.38857413246814E-01           92.0000                        5392.3636363635
  94    0.39512277526944E-01           86.5000                        5393.3636363635
  95    0.39880511632700E-01           81.0000                        5394.3636363635
  96    0.40162755809532E-01           75.5000                        5395.3636363635
