  LS    nlcreq                        Temp                       Time    
  1     0.15564209879115E-15          150.0000                       -1301.7181818182
  2     0.93304648178947E-02           96.0000                       -1172.2181818182
  3     0.13442376534266E-01           25.0000                       -1001.8181818182
  4     0.14211282143709E-01           25.0000                          -1.8181818182
  5     0.14211325895915E-01           30.0000                          -0.9090909091
  6     0.14211335847847E-01           35.0000                           0.0000000000
  7     0.14211345686274E-01           40.0000                           0.9090909091
  8     0.14211379167108E-01           45.0000                           1.8181818182
  9     0.14211525005684E-01           50.0000                           2.7272727273
  10    0.14212158262237E-01           55.0000                           3.6363636364
  11    0.14214601792437E-01           60.0000                           4.5454545455
  12    0.14222624490221E-01           65.0000                           5.4545454545
  13    0.14244010721552E-01           70.0000                           6.3636363636
  14    0.14289390306575E-01           75.0000                           7.2727272727
  15    0.14367309824256E-01           80.0000                           8.1818181818
  16    0.14477356000728E-01           85.0000                           9.0909090909
  17    0.14662967765812E-01           90.0000                          10.0000000000
  18    0.15057907164707E-01           95.0000                          10.9090909091
  19    0.15637545763212E-01          100.0000                          11.8181818182
  20    0.16205871071079E-01          105.0000                          12.7272727273
  21    0.16672981093100E-01          110.0000                          13.6363636364
  22    0.17032912422229E-01          115.0000                          14.5454545454
  23    0.17304378108544E-01          120.0000                          15.4545454545
  24    0.17671598983382E-01          125.0000                          16.3636363636
  25    0.19602334337376E-01          125.0000                        1786.3636363636
  26    0.19602392286759E-01          119.5000                        1787.3636363636
  27    0.19620020024955E-01          114.0000                        1788.3636363636
  28    0.19840692514171E-01          108.5000                        1789.3636363636
  29    0.20484088307796E-01          103.0000                        1790.3636363636
  30    0.21397809253866E-01           97.5000                        1791.3636363636
  31    0.22347056826201E-01           92.0000                        1792.3636363636
  32    0.23008136879685E-01           86.5000                        1793.3636363636
  33    0.23379189501214E-01           81.0000                        1794.3636363636
  34    0.23663342052434E-01           75.5000                        1795.3636363636
  35    0.23905827442025E-01           70.0000                        1796.3636363636
  36    0.24125277540194E-01           64.5000                        1797.3636363636
  37    0.24329855479021E-01           59.0000                        1798.3636363636
  38    0.24523482520148E-01           53.5000                        1799.3636363636
  39    0.24708276124356E-01           48.0000                        1800.3636363636
  40    0.24885371238045E-01           42.5000                        1801.3636363636
  41    0.25055486353410E-01           37.0000                        1802.3636363636
