 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0  0.1236E-06  0.1327E-05  0.1236E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44104515E-05 -0.11860229E-05 -0.44104515E-05
      -39.0 -0.1238E-06 -0.1327E-05 -0.1238E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44103615E-05  0.11861001E-05  0.44103615E-05
        0.0  0.1326E-06  0.1298E-05  0.1326E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44067895E-05 -0.11891624E-05 -0.44067895E-05
        1.0 -0.1328E-06 -0.1298E-05 -0.1328E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44066964E-05  0.11892423E-05  0.44066964E-05
       85.0  0.1525E-06  0.1570E-05  0.1525E-06 -0.1525E-04 -0.1525E-04 -0.1525E-04 -0.46795758E-05 -0.12625096E-05 -0.46795758E-05
       86.0 -0.1525E-06 -0.2050E-05 -0.1525E-06  0.1681E-04  0.1681E-04  0.1681E-04  0.50808406E-05  0.13573494E-05  0.50808406E-05
       90.0  0.1523E-06  0.6374E-05  0.1523E-06 -0.3090E-04 -0.3090E-04 -0.3090E-04 -0.86983006E-05 -0.22094638E-05 -0.86983006E-05
       91.0 -0.1509E-06 -0.6856E-05 -0.1509E-06  0.3246E-04  0.3246E-04  0.3246E-04  0.91023892E-05  0.23038016E-05  0.91023892E-05
       95.0  0.1361E-06  0.1085E-04  0.1361E-06 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12451768E-04 -0.30891478E-05 -0.12451768E-04
       96.0 -0.1378E-06 -0.1084E-04 -0.1378E-06  0.4545E-04  0.4545E-04  0.4545E-04  0.12451040E-04  0.30897973E-05  0.12451040E-04
      180.0  0.2999E-06  0.1031E-04  0.2999E-06 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12390254E-04 -0.31472086E-05 -0.12390254E-04
      181.0 -0.3016E-06 -0.1030E-04 -0.3016E-06  0.4545E-04  0.4545E-04  0.4545E-04  0.12389605E-04  0.31478888E-05  0.12389605E-04
