 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77503479E-04  0.18645479E-04 -0.21683746E-03
 0.1000E-13  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77505679E-04  0.18646081E-04 -0.21683342E-03
 0.1000E-12  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77505984E-04  0.18646213E-04 -0.21683424E-03
 0.1000E-11  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506082E-04  0.18646247E-04 -0.21683447E-03
 0.1000E-10  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506114E-04  0.18646257E-04 -0.21683454E-03
 0.1000E-09  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506125E-04  0.18646260E-04 -0.21683457E-03
 0.1000E-08  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506128E-04  0.18646261E-04 -0.21683458E-03
 0.1000E-07  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506130E-04  0.18646262E-04 -0.21683458E-03
 0.1000E-06  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506130E-04  0.18646262E-04 -0.21683458E-03
 0.1000E-05  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506130E-04  0.18646262E-04 -0.21683458E-03
 0.1000E-04  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506130E-04  0.18646262E-04 -0.21683458E-03
 0.1000E-03  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506132E-04  0.18646262E-04 -0.21683458E-03
 0.1000E-02  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506144E-04  0.18646264E-04 -0.21683460E-03
 0.1000E-01  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77506267E-04  0.18646287E-04 -0.21683482E-03
 0.1000E+00  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77507495E-04  0.18646513E-04 -0.21683700E-03
 0.1000E+01  0.9412E-04  0.1760E-03 -0.5362E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77519756E-04  0.18648769E-04 -0.21685875E-03
 0.1000E+02  0.9409E-04  0.1762E-03 -0.5365E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77639781E-04  0.18670849E-04 -0.21707160E-03
 0.1000E+03  0.9388E-04  0.1777E-03 -0.5384E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.78615144E-04  0.18850022E-04 -0.21879997E-03
 0.1000E+04  0.9424E-04  0.1821E-03 -0.5447E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81310544E-04  0.19368718E-04 -0.22364380E-03
 0.1000E+05  0.9435E-04  0.1871E-03 -0.5513E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84231239E-04  0.19953260E-04 -0.22892442E-03
 0.1000E+06  0.9628E-04  0.1958E-03 -0.5628E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.87867564E-04  0.20968820E-04 -0.23623690E-03
 0.1000E+07  0.1043E-03  0.2138E-03 -0.5875E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.92598410E-04  0.23050413E-04 -0.24774628E-03
 0.1000E+08  0.1179E-03  0.2385E-03 -0.6230E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.98108349E-04  0.25906395E-04 -0.26231886E-03
 0.1000E+09  0.1330E-03  0.2661E-03 -0.6639E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10562747E-03  0.29186510E-04 -0.28063570E-03
 0.1000E+10  0.1450E-03  0.2937E-03 -0.7032E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11435205E-03  0.32549114E-04 -0.30081308E-03
 0.1000E+11  0.1535E-03  0.3199E-03 -0.7387E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12372369E-03  0.35836363E-04 -0.32167303E-03
 0.1000E+12  0.1571E-03  0.3478E-03 -0.7721E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13487562E-03  0.39441719E-04 -0.34572962E-03
 0.1000E+13  0.1544E-03  0.3788E-03 -0.8032E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14808662E-03  0.43572835E-04 -0.37390851E-03
 0.1000E+14  0.1387E-03  0.4233E-03 -0.8364E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16808049E-03  0.49704300E-04 -0.41630020E-03
 0.1000E+15  0.9530E-04  0.4905E-03 -0.8664E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20003598E-03  0.59354894E-04 -0.48356567E-03
 0.1000E+16 -0.1212E-04  0.5952E-03 -0.8724E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.25468349E-03  0.75326409E-04 -0.59667976E-03
