 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.9652E-04  0.2137E-03 -0.5847E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.97581285E-04  0.23145066E-04 -0.25430736E-03
 0.1000E-13  0.9244E-04  0.2262E-03 -0.5972E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10626425E-03  0.24706649E-04 -0.26930475E-03
 0.1000E-12  0.8672E-04  0.2379E-03 -0.6069E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11498033E-03  0.26193175E-04 -0.28402088E-03
 0.1000E-11  0.7875E-04  0.2500E-03 -0.6149E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12475393E-03  0.27775871E-04 -0.30017281E-03
 0.1000E-10  0.6674E-04  0.2639E-03 -0.6213E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13700296E-03  0.29643422E-04 -0.31993969E-03
 0.1000E-09  0.4819E-04  0.2803E-03 -0.6244E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15301136E-03  0.31912447E-04 -0.34507377E-03
 0.1000E-08  0.1168E-04  0.3039E-03 -0.6190E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17958409E-03  0.35312848E-04 -0.38531199E-03
 0.1000E-07 -0.6305E-04  0.3359E-03 -0.5866E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22491987E-03  0.40241321E-04 -0.45043810E-03
 0.1000E-06 -0.2276E-03  0.3777E-03 -0.4774E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30930829E-03  0.47355912E-04 -0.56335621E-03
 0.1000E-05 -0.6482E-03  0.4299E-03 -0.1263E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.49761671E-03  0.57771454E-04 -0.79325828E-03
 0.1000E-04 -0.1626E-02  0.4763E-03  0.7898E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.90110013E-03  0.69146140E-04 -0.12410085E-02
 0.1000E-03 -0.3625E-02  0.5156E-03  0.2740E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.17017776E-02  0.79029865E-04 -0.20748886E-02
 0.1000E-02 -0.7433E-02  0.6056E-03  0.6455E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.32021559E-02  0.93644373E-04 -0.36079428E-02
 0.1000E-01 -0.1207E-01  0.8984E-03  0.1080E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.49615467E-02  0.13862793E-03 -0.54865321E-02
 0.1000E+00 -0.1457E-01  0.1459E-02  0.1275E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.57426332E-02  0.23814826E-03 -0.65983804E-02
 0.1000E+01 -0.1635E-01  0.2422E-02  0.1357E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.60289408E-02  0.42003128E-03 -0.75225151E-02
 0.1000E+02 -0.1712E-01  0.3355E-02  0.1341E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.58974587E-02  0.60434745E-03 -0.80509405E-02
 0.1000E+03 -0.1736E-01  0.4276E-02  0.1274E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.55631011E-02  0.79147009E-03 -0.83922398E-02
 0.1000E+04 -0.1747E-01  0.4863E-02  0.1227E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.53508162E-02  0.91252432E-03 -0.86159679E-02
 0.1000E+05 -0.1750E-01  0.5309E-02  0.1185E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.51929148E-02  0.10054703E-02 -0.87921980E-02
 0.1000E+06 -0.1747E-01  0.5592E-02  0.1154E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50971012E-02  0.10649318E-02 -0.89097671E-02
 0.1000E+07 -0.1739E-01  0.5767E-02  0.1129E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50420406E-02  0.11020152E-02 -0.89875442E-02
 0.1000E+08 -0.1728E-01  0.5883E-02  0.1107E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50108863E-02  0.11266062E-02 -0.90442580E-02
 0.1000E+09 -0.1728E-01  0.5884E-02  0.1106E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50106043E-02  0.11268877E-02 -0.90449763E-02
 0.1000E+10 -0.1704E-01  0.5964E-02  0.1074E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50032115E-02  0.11442060E-02 -0.90989402E-02
 0.1000E+11 -0.1704E-01  0.5965E-02  0.1074E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50032598E-02  0.11443628E-02 -0.90995387E-02
 0.1000E+12 -0.1687E-01  0.5984E-02  0.1056E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50096665E-02  0.11487786E-02 -0.91212844E-02
 0.1000E+13 -0.1683E-01  0.5988E-02  0.1051E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50114505E-02  0.11498349E-02 -0.91267249E-02
 0.1000E+14 -0.1681E-01  0.5990E-02  0.1048E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50125810E-02  0.11503686E-02 -0.91296928E-02
 0.1000E+15 -0.1679E-01  0.5991E-02  0.1046E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50133652E-02  0.11506379E-02 -0.91313958E-02
 0.1000E+16 -0.1678E-01  0.5991E-02  0.1045E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50139538E-02  0.11507581E-02 -0.91323855E-02
