  LS    nlcreq                        Temp                       Time    
  1     0.46766291286374E-15          150.0000                       -1301.7181818182
  2     0.36052300380285E-02           96.0000                       -1172.2181818182
  3     0.62440751961026E-02           25.0000                       -1001.8181818182
  4     0.70521678146863E-02           25.0000                          -1.8181818182
  5     0.70522242314372E-02           30.0000                          -0.9090909091
  6     0.70522410516797E-02           35.0000                           0.0000000000
  7     0.70522580275214E-02           40.0000                           0.9090909091
  8     0.70523060290896E-02           45.0000                           1.8181818182
  9     0.70524755428145E-02           50.0000                           2.7272727273
  10    0.70530719538768E-02           55.0000                           3.6363636364
  11    0.70550978830470E-02           60.0000                           4.5454545455
  12    0.70614671423780E-02           65.0000                           5.4545454545
  13    0.70789465357486E-02           70.0000                           6.3636363636
  14    0.71185287673722E-02           75.0000                           7.2727272727
  15    0.71921774596739E-02           80.0000                           8.1818181818
  16    0.73054420166806E-02           85.0000                           9.0909090909
  17    0.74553350362722E-02           90.0000                          10.0000000000
  18    0.76324058697987E-02           95.0000                          10.9090909091
  19    0.78276161769747E-02          100.0000                          11.8181818182
  20    0.80330835670047E-02          105.0000                          12.7272727273
  21    0.82433594902704E-02          110.0000                          13.6363636364
  22    0.84534170353717E-02          115.0000                          14.5454545454
  23    0.86634056427073E-02          120.0000                          15.4545454545
  24    0.88637652496917E-02          125.0000                          16.3636363636
  25    0.93756347211152E-02          125.0000                        1786.3636363636
  26    0.93756353100457E-02          119.5000                        1787.3636363636
  27    0.93756671223841E-02          114.0000                        1788.3636363636
  28    0.93764404618853E-02          108.5000                        1789.3636363636
  29    0.93822205070615E-02          103.0000                        1790.3636363636
  30    0.94032945817312E-02           97.5000                        1791.3636363636
  31    0.94512944614293E-02           92.0000                        1792.3636363636
  32    0.95316552599007E-02           86.5000                        1793.3636363636
  33    0.96422450584476E-02           81.0000                        1794.3636363636
  34    0.97759164442596E-02           75.5000                        1795.3636363636
  35    0.99232519288940E-02           70.0000                        1796.3636363636
  36    0.10078170853571E-01           64.5000                        1797.3636363636
  37    0.10236774692670E-01           59.0000                        1798.3636363636
  38    0.10396008044900E-01           53.5000                        1799.3636363636
  39    0.10554013953255E-01           48.0000                        1800.3636363636
  40    0.10709443861038E-01           42.5000                        1801.3636363636
  41    0.10861438062900E-01           37.0000                        1802.3636363636
  42    0.11009144321022E-01           31.5000                        1803.3636363636
  43    0.11152084957201E-01           26.0000                        1804.3636363636
  44    0.11287316559633E-01           20.5000                        1805.3636363636
  45    0.11414828701613E-01           15.0000                        1806.3636363636
  46    0.11535004973278E-01            9.5000                        1807.3636363636
  47    0.11648068226101E-01            4.0000                        1808.3636363636
  48    0.11754128057976E-01           -1.5000                        1809.3636363636
  49    0.11853117325744E-01           -7.0000                        1810.3636363636
  50    0.11944992441770E-01          -12.5000                        1811.3636363636
  51    0.12029767243084E-01          -18.0000                        1812.3636363636
  52    0.12107428094225E-01          -23.5000                        1813.3636363636
  53    0.12177968723235E-01          -29.0000                        1814.3636363636
  54    0.12241436307332E-01          -34.5000                        1815.3636363636
  55    0.12297933067993E-01          -40.0000                        1816.3636363636
  56    0.13885861850630E-01          -40.0000                        3586.3636363636
  57    0.13886009781002E-01          -33.5000                        3587.5454545454
  58    0.13886101175809E-01          -27.0000                        3588.7272727272
  59    0.13886150743942E-01          -20.5000                        3589.9090909091
  60    0.13886176614501E-01          -14.0000                        3591.0909090909
  61    0.13886195471054E-01           -7.5000                        3592.2727272727
  62    0.13886226940795E-01           -1.0000                        3593.4545454545
  63    0.13886314070564E-01            5.5000                        3594.6363636363
  64    0.13886575449261E-01           12.0000                        3595.8181818181
  65    0.13887325176594E-01           18.5000                        3596.9999999999
  66    0.13889414109432E-01           25.0000                        3598.1818181817
  67    0.13893001593372E-01           30.0000                        3599.0909090908
  68    0.13900798072560E-01           35.0000                        3599.9999999999
  69    0.13916942399206E-01           40.0000                        3600.9090909090
  70    0.13947461418064E-01           45.0000                        3601.8181818181
  71    0.14000088682494E-01           50.0000                        3602.7272727272
  72    0.14081509142229E-01           55.0000                        3603.6363636363
  73    0.14195484397095E-01           60.0000                        3604.5454545454
  74    0.14341027393277E-01           65.0000                        3605.4545454544
  75    0.14512174651170E-01           70.0000                        3606.3636363635
  76    0.14702083164430E-01           75.0000                        3607.2727272726
  77    0.14905081033422E-01           80.0000                        3608.1818181817
  78    0.15117154885022E-01           85.0000                        3609.0909090908
  79    0.15339496700680E-01           90.0000                        3609.9999999999
  80    0.15560538265940E-01           95.0000                        3610.9090909090
  81    0.15785111370123E-01          100.0000                        3611.8181818181
  82    0.16011346709552E-01          105.0000                        3612.7272727272
  83    0.16238690881771E-01          110.0000                        3613.6363636363
  84    0.16466472224198E-01          115.0000                        3614.5454545453
  85    0.16699590380774E-01          120.0000                        3615.4545454544
  86    0.16930812499735E-01          125.0000                        3616.3636363635
  87    0.17892123844919E-01          125.0000                        5386.3636363635
  88    0.17892124611707E-01          119.5000                        5387.3636363635
  89    0.17892144295476E-01          114.0000                        5388.3636363635
  90    0.17892578610608E-01          108.5000                        5389.3636363635
  91    0.17895995817300E-01          103.0000                        5390.3636363635
  92    0.17909484601092E-01           97.5000                        5391.3636363635
  93    0.17943054406529E-01           92.0000                        5392.3636363635
  94    0.18004140861504E-01           86.5000                        5393.3636363635
  95    0.18094272819848E-01           81.0000                        5394.3636363635
  96    0.18209197894310E-01           75.5000                        5395.3636363635
  97    0.18340914600135E-01           70.0000                        5396.3636363635
  98    0.18483242623400E-01           64.5000                        5397.3636363635
  99    0.18631734495964E-01           59.0000                        5398.3636363635
  100   0.18782795265351E-01           53.5000                        5399.3636363635
  101   0.18934107276451E-01           48.0000                        5400.3636363635
  102   0.19083980953257E-01           42.5000                        5401.3636363635
  103   0.19231303554777E-01           37.0000                        5402.3636363635
  104   0.19375044915923E-01           31.5000                        5403.3636363635
  105   0.19514590538159E-01           26.0000                        5404.3636363635
  106   0.19647016984053E-01           20.5000                        5405.3636363635
  107   0.19772192409624E-01           15.0000                        5406.3636363635
  108   0.19890399574528E-01            9.5000                        5407.3636363635
  109   0.20001790640254E-01            4.0000                        5408.3636363635
  110   0.20106423244517E-01           -1.5000                        5409.3636363635
  111   0.20204193909986E-01           -7.0000                        5410.3636363635
  112   0.20295027090686E-01          -12.5000                        5411.3636363635
  113   0.20378910664516E-01          -18.0000                        5412.3636363635
  114   0.20455810291382E-01          -23.5000                        5413.3636363635
  115   0.20525703357382E-01          -29.0000                        5414.3636363635
  116   0.20588623853182E-01          -34.5000                        5415.3636363635
  117   0.20644659572133E-01          -40.0000                        5416.3636363635
  118   0.22219439460474E-01          -40.0000                        7186.3636363635
  119   0.22219585200839E-01          -33.5000                        7187.5454545453
  120   0.22219674476421E-01          -27.0000                        7188.7272727271
  121   0.22219721874624E-01          -20.5000                        7189.9090909090
  122   0.22219745148224E-01          -14.0000                        7191.0909090908
