 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.4637E-04  0.2800E-03 -0.6432E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15497827E-03  0.31996623E-04 -0.35252025E-03
 0.1000E-13  0.2972E-04  0.2919E-03 -0.6425E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16790776E-03  0.33677052E-04 -0.37228366E-03
 0.1000E-12  0.1398E-04  0.3011E-03 -0.6392E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17898492E-03  0.35024267E-04 -0.38883391E-03
 0.1000E-11 -0.4685E-05  0.3107E-03 -0.6334E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19132201E-03  0.36446159E-04 -0.40694253E-03
 0.1000E-10 -0.2696E-04  0.3205E-03 -0.6243E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20517781E-03  0.37948609E-04 -0.42689291E-03
 0.1000E-09 -0.5814E-04  0.3323E-03 -0.6090E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22349603E-03  0.39804337E-04 -0.45273537E-03
 0.1000E-08 -0.1002E-03  0.3455E-03 -0.5847E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.24674483E-03  0.41959262E-04 -0.48471712E-03
 0.1000E-07 -0.1610E-03  0.3609E-03 -0.5449E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.27838147E-03  0.44597052E-04 -0.52703747E-03
 0.1000E-06 -0.2520E-03  0.3789E-03 -0.4784E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32296163E-03  0.47837825E-04 -0.58473148E-03
 0.1000E-05 -0.4029E-03  0.4010E-03 -0.3574E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.39288067E-03  0.52081976E-04 -0.67179242E-03
 0.1000E-04 -0.6752E-03  0.4274E-03 -0.1213E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.51233288E-03  0.57682383E-04 -0.81375514E-03
 0.1000E-03 -0.1183E-02  0.4569E-03  0.3464E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72510173E-03  0.64640134E-04 -0.10540489E-02
 0.1000E-02 -0.2063E-02  0.4956E-03  0.1180E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.10803163E-02  0.73577619E-04 -0.14425297E-02
 0.1000E-01 -0.3386E-02  0.6159E-03  0.2379E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.15808338E-02  0.95828895E-04 -0.20204339E-02
 0.1000E+00 -0.4856E-02  0.9019E-03  0.3565E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.20729638E-02  0.14694722E-03 -0.26904976E-02
 0.1000E+01 -0.6087E-02  0.1332E-02  0.4371E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.24025539E-02  0.22492629E-03 -0.32945839E-02
 0.1000E+02 -0.6891E-02  0.1817E-02  0.4696E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.25308065E-02  0.31424864E-03 -0.37400570E-02
 0.1000E+03 -0.7491E-02  0.2268E-02  0.4851E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.25887545E-02  0.39879359E-03 -0.40990152E-02
 0.1000E+04 -0.7877E-02  0.2646E-02  0.4863E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.25985517E-02  0.47030976E-03 -0.43639414E-02
 0.1000E+05 -0.8059E-02  0.2916E-02  0.4779E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.25808714E-02  0.52152087E-03 -0.45292115E-02
 0.1000E+06 -0.8570E-02  0.3197E-02  0.5011E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26960302E-02  0.57597155E-03 -0.48371846E-02
 0.1000E+07 -0.8748E-02  0.3371E-02  0.5016E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.27200343E-02  0.60966601E-03 -0.49810463E-02
 0.1000E+08 -0.8734E-02  0.3462E-02  0.4913E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.27030681E-02  0.62704215E-03 -0.50262762E-02
 0.1000E+09 -0.8737E-02  0.3465E-02  0.4913E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.27041368E-02  0.62747862E-03 -0.50288891E-02
 0.1000E+10 -0.8715E-02  0.3508E-02  0.4849E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26948639E-02  0.63582471E-03 -0.50494804E-02
 0.1000E+11 -0.8682E-02  0.3540E-02  0.4785E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26904361E-02  0.64180674E-03 -0.50664411E-02
 0.1000E+12 -0.8683E-02  0.3541E-02  0.4784E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26919496E-02  0.64207191E-03 -0.50688816E-02
 0.1000E+13 -0.8684E-02  0.3542E-02  0.4785E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26935069E-02  0.64226618E-03 -0.50711113E-02
 0.1000E+14 -0.8685E-02  0.3543E-02  0.4785E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26948102E-02  0.64243749E-03 -0.50730088E-02
 0.1000E+15 -0.8683E-02  0.3544E-02  0.4782E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26950013E-02  0.64259284E-03 -0.50737515E-02
 0.1000E+16 -0.8680E-02  0.3544E-02  0.4779E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26949926E-02  0.64273631E-03 -0.50742547E-02
