  LS    nlcreq                        Temp                       Time    
  1     0.24347181603103E-02           40.0000                          -4.5454545455
  2     0.24354462775675E-02           45.0000                          -3.6363636364
  3     0.24356916892141E-02           50.0000                          -2.7272727273
  4     0.24357575199467E-02           55.0000                          -1.8181818182
  5     0.24357724901642E-02           60.0000                          -0.9090909091
  6     0.24357784299964E-02           65.0000                           0.0000000000
  7     0.24357909281012E-02           70.0000                           0.9090909091
  8     0.24358478095726E-02           75.0000                           1.8181818182
  9     0.24361320187240E-02           80.0000                           2.7272727273
  10    0.24373923680701E-02           85.0000                           3.6363636364
  11    0.24419278777505E-02           90.0000                           4.5454545455
  12    0.24547384353205E-02           95.0000                           5.4545454545
  13    0.24830823747914E-02          100.0000                           6.3636363636
  14    0.25336976918085E-02          105.0000                           7.2727272727
  15    0.26096529928825E-02          110.0000                           8.1818181818
  16    0.27095672926320E-02          115.0000                           9.0909090909
  17    0.28301056382883E-02          120.0000                          10.0000000000
  18    0.29648303921275E-02          125.0000                          10.9090909091
  19    0.35616007559608E-02          125.0000                        1780.9090909091
  20    0.35616008809179E-02          119.5000                        1781.9090909091
  21    0.35616011741903E-02          114.0000                        1782.9090909091
  22    0.35616335570417E-02          108.5000                        1783.9090909091
  23    0.35620908327477E-02          103.0000                        1784.9090909091
  24    0.35646353664879E-02           97.5000                        1785.9090909091
  25    0.35728791187236E-02           92.0000                        1786.9090909091
  26    0.35914470329860E-02           86.5000                        1787.9090909091
  27    0.36238447078800E-02           81.0000                        1788.9090909091
  28    0.36711265856117E-02           75.5000                        1789.9090909091
  29    0.37315829015796E-02           70.0000                        1790.9090909091
  30    0.38025879801170E-02           64.5000                        1791.9090909091
  31    0.38812810830779E-02           59.0000                        1792.9090909091
  32    0.39650365253297E-02           53.5000                        1793.9090909091
  33    0.40516577710814E-02           48.0000                        1794.9090909091
  34    0.41393899280730E-02           42.5000                        1795.9090909091
  35    0.42268669601368E-02           37.0000                        1796.9090909091
  36    0.43130536973182E-02           31.5000                        1797.9090909091
  37    0.43971523958677E-02           26.0000                        1798.9090909091
  38    0.44774413430185E-02           20.5000                        1799.9090909091
  39    0.45534970116777E-02           15.0000                        1800.9090909091
  40    0.46252041343511E-02            9.5000                        1801.9090909091
  41    0.46924437295646E-02            4.0000                        1802.9090909091
  42    0.47551058275089E-02           -1.5000                        1803.9090909091
  43    0.48130892763669E-02           -7.0000                        1804.9090909091
  44    0.48663216432905E-02          -12.5000                        1805.9090909091
  45    0.49147698259586E-02          -18.0000                        1806.9090909091
  46    0.49584367535856E-02          -23.5000                        1807.9090909091
  47    0.49973665606676E-02          -29.0000                        1808.9090909091
  48    0.50316465534787E-02          -34.5000                        1809.9090909091
  49    0.50614156044241E-02          -40.0000                        1810.9090909091
  50    0.63206998691061E-02          -40.0000                        3580.9090909091
  51    0.63208560144695E-02          -33.5000                        3582.0909090909
  52    0.63209740156053E-02          -27.0000                        3583.2727272727
  53    0.63210536129792E-02          -20.5000                        3584.4545454545
  54    0.63211014825848E-02          -14.0000                        3585.6363636363
  55    0.63211277993899E-02           -7.5000                        3586.8181818181
  56    0.63211429942400E-02           -1.0000                        3587.9999999999
  57    0.63211575436893E-02            5.5000                        3589.1818181817
  58    0.63211893589892E-02           12.0000                        3590.3636363636
  59    0.63212898939204E-02           18.5000                        3591.5454545454
  60    0.63216220887802E-02           25.0000                        3592.7272727272
  61    0.63222552759302E-02           30.0000                        3593.6363636363
  62    0.63237933113947E-02           35.0000                        3594.5454545454
  63    0.63274045024269E-02           40.0000                        3595.4545454544
  64    0.63353474452621E-02           45.0000                        3596.3636363635
  65    0.63511187578438E-02           50.0000                        3597.2727272726
  66    0.63788938085686E-02           55.0000                        3598.1818181817
  67    0.64226368455170E-02           60.0000                        3599.0909090908
  68    0.64852988733006E-02           65.0000                        3599.9999999999
  69    0.65681020130823E-02           70.0000                        3600.9090909090
  70    0.66703300773441E-02           75.0000                        3601.8181818181
  71    0.67898145149195E-02           80.0000                        3602.7272727272
  72    0.69234246818375E-02           85.0000                        3603.6363636363
  73    0.70673559711421E-02           90.0000                        3604.5454545454
  74    0.72182020781253E-02           95.0000                        3605.4545454544
  75    0.73741349201747E-02          100.0000                        3606.3636363635
  76    0.75341893595630E-02          105.0000                        3607.2727272726
  77    0.76966057633343E-02          110.0000                        3608.1818181817
  78    0.78603069083890E-02          115.0000                        3609.0909090908
  79    0.80261833021743E-02          120.0000                        3609.9999999999
  80    0.81959795198525E-02          125.0000                        3610.9090909090
  81    0.89843715490387E-02          125.0000                        5380.9090909090
  82    0.89843721711204E-02          119.5000                        5381.9090909090
  83    0.89843748116977E-02          114.0000                        5382.9090909090
  84    0.89844280421514E-02          108.5000                        5383.9090909090
  85    0.89849337443232E-02          103.0000                        5384.9090909090
  86    0.89873984829364E-02           97.5000                        5385.9090909090
  87    0.89949844176599E-02           92.0000                        5386.9090909090
  88    0.90118347760195E-02           86.5000                        5387.9090909090
  89    0.90413625287543E-02           81.0000                        5388.9090909090
  90    0.90849505741350E-02           75.5000                        5389.9090909090
  91    0.91414141331900E-02           70.0000                        5390.9090909090
  92    0.92085097781347E-02           64.5000                        5391.9090909090
  93    0.92835954192821E-02           59.0000                        5392.9090909090
  94    0.93641368803228E-02           53.5000                        5393.9090909090
  95    0.94479510089503E-02           48.0000                        5394.9090909090
  96    0.95332570216916E-02           42.5000                        5395.9090909090
  97    0.96186488008097E-02           37.0000                        5396.9090909090
  98    0.97030421002842E-02           31.5000                        5397.9090909090
  99    0.97855998998980E-02           26.0000                        5398.9090909090
  100   0.98646000275332E-02           20.5000                        5399.9090909090
  101   0.99395788649514E-02           15.0000                        5400.9090909090
  102   0.10010382044083E-01            9.5000                        5401.9090909090
  103   0.10076862173268E-01            4.0000                        5402.9090909090
  104   0.10138883945877E-01           -1.5000                        5403.9090909090
  105   0.10196327638364E-01           -7.0000                        5404.9090909090
  106   0.10249105793405E-01          -12.5000                        5405.9090909090
  107   0.10297173652178E-01          -18.0000                        5406.9090909090
  108   0.10340524605488E-01          -23.5000                        5407.9090909090
  109   0.10379192259007E-01          -29.0000                        5408.9090909090
  110   0.10413257282241E-01          -34.5000                        5409.9090909090
  111   0.10442851384765E-01          -40.0000                        5410.9090909090
  112   0.11693154836963E-01          -40.0000                        7180.9090909090
  113   0.11693308993321E-01          -33.5000                        7182.0909090908
  114   0.11693424766192E-01          -27.0000                        7183.2727272726
  115   0.11693502027389E-01          -20.5000                        7184.4545454544
  116   0.11693547570796E-01          -14.0000                        7185.6363636362
  117   0.11693571506352E-01           -7.5000                        7186.8181818180
  118   0.11693583864997E-01           -1.0000                        7187.9999999998
  119   0.11693593632085E-01            5.5000                        7189.1818181817
  120   0.11693614025892E-01           12.0000                        7190.3636363635
  121   0.11693683973228E-01           18.5000                        7191.5454545453
  122   0.11693941719524E-01           25.0000                        7192.7272727271
  123   0.11694475174874E-01           30.0000                        7193.6363636362
  124   0.11695862548930E-01           35.0000                        7194.5454545453
  125   0.11699278122711E-01           40.0000                        7195.4545454544
  126   0.11707006373291E-01           45.0000                        7196.3636363634
  127   0.11722575607307E-01           50.0000                        7197.2727272725
  128   0.11750165637595E-01           55.0000                        7198.1818181816
  129   0.11793714139245E-01           60.0000                        7199.0909090907
  130   0.11856150314145E-01           65.0000                        7199.9999999998
  131   0.11938715221249E-01           70.0000                        7200.9090909089
  132   0.12040753550939E-01           75.0000                        7201.8181818180
  133   0.12160149382945E-01           80.0000                        7202.7272727271
  134   0.12293817533908E-01           85.0000                        7203.6363636362
  135   0.12437973856317E-01           90.0000                        7204.5454545453
  136   0.12589208908902E-01           95.0000                        7205.4545454543
  137   0.12745669308405E-01          100.0000                        7206.3636363634
  138   0.12906362753232E-01          105.0000                        7207.2727272725
  139   0.13069537432401E-01          110.0000                        7208.1818181816
  140   0.13234130901536E-01          115.0000                        7209.0909090907
  141   0.13402921759683E-01          120.0000                        7209.9999999998
  142   0.13572970723208E-01          125.0000                        7210.9090909089
  143   0.14393596010880E-01          125.0000                        8980.9090909089
  144   0.14393597440637E-01          119.5000                        8981.9090909089
  145   0.14393603758925E-01          114.0000                        8982.9090909089
  146   0.14393675664498E-01          108.5000                        8983.9090909089
  147   0.14394222395641E-01          103.0000                        8984.9090909089
  148   0.14396695682674E-01           97.5000                        8985.9090909089
  149   0.14404127008758E-01           92.0000                        8986.9090909089
  150   0.14420559182476E-01           86.5000                        8987.9090909089
  151   0.14449428293839E-01           81.0000                        8988.9090909089
  152   0.14492229981562E-01           75.5000                        8989.9090909089
  153   0.14547907967680E-01           70.0000                        8990.9090909089
  154   0.14614289095393E-01           64.5000                        8991.9090909089
  155   0.14688755976165E-01           59.0000                        8992.9090909089
  156   0.14768773353507E-01           53.5000                        8993.9090909089
  157   0.14852146280401E-01           48.0000                        8994.9090909089
  158   0.14937080302810E-01           42.5000                        8995.9090909089
  159   0.15022156837309E-01           37.0000                        8996.9090909089
