  LS    nlcreq                        Temp                       Time    
  1     0.27313738913906E-02           25.0000                          -4.5454545455
  2     0.27322945875453E-02           30.0000                          -3.6363636364
  3     0.27326850748908E-02           35.0000                          -2.7272727273
  4     0.27328246721237E-02           40.0000                          -1.8181818182
  5     0.27328661118166E-02           45.0000                          -0.9090909091
  6     0.27328778495242E-02           50.0000                           0.0000000000
  7     0.27328848647302E-02           55.0000                           0.9090909091
  8     0.27329011216617E-02           60.0000                           1.8181818182
  9     0.27329662583228E-02           65.0000                           2.7272727273
  10    0.27332487956255E-02           70.0000                           3.6363636364
  11    0.27343764017980E-02           75.0000                           4.5454545455
  12    0.27382244114516E-02           80.0000                           5.4545454545
  13    0.27489692188352E-02           85.0000                           6.3636363636
  14    0.27730964486767E-02           90.0000                           7.2727272727
  15    0.28173824982176E-02           95.0000                           8.1818181818
  16    0.28861166832942E-02          100.0000                           9.0909090909
  17    0.29794352453049E-02          105.0000                          10.0000000000
  18    0.30938197751413E-02          110.0000                          10.9090909091
  19    0.32243905279581E-02          115.0000                          11.8181818182
  20    0.33679092743020E-02          120.0000                          12.7272727273
  21    0.35185798142410E-02          125.0000                          13.6363636364
  22    0.41473177466301E-02          125.0000                        1783.6363636364
  23    0.41473178799809E-02          119.5000                        1784.6363636364
  24    0.41473182700372E-02          114.0000                        1785.6363636364
  25    0.41473534014702E-02          108.5000                        1786.6363636364
  26    0.41478263529309E-02          103.0000                        1787.6363636364
  27    0.41504065789425E-02           97.5000                        1788.6363636364
  28    0.41586788324690E-02           92.0000                        1789.6363636364
  29    0.41772057527498E-02           86.5000                        1790.6363636364
  30    0.42094420684246E-02           81.0000                        1791.6363636364
  31    0.42564382267223E-02           75.5000                        1792.6363636364
  32    0.43165241399292E-02           70.0000                        1793.6363636364
  33    0.43871176169163E-02           64.5000                        1794.6363636364
  34    0.44653907206331E-02           59.0000                        1795.6363636364
  35    0.45487394182829E-02           53.5000                        1796.6363636364
  36    0.46349805790694E-02           48.0000                        1797.6363636364
  37    0.47223663872505E-02           42.5000                        1798.6363636364
  38    0.48095333126547E-02           37.0000                        1799.6363636364
  39    0.48954397838991E-02           31.5000                        1800.6363636364
  40    0.49792885425019E-02           26.0000                        1801.6363636364
  41    0.50593568157188E-02           20.5000                        1802.6363636364
  42    0.51352231444565E-02           15.0000                        1803.6363636364
  43    0.52067665875969E-02            9.5000                        1804.6363636364
  44    0.52738651127624E-02            4.0000                        1805.6363636364
  45    0.53364071107907E-02           -1.5000                        1806.6363636364
  46    0.53942905094871E-02           -7.0000                        1807.6363636364
  47    0.54474407952879E-02          -12.5000                        1808.6363636364
