 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0 -0.2642E-06  0.2704E-05 -0.2642E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44137051E-05 -0.10652286E-05 -0.44137051E-05
      -39.0  0.2640E-06 -0.2703E-05  0.2640E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44135887E-05  0.10653129E-05  0.44135887E-05
        0.0 -0.2537E-06  0.2672E-05 -0.2537E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44089511E-05 -0.10686834E-05 -0.44089511E-05
        1.0  0.2535E-06 -0.2671E-05  0.2535E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44088295E-05  0.10687720E-05  0.44088295E-05
       85.0 -0.3261E-06  0.3298E-05 -0.3261E-06 -0.1525E-04 -0.1525E-04 -0.1525E-04 -0.46677347E-05 -0.11115602E-05 -0.46677347E-05
       86.0  0.4633E-06 -0.4298E-05  0.4633E-06  0.1681E-04  0.1681E-04  0.1681E-04  0.50527224E-05  0.11615871E-05  0.50527224E-05
       90.0 -0.1697E-05  0.1330E-04 -0.1697E-05 -0.3090E-04 -0.3090E-04 -0.3090E-04 -0.85175944E-05 -0.16122617E-05 -0.85175944E-05
       91.0  0.1833E-05 -0.1429E-04  0.1833E-05  0.3246E-04  0.3246E-04  0.3246E-04  0.89022997E-05  0.16626706E-05  0.89022997E-05
       95.0 -0.2972E-05  0.2258E-04 -0.2972E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12099190E-04 -0.20798486E-05 -0.12099190E-04
       96.0  0.2970E-05 -0.2257E-04  0.2970E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12098449E-04  0.20805249E-05  0.12098449E-04
      180.0 -0.2812E-05  0.2203E-04 -0.2812E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12040341E-04 -0.21393308E-05 -0.12040341E-04
      181.0  0.2810E-05 -0.2202E-04  0.2810E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12039699E-04  0.21400393E-05  0.12039699E-04
