 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0  0.1016E-06 -0.6187E-09  0.1016E-06 -0.1000E-04 -0.1000E-04 -0.1000E-04 -0.33888026E-05 -0.94133254E-06 -0.33888026E-05
      -39.0 -0.1017E-06  0.8194E-09 -0.1017E-06  0.1000E-04  0.1000E-04  0.1000E-04  0.33887453E-05  0.94135354E-06  0.33887453E-05
        0.0  0.1051E-06 -0.8710E-08  0.1051E-06 -0.1000E-04 -0.1000E-04 -0.1000E-04 -0.33864694E-05 -0.94218133E-06 -0.33864694E-05
        1.0 -0.1052E-06  0.8914E-08 -0.1052E-06  0.1000E-04  0.1000E-04  0.1000E-04  0.33864100E-05  0.94220278E-06  0.33864100E-05
      151.0  0.8736E-07  0.2940E-06  0.8736E-07 -0.1069E-04 -0.1069E-04 -0.1069E-04 -0.35375870E-05 -0.97834386E-06 -0.35375870E-05
      152.0 -0.2464E-07 -0.9620E-06 -0.2464E-07  0.1206E-04  0.1206E-04  0.1206E-04  0.38589242E-05  0.10440057E-05  0.38589242E-05
      156.0 -0.5376E-06  0.6965E-05 -0.5376E-06 -0.2444E-04 -0.2444E-04 -0.2444E-04 -0.67505272E-05 -0.16359308E-05 -0.67505272E-05
      157.0  0.5994E-06 -0.7629E-05  0.5994E-06  0.2581E-04  0.2581E-04  0.2581E-04  0.70716122E-05  0.17020066E-05  0.70716122E-05
      161.0 -0.1129E-05  0.1328E-04 -0.1129E-05 -0.3750E-04 -0.3750E-04 -0.3750E-04 -0.98033146E-05 -0.22626748E-05 -0.98033146E-05
      162.0  0.1127E-05 -0.1328E-04  0.1127E-05  0.3750E-04  0.3750E-04  0.3750E-04  0.98030434E-05  0.22632138E-05  0.98030434E-05
      180.0 -0.1098E-05  0.1317E-04 -0.1098E-05 -0.3750E-04 -0.3750E-04 -0.3750E-04 -0.97939546E-05 -0.22744089E-05 -0.97939546E-05
      181.0  0.1096E-05 -0.1317E-04  0.1096E-05  0.3750E-04  0.3750E-04  0.3750E-04  0.97934552E-05  0.22750347E-05  0.97934552E-05
