 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0 -0.1973E-06  0.2493E-05 -0.1973E-06 -0.1350E-04 -0.1350E-04 -0.1350E-04 -0.21161739E-05 -0.95446578E-06 -0.21161739E-05
      -39.0  0.1972E-06 -0.2493E-05  0.1972E-06  0.1350E-04  0.1350E-04  0.1350E-04  0.21161286E-05  0.95452484E-06  0.21161286E-05
        0.0 -0.1922E-06  0.2472E-05 -0.1922E-06 -0.1350E-04 -0.1350E-04 -0.1350E-04 -0.21143196E-05 -0.95689470E-06 -0.21143196E-05
        1.0  0.1920E-06 -0.2471E-05  0.1920E-06  0.1350E-04  0.1350E-04  0.1350E-04  0.21142721E-05  0.95695723E-06  0.21142721E-05
      130.0 -0.2817E-06  0.3064E-05 -0.2817E-06 -0.1435E-04 -0.1435E-04 -0.1435E-04 -0.22037996E-05 -0.98383106E-06 -0.22037996E-05
      131.0  0.4979E-06 -0.4406E-05  0.4979E-06  0.1605E-04  0.1605E-04  0.1605E-04  0.23961598E-05  0.10198711E-05  0.23961598E-05
      135.0 -0.2443E-05  0.1648E-04 -0.2443E-05 -0.3135E-04 -0.3135E-04 -0.3135E-04 -0.41272954E-05 -0.13447876E-05 -0.41272954E-05
      136.0  0.2658E-05 -0.1782E-04  0.2658E-05  0.3305E-04  0.3305E-04  0.3305E-04  0.43194994E-05  0.13812042E-05  0.43194994E-05
      140.0 -0.4492E-05  0.2920E-04 -0.4492E-05 -0.4750E-04 -0.4750E-04 -0.4750E-04 -0.59535860E-05 -0.16901754E-05 -0.59535860E-05
      141.0  0.4491E-05 -0.2919E-04  0.4491E-05  0.4750E-04  0.4750E-04  0.4750E-04  0.59533184E-05  0.16907601E-05  0.59533184E-05
      180.0 -0.4452E-05  0.2897E-04 -0.4452E-05 -0.4750E-04 -0.4750E-04 -0.4750E-04 -0.59425717E-05 -0.17144440E-05 -0.59425717E-05
      181.0  0.4451E-05 -0.2897E-04  0.4451E-05  0.4750E-04  0.4750E-04  0.4750E-04  0.59422876E-05  0.17150750E-05  0.59422876E-05
