 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72341444E-04  0.15109866E-04 -0.20069127E-03
 0.1000E-13  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72342652E-04  0.15111182E-04 -0.20068764E-03
 0.1000E-12  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343033E-04  0.15111366E-04 -0.20068868E-03
 0.1000E-11  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343152E-04  0.15111418E-04 -0.20068899E-03
 0.1000E-10  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343191E-04  0.15111434E-04 -0.20068908E-03
 0.1000E-09  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343204E-04  0.15111439E-04 -0.20068911E-03
 0.1000E-08  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343208E-04  0.15111441E-04 -0.20068913E-03
 0.1000E-07  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343210E-04  0.15111442E-04 -0.20068913E-03
 0.1000E-06  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343213E-04  0.15111442E-04 -0.20068913E-03
 0.1000E-05  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343237E-04  0.15111445E-04 -0.20068917E-03
 0.1000E-04  0.1996E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72343475E-04  0.15111468E-04 -0.20068954E-03
 0.1000E-03  0.1995E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72345849E-04  0.15111702E-04 -0.20069320E-03
 0.1000E-02  0.1992E-04  0.1503E-03 -0.4668E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72369392E-04  0.15114019E-04 -0.20072951E-03
 0.1000E-01  0.1958E-04  0.1505E-03 -0.4669E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72594670E-04  0.15136180E-04 -0.20107688E-03
 0.1000E+00  0.1705E-04  0.1519E-03 -0.4674E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74257562E-04  0.15298692E-04 -0.20363403E-03
 0.1000E+01  0.1302E-04  0.1550E-03 -0.4690E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77233711E-04  0.15624316E-04 -0.20828948E-03
 0.1000E+02  0.9356E-05  0.1566E-03 -0.4690E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.79378240E-04  0.15816892E-04 -0.21149306E-03
 0.1000E+03  0.5901E-05  0.1590E-03 -0.4698E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81741121E-04  0.16071634E-04 -0.21514316E-03
 0.1000E+04  0.1471E-05  0.1614E-03 -0.4698E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84432366E-04  0.16335637E-04 -0.21919632E-03
 0.1000E+05 -0.2938E-05  0.1647E-03 -0.4709E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.87565933E-04  0.16708441E-04 -0.22407476E-03
 0.1000E+06 -0.1696E-05  0.1744E-03 -0.4826E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.91964910E-04  0.17785639E-04 -0.23246557E-03
 0.1000E+07  0.2134E-04  0.2026E-03 -0.5297E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.99251149E-04  0.21020790E-04 -0.25051178E-03
 0.1000E+08  0.6383E-04  0.2474E-03 -0.6087E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10873122E-03  0.26322090E-04 -0.27735974E-03
 0.1000E+09  0.1090E-03  0.2946E-03 -0.6923E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11827008E-03  0.32109503E-04 -0.30602471E-03
 0.1000E+10  0.1466E-03  0.3379E-03 -0.7665E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12763684E-03  0.37628272E-04 -0.33404667E-03
 0.1000E+11  0.1741E-03  0.3782E-03 -0.8305E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13761773E-03  0.42966358E-04 -0.36264039E-03
 0.1000E+12  0.1931E-03  0.4161E-03 -0.8854E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14779685E-03  0.48157792E-04 -0.39132327E-03
 0.1000E+13  0.2059E-03  0.4498E-03 -0.9306E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15682191E-03  0.52882360E-04 -0.41733884E-03
 0.1000E+14  0.2134E-03  0.4799E-03 -0.9678E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16514165E-03  0.57190574E-04 -0.44129614E-03
 0.1000E+15  0.2154E-03  0.5092E-03 -0.9995E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17393146E-03  0.61440813E-04 -0.46569491E-03
 0.1000E+16  0.2134E-03  0.5377E-03 -0.1027E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.18308189E-03  0.65640223E-04 -0.49037450E-03
