 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.6890E-04  0.1122E-03 -0.3091E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.41813825E-04  0.10903317E-04 -0.11681823E-03
 0.1000E-13  0.6869E-04  0.1130E-03 -0.3100E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.42252296E-04  0.10987538E-04 -0.11760379E-03
 0.1000E-12  0.6845E-04  0.1161E-03 -0.3140E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.43822305E-04  0.11301640E-04 -0.12047941E-03
 0.1000E-11  0.6800E-04  0.1182E-03 -0.3164E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.44952300E-04  0.11519873E-04 -0.12251709E-03
 0.1000E-10  0.6749E-04  0.1203E-03 -0.3187E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.46056801E-04  0.11730100E-04 -0.12449592E-03
 0.1000E-09  0.6678E-04  0.1226E-03 -0.3212E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.47328591E-04  0.11967982E-04 -0.12675665E-03
 0.1000E-08  0.6585E-04  0.1251E-03 -0.3236E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.48735515E-04  0.12225693E-04 -0.12923428E-03
 0.1000E-07  0.6454E-04  0.1280E-03 -0.3263E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.50444261E-04  0.12530964E-04 -0.13221073E-03
 0.1000E-06  0.6284E-04  0.1312E-03 -0.3290E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.52337193E-04  0.12859131E-04 -0.13546551E-03
 0.1000E-05  0.6051E-04  0.1349E-03 -0.3316E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.54613874E-04  0.13240205E-04 -0.13932284E-03
 0.1000E-04  0.5793E-04  0.1383E-03 -0.3336E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.56809665E-04  0.13593543E-04 -0.14298298E-03
 0.1000E-03  0.5465E-04  0.1420E-03 -0.3354E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.59331613E-04  0.13984137E-04 -0.14712326E-03
 0.1000E-02  0.4976E-04  0.1467E-03 -0.3370E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.62704009E-04  0.14481869E-04 -0.15255707E-03
 0.1000E-01  0.4292E-04  0.1522E-03 -0.3376E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.66881047E-04  0.15060348E-04 -0.15912807E-03
 0.1000E+00  0.3488E-04  0.1574E-03 -0.3367E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.71252422E-04  0.15622978E-04 -0.16582557E-03
 0.1000E+01  0.2707E-04  0.1617E-03 -0.3347E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.75128797E-04  0.16089135E-04 -0.17162752E-03
 0.1000E+02  0.1764E-04  0.1663E-03 -0.3316E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.79511837E-04  0.16585223E-04 -0.17805925E-03
 0.1000E+03  0.6938E-05  0.1708E-03 -0.3270E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84169888E-04  0.17077960E-04 -0.18474994E-03
 0.1000E+04 -0.6283E-05  0.1757E-03 -0.3205E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.89647131E-04  0.17626300E-04 -0.19247937E-03
 0.1000E+05 -0.1945E-04  0.1815E-03 -0.3147E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.95505354E-04  0.18281443E-04 -0.20093547E-03
 0.1000E+06 -0.2847E-04  0.1970E-03 -0.3220E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10488880E-03  0.20070839E-04 -0.21689093E-03
 0.1000E+07 -0.1002E-04  0.2348E-03 -0.3763E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11862892E-03  0.24658134E-04 -0.24686317E-03
 0.1000E+08  0.2318E-04  0.2937E-03 -0.4651E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13769583E-03  0.32145829E-04 -0.29248782E-03
 0.1000E+09  0.4804E-04  0.3638E-03 -0.5575E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16152008E-03  0.41611519E-04 -0.35023525E-03
 0.1000E+10  0.4014E-04  0.4481E-03 -0.6331E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19472112E-03  0.53768433E-04 -0.42753324E-03
 0.1000E+11 -0.2814E-04  0.5587E-03 -0.6762E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.24445494E-03  0.70833187E-04 -0.53960845E-03
 0.1000E+12 -0.2262E-03  0.7277E-03 -0.6494E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32948835E-03  0.98478030E-04 -0.72587799E-03
 0.1000E+13 -0.5989E-03  0.9642E-03 -0.5155E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45479612E-03  0.13891830E-03 -0.99906164E-03
 0.1000E+14 -0.1178E-02  0.1298E-02 -0.2709E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.63039532E-03  0.19750144E-03 -0.13883923E-02
 0.1000E+15 -0.1716E-02  0.1614E-02 -0.4932E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.78771476E-03  0.25399860E-03 -0.17512363E-02
 0.1000E+16 -0.2157E-02  0.1883E-02  0.1219E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.91715105E-03  0.30257383E-03 -0.20569800E-02
