 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.7121E-04  0.1144E-03 -0.3139E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.42753187E-04  0.11149930E-04 -0.11879923E-03
 0.1000E-13  0.7079E-04  0.1180E-03 -0.3183E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.44583730E-04  0.11515253E-04 -0.12213581E-03
 0.1000E-12  0.7037E-04  0.1201E-03 -0.3207E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45697597E-04  0.11732463E-04 -0.12414777E-03
 0.1000E-11  0.6984E-04  0.1223E-03 -0.3232E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.46873401E-04  0.11958218E-04 -0.12625715E-03
 0.1000E-10  0.6911E-04  0.1247E-03 -0.3257E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.48192154E-04  0.12206818E-04 -0.12860341E-03
 0.1000E-09  0.6811E-04  0.1275E-03 -0.3284E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.49727066E-04  0.12490116E-04 -0.13130864E-03
 0.1000E-08  0.6673E-04  0.1306E-03 -0.3312E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.51499911E-04  0.12808689E-04 -0.13439675E-03
 0.1000E-07  0.6486E-04  0.1340E-03 -0.3340E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.53570664E-04  0.13169667E-04 -0.13795705E-03
 0.1000E-06  0.6250E-04  0.1377E-03 -0.3365E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.55822256E-04  0.13547733E-04 -0.14176768E-03
 0.1000E-05  0.5979E-04  0.1412E-03 -0.3386E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.58101783E-04  0.13916663E-04 -0.14556767E-03
 0.1000E-04  0.5605E-04  0.1454E-03 -0.3405E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.60940442E-04  0.14357748E-04 -0.15022371E-03
 0.1000E-03  0.5051E-04  0.1505E-03 -0.3420E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.64660241E-04  0.14905433E-04 -0.15619887E-03
 0.1000E-02  0.4319E-04  0.1561E-03 -0.3422E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.68994300E-04  0.15501934E-04 -0.16298727E-03
 0.1000E-01  0.3535E-04  0.1610E-03 -0.3410E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73145164E-04  0.16033738E-04 -0.16932422E-03
 0.1000E+00  0.2710E-04  0.1655E-03 -0.3389E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77192195E-04  0.16521674E-04 -0.17537594E-03
 0.1000E+01  0.1733E-04  0.1701E-03 -0.3354E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81660139E-04  0.17026581E-04 -0.18191704E-03
 0.1000E+02  0.5714E-05  0.1750E-03 -0.3303E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.86670770E-04  0.17560242E-04 -0.18911344E-03
 0.1000E+03 -0.7035E-05  0.1803E-03 -0.3246E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.92202315E-04  0.18161909E-04 -0.19706188E-03
 0.1000E+04 -0.1667E-04  0.1911E-03 -0.3268E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.99525827E-04  0.19403201E-04 -0.20901577E-03
 0.1000E+05 -0.5454E-05  0.2212E-03 -0.3670E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11138550E-03  0.23007665E-04 -0.23366653E-03
 0.1000E+06  0.2837E-04  0.2732E-03 -0.4495E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12769586E-03  0.29505211E-04 -0.27290419E-03
 0.1000E+07  0.6102E-04  0.3372E-03 -0.5431E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14825446E-03  0.37951439E-04 -0.32357283E-03
 0.1000E+08  0.7276E-04  0.4105E-03 -0.6266E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17464807E-03  0.48244700E-04 -0.38710942E-03
 0.1000E+09  0.4265E-04  0.5020E-03 -0.6882E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.21255100E-03  0.61949148E-04 -0.47494879E-03
 0.1000E+10 -0.6912E-04  0.6324E-03 -0.7086E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.27324188E-03  0.82661328E-04 -0.61145149E-03
 0.1000E+11 -0.3332E-03  0.8314E-03 -0.6460E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.37340106E-03  0.11595050E-03 -0.83348719E-03
 0.1000E+12 -0.7855E-03  0.1109E-02 -0.4737E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.51802821E-03  0.16414222E-03 -0.11542110E-02
 0.1000E+13 -0.1391E-02  0.1452E-02 -0.2115E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.69725176E-03  0.22490871E-03 -0.15548637E-02
 0.1000E+14 -0.1886E-02  0.1745E-02 -0.9929E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.84201661E-03  0.27752668E-03 -0.18908460E-02
 0.1000E+15 -0.2233E-02  0.1965E-02  0.1174E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.94565287E-03  0.31733029E-03 -0.21388507E-02
 0.1000E+16 -0.2418E-02  0.2099E-02  0.1690E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10042087E-02  0.34160485E-03 -0.22853476E-02
