 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14 -0.1560E-04  0.1605E-03 -0.4315E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.39528162E-04  0.15186251E-04 -0.10242702E-03
 0.1000E-13 -0.3451E-04  0.1656E-03 -0.4232E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.42715893E-04  0.15699431E-04 -0.10706120E-03
 0.1000E-12 -0.5539E-04  0.1702E-03 -0.4119E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.45898933E-04  0.16161129E-04 -0.11154371E-03
 0.1000E-11 -0.8056E-04  0.1748E-03 -0.3964E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.49451974E-04  0.16628666E-04 -0.11640967E-03
 0.1000E-10 -0.1144E-03  0.1800E-03 -0.3733E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.53883111E-04  0.17149516E-04 -0.12230077E-03
 0.1000E-09 -0.1617E-03  0.1858E-03 -0.3382E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.59640412E-04  0.17740571E-04 -0.12971190E-03
 0.1000E-08 -0.2464E-03  0.1936E-03 -0.2700E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.69119901E-04  0.18547626E-04 -0.14144556E-03
 0.1000E-07 -0.4038E-03  0.2033E-03 -0.1334E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.85082204E-04  0.19564406E-04 -0.16023762E-03
 0.1000E-06 -0.7218E-03  0.2144E-03  0.1604E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11422035E-03  0.20766751E-04 -0.19269545E-03
 0.1000E-05 -0.1480E-02  0.2259E-03  0.8924E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17745976E-03  0.22086192E-04 -0.25948056E-03
 0.1000E-04 -0.3162E-02  0.2336E-03  0.2557E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.30883352E-03  0.23063507E-04 -0.39311707E-03
 0.1000E-03 -0.6539E-02  0.2371E-03  0.5926E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.56409512E-03  0.23620963E-04 -0.64844823E-03
 0.1000E-02 -0.1296E-01  0.2385E-03  0.1234E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.10407458E-02  0.23938111E-04 -0.11212089E-02
 0.1000E-01 -0.2076E-01  0.2389E-03  0.2015E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.16143880E-02  0.24345226E-04 -0.16866044E-02
 0.1000E+00 -0.2478E-01  0.2437E-03  0.2416E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.19140813E-02  0.27028481E-04 -0.19851928E-02
 0.1000E+01 -0.2706E-01  0.2626E-03  0.2643E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.21131794E-02  0.41968645E-04 -0.22079793E-02
 0.1000E+02 -0.2684E-01  0.3511E-03  0.2613E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.22048677E-02  0.98150253E-04 -0.24043322E-02
 0.1000E+03 -0.2341E-01  0.7728E-03  0.2230E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.22903513E-02  0.29405417E-03 -0.28608623E-02
 0.1000E+04 -0.1730E-01  0.1994E-02  0.1501E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.24284323E-02  0.67749720E-03 -0.37208227E-02
 0.1000E+05 -0.1101E-01  0.3822E-02  0.6943E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.25502474E-02  0.11042630E-02 -0.46386067E-02
 0.1000E+06 -0.6044E-02  0.5702E-02  0.1281E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.26287938E-02  0.14618589E-02 -0.53783956E-02
 0.1000E+07 -0.2483E-02  0.7327E-02 -0.5032E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26745401E-02  0.17264957E-02 -0.59102924E-02
 0.1000E+08 -0.3050E-04  0.8592E-02 -0.8732E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.27019045E-02  0.19095472E-02 -0.62723358E-02
 0.1000E+09  0.1686E-02  0.9567E-02 -0.1141E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27199063E-02  0.20348169E-02 -0.65185400E-02
 0.1000E+10  0.2900E-02  0.1028E-01 -0.1333E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27330431E-02  0.21179617E-02 -0.66827009E-02
 0.1000E+11  0.3576E-02  0.1068E-01 -0.1440E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27404955E-02  0.21618523E-02 -0.67697344E-02
 0.1000E+12  0.3758E-02  0.1079E-01 -0.1469E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27425312E-02  0.21735116E-02 -0.67928747E-02
 0.1000E+13  0.4542E-02  0.1124E-01 -0.1593E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27528020E-02  0.22175545E-02 -0.68827464E-02
 0.1000E+14  0.4557E-02  0.1125E-01 -0.1595E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27529590E-02  0.22182738E-02 -0.68841953E-02
 0.1000E+15  0.5245E-02  0.1159E-01 -0.1697E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27614881E-02  0.22465963E-02 -0.69437475E-02
 0.1000E+16  0.5523E-02  0.1174E-01 -0.1740E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.27630940E-02  0.22593771E-02 -0.69684884E-02
