 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.9427E-04  0.1839E-03 -0.5643E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81984953E-04  0.19620347E-04 -0.22972688E-03
 0.1000E-13  0.9427E-04  0.1839E-03 -0.5643E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81987362E-04  0.19620921E-04 -0.22972296E-03
 0.1000E-12  0.9427E-04  0.1839E-03 -0.5643E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81988795E-04  0.19621262E-04 -0.22972579E-03
 0.1000E-11  0.9427E-04  0.1839E-03 -0.5643E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.82000126E-04  0.19623339E-04 -0.22974589E-03
 0.1000E-10  0.9424E-04  0.1841E-03 -0.5645E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.82109699E-04  0.19643254E-04 -0.22993964E-03
 0.1000E-09  0.9396E-04  0.1854E-03 -0.5663E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.83063505E-04  0.19816264E-04 -0.23162460E-03
 0.1000E-08  0.9400E-04  0.1911E-03 -0.5740E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.86612844E-04  0.20483329E-04 -0.23796004E-03
 0.1000E-07  0.9357E-04  0.1950E-03 -0.5790E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.89243918E-04  0.20961573E-04 -0.24258634E-03
 0.1000E-06  0.9303E-04  0.1987E-03 -0.5836E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.91737236E-04  0.21408310E-04 -0.24694141E-03
 0.1000E-05  0.9224E-04  0.2030E-03 -0.5887E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.94699803E-04  0.21930478E-04 -0.25207767E-03
 0.1000E-04  0.9114E-04  0.2075E-03 -0.5939E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.97961513E-04  0.22494117E-04 -0.25768278E-03
 0.1000E-03  0.8955E-04  0.2128E-03 -0.5996E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10187331E-03  0.23155398E-04 -0.26434111E-03
 0.1000E-02  0.8734E-04  0.2187E-03 -0.6056E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10641200E-03  0.23902752E-04 -0.27198048E-03
 0.1000E-01  0.8439E-04  0.2251E-03 -0.6114E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11151769E-03  0.24718829E-04 -0.28046849E-03
 0.1000E+00  0.8087E-04  0.2314E-03 -0.6166E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11678687E-03  0.25535082E-04 -0.28911687E-03
 0.1000E+01  0.7644E-04  0.2382E-03 -0.6215E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12269809E-03  0.26428378E-04 -0.29871559E-03
 0.1000E+02  0.7001E-04  0.2475E-03 -0.6274E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13058692E-03  0.27651624E-04 -0.31155964E-03
 0.1000E+03  0.6293E-04  0.2634E-03 -0.6386E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14023618E-03  0.29711360E-04 -0.32885854E-03
 0.1000E+04  0.6120E-04  0.2938E-03 -0.6660E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14930832E-03  0.33516833E-04 -0.35068164E-03
 0.1000E+05  0.6674E-04  0.3343E-03 -0.7080E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15710034E-03  0.38570753E-04 -0.37491693E-03
 0.1000E+06  0.7096E-04  0.3762E-03 -0.7509E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16588014E-03  0.43913876E-04 -0.40133238E-03
 0.1000E+07  0.7313E-04  0.4137E-03 -0.7886E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17517972E-03  0.48829378E-04 -0.42715244E-03
 0.1000E+08  0.7083E-04  0.4480E-03 -0.8203E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.18614921E-03  0.53490317E-04 -0.45419010E-03
 0.1000E+09  0.6307E-04  0.4803E-03 -0.8456E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19868251E-03  0.58036805E-04 -0.48273099E-03
 0.1000E+10  0.4411E-04  0.5163E-03 -0.8647E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.21524683E-03  0.63289739E-04 -0.51816372E-03
 0.1000E+11  0.1181E-04  0.5572E-03 -0.8762E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.23568709E-03  0.69454999E-04 -0.56093776E-03
 0.1000E+12 -0.4268E-04  0.6086E-03 -0.8768E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.26310112E-03  0.77446602E-04 -0.61744428E-03
 0.1000E+13 -0.1320E-03  0.6760E-03 -0.8594E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30123936E-03  0.88281111E-04 -0.69509785E-03
 0.1000E+14 -0.2917E-03  0.7743E-03 -0.8041E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.36096306E-03  0.10470402E-03 -0.81475913E-03
 0.1000E+15 -0.5935E-03  0.9275E-03 -0.6631E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.46227926E-03  0.13146563E-03 -0.10136738E-02
 0.1000E+16 -0.1170E-02  0.1172E-02 -0.3395E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.64009863E-03  0.17619924E-03 -0.13542879E-02
