  LS    nlcreq                        Temp                       Time    
  1     0.20108033949246E-15         -273.1500                       -1301.7181818182
  2     0.67151337050954E-03         -273.1500                       -1172.2181818182
  3     0.27179101379407E-02         -273.1500                       -1001.8181818182
  4     0.35377067560735E-02         -273.1500                          -1.8181818182
  5     0.35378327498569E-02         -273.1500                          -0.9090909091
  6     0.35378981012595E-02         -273.1500                           0.0000000000
  7     0.35379396689146E-02         -273.1500                           0.9090909091
  8     0.35379835348885E-02         -273.1500                           1.8181818182
  9     0.35380643777222E-02         -273.1500                           2.7272727273
  10    0.35382578089634E-02         -273.1500                           3.6363636364
  11    0.35387314050267E-02         -273.1500                           4.5454545455
  12    0.35398311788614E-02         -273.1500                           5.4545454545
  13    0.35421485795159E-02         -273.1500                           6.3636363636
  14    0.35465073589327E-02         -273.1500                           7.2727272727
  15    0.35537619903431E-02         -273.1500                           8.1818181818
  16    0.35643153264596E-02         -273.1500                           9.0909090909
  17    0.35806857010465E-02         -273.1500                          10.0000000000
  18    0.36099025405040E-02         -273.1500                          10.9090909091
  19    0.36453380584011E-02         -273.1500                          11.8181818182
  20    0.36650950715930E-02         -273.1500                          12.7272727273
  21    0.36738824873928E-02         -273.1500                          13.6363636364
  22    0.36805033886505E-02         -273.1500                          14.5454545454
  23    0.36874845402456E-02         -273.1500                          15.4545454545
  24    0.36975393798515E-02         -273.1500                          16.3636363636
  25    0.39973568418500E-02         -273.1500                        1786.3636363636
  26    0.39973727470347E-02         -273.1500                        1787.3636363636
  27    0.39973977869106E-02         -273.1500                        1788.3636363636
  28    0.39975901779503E-02         -273.1500                        1789.3636363636
  29    0.40002937183768E-02         -273.1500                        1790.3636363636
  30    0.40260692310421E-02         -273.1500                        1791.3636363636
  31    0.41270948181524E-02         -273.1500                        1792.3636363636
  32    0.42749729170845E-02         -273.1500                        1793.3636363636
  33    0.44063848973122E-02         -273.1500                        1794.3636363636
  34    0.45285693623364E-02         -273.1500                        1795.3636363636
  35    0.46442591692213E-02         -273.1500                        1796.3636363636
  36    0.47552186491289E-02         -273.1500                        1797.3636363636
  37    0.48623025922115E-02         -273.1500                        1798.3636363636
  38    0.49658538255500E-02         -273.1500                        1799.3636363636
  39    0.50659600471347E-02         -273.1500                        1800.3636363636
  40    0.51625564203003E-02         -273.1500                        1801.3636363636
  41    0.52555111519904E-02         -273.1500                        1802.3636363636
  42    0.53446322178706E-02         -273.1500                        1803.3636363636
  43    0.54297167813501E-02         -273.1500                        1804.3636363636
  44    0.55095706140732E-02         -273.1500                        1805.3636363636
  45    0.55840461158763E-02         -273.1500                        1806.3636363636
  46    0.56532066595567E-02         -273.1500                        1807.3636363636
  47    0.57170876666547E-02         -273.1500                        1808.3636363636
  48    0.57757071242238E-02         -273.1500                        1809.3636363636
  49    0.58290854102425E-02         -273.1500                        1810.3636363636
  50    0.58772654968067E-02         -273.1500                        1811.3636363636
  51    0.59203261014873E-02         -273.1500                        1812.3636363636
  52    0.59583875476587E-02         -273.1500                        1813.3636363636
  53    0.59916181211339E-02         -273.1500                        1814.3636363636
  54    0.60202332339900E-02         -273.1500                        1815.3636363636
  55    0.60444923971794E-02         -273.1500                        1816.3636363636
  56    0.75002072577794E-02         -273.1500                        3586.3636363636
  57    0.75004641264734E-02         -273.1500                        3587.5454545454
  58    0.75007141334783E-02         -273.1500                        3588.7272727272
  59    0.75009503331448E-02         -273.1500                        3589.9090909091
  60    0.75011708185435E-02         -273.1500                        3591.0909090909
  61    0.75013802201235E-02         -273.1500                        3592.2727272727
  62    0.75015909621000E-02         -273.1500                        3593.4545454545
  63    0.75018274721674E-02         -273.1500                        3594.6363636363
  64    0.75021368455768E-02         -273.1500                        3595.8181818181
  65    0.75026198279363E-02         -273.1500                        3596.9999999999
  66    0.75035104340024E-02         -273.1500                        3598.1818181817
  67    0.75046923455704E-02         -273.1500                        3599.0909090908
  68    0.75067505678656E-02         -273.1500                        3599.9999999999
  69    0.75102349365696E-02         -273.1500                        3600.9090909090
  70    0.75158410077797E-02         -273.1500                        3601.8181818181
  71    0.75244794683747E-02         -273.1500                        3602.7272727272
  72    0.75371179730001E-02         -273.1500                        3603.6363636363
  73    0.75545680817653E-02         -273.1500                        3604.5454545454
  74    0.75774116340605E-02         -273.1500                        3605.4545454544
  75    0.76058206649774E-02         -273.1500                        3606.3636363635
  76    0.76394587299660E-02         -273.1500                        3607.2727272726
  77    0.76770380748317E-02         -273.1500                        3608.1818181817
  78    0.77158591263005E-02         -273.1500                        3609.0909090908
  79    0.77580214326867E-02         -273.1500                        3609.9999999999
  80    0.78115523171483E-02         -273.1500                        3610.9090909090
  81    0.78657296614086E-02         -273.1500                        3611.8181818181
  82    0.78999755426901E-02         -273.1500                        3612.7272727272
  83    0.79219195582669E-02         -273.1500                        3613.6363636363
  84    0.79412274852904E-02         -273.1500                        3614.5454545453
