  LS    nlcreq                        Temp                       Time    
  1     0.34600833635997E-15         -273.1500                       -1301.7181818182
  2     0.35297292806236E-02         -273.1500                       -1172.2181818182
  3     0.62161093188183E-02         -273.1500                       -1001.8181818182
  4     0.70506142007433E-02         -273.1500                          -1.8181818182
  5     0.70506755481838E-02         -273.1500                          -0.9090909091
  6     0.70506955661672E-02         -273.1500                           0.0000000000
  7     0.70507166685485E-02         -273.1500                           0.9090909091
  8     0.70507740562881E-02         -273.1500                           1.8181818182
  9     0.70509668864105E-02         -273.1500                           2.7272727273
  10    0.70516093597477E-02         -273.1500                           3.6363636364
  11    0.70536798454752E-02         -273.1500                           4.5454545455
  12    0.70599510044893E-02         -273.1500                           5.4545454545
  13    0.70768523967183E-02         -273.1500                           6.3636363636
  14    0.71150265985516E-02         -273.1500                           7.2727272727
  15    0.71866262876894E-02         -273.1500                           8.1818181818
  16    0.72979193704118E-02         -273.1500                           9.0909090909
  17    0.74465282149147E-02         -273.1500                          10.0000000000
  18    0.76231119039444E-02         -273.1500                          10.9090909091
  19    0.78186112681441E-02         -273.1500                          11.8181818182
  20    0.80245723466236E-02         -273.1500                          12.7272727273
  21    0.82350312150976E-02         -273.1500                          13.6363636364
  22    0.84443929757318E-02         -273.1500                          14.5454545454
  23    0.86481260822692E-02         -273.1500                          15.4545454545
  24    0.88419622059073E-02         -273.1500                          16.3636363636
  25    0.93120654676052E-02         -273.1500                        1786.3636363636
  26    0.93120661943613E-02         -273.1500                        1787.3636363636
  27    0.93121033856116E-02         -273.1500                        1788.3636363636
  28    0.93129260552110E-02         -273.1500                        1789.3636363636
  29    0.93188545041657E-02         -273.1500                        1790.3636363636
  30    0.93402178611598E-02         -273.1500                        1791.3636363636
  31    0.93888318333597E-02         -273.1500                        1792.3636363636
  32    0.94704066500687E-02         -273.1500                        1793.3636363636
  33    0.95829330442952E-02         -273.1500                        1794.3636363636
  34    0.97191706870694E-02         -273.1500                        1795.3636363636
  35    0.98676475750840E-02         -273.1500                        1796.3636363636
  36    0.10024285280073E-01         -273.1500                        1797.3636363636
  37    0.10184998583241E-01         -273.1500                        1798.3636363636
  38    0.10346538075164E-01         -273.1500                        1799.3636363636
  39    0.10506930384744E-01         -273.1500                        1800.3636363636
  40    0.10664728478714E-01         -273.1500                        1801.3636363636
  41    0.10819028565205E-01         -273.1500                        1802.3636363636
  42    0.10968935831520E-01         -273.1500                        1803.3636363636
  43    0.11113961595977E-01         -273.1500                        1804.3636363636
  44    0.11251125276227E-01         -273.1500                        1805.3636363636
  45    0.11380422283467E-01         -273.1500                        1806.3636363636
  46    0.11502237528694E-01         -273.1500                        1807.3636363636
  47    0.11616772772773E-01         -273.1500                        1808.3636363636
  48    0.11724139193887E-01         -273.1500                        1809.3636363636
  49    0.11824280231519E-01         -273.1500                        1810.3636363636
  50    0.11917172071883E-01         -273.1500                        1811.3636363636
  51    0.12002849964385E-01         -273.1500                        1812.3636363636
  52    0.12081318234249E-01         -273.1500                        1813.3636363636
  53    0.12152585669216E-01         -273.1500                        1814.3636363636
  54    0.12216711342700E-01         -273.1500                        1815.3636363636
  55    0.12273806756263E-01         -273.1500                        1816.3636363636
  56    0.13891889765411E-01         -273.1500                        3586.3636363636
  57    0.13892041504516E-01         -273.1500                        3587.5454545454
  58    0.13892136438714E-01         -273.1500                        3588.7272727272
  59    0.13892189154416E-01         -273.1500                        3589.9090909091
  60    0.13892218086110E-01         -273.1500                        3591.0909090909
  61    0.13892241103422E-01         -273.1500                        3592.2727272727
  62    0.13892280969719E-01         -273.1500                        3593.4545454545
  63    0.13892389384976E-01         -273.1500                        3594.6363636363
  64    0.13892701129163E-01         -273.1500                        3595.8181818181
  65    0.13893552182144E-01         -273.1500                        3596.9999999999
  66    0.13895815849001E-01         -273.1500                        3598.1818181817
  67    0.13899567104559E-01         -273.1500                        3599.0909090908
  68    0.13907475820588E-01         -273.1500                        3599.9999999999
  69    0.13923500820201E-01         -273.1500                        3600.9090909090
  70    0.13953366303553E-01         -273.1500                        3601.8181818181
  71    0.14004506733773E-01         -273.1500                        3602.7272727272
  72    0.14083487066430E-01         -273.1500                        3603.6363636363
  73    0.14194320778041E-01         -273.1500                        3604.5454545454
  74    0.14336580946361E-01         -273.1500                        3605.4545454544
  75    0.14506149097677E-01         -273.1500                        3606.3636363635
  76    0.14694835089497E-01         -273.1500                        3607.2727272726
  77    0.14897413896528E-01         -273.1500                        3608.1818181817
  78    0.15109583880403E-01         -273.1500                        3609.0909090908
  79    0.15328750212922E-01         -273.1500                        3609.9999999999
  80    0.15551467644685E-01         -273.1500                        3610.9090909090
  81    0.15777379635555E-01         -273.1500                        3611.8181818181
  82    0.16004505107408E-01         -273.1500                        3612.7272727272
  83    0.16232340705555E-01         -273.1500                        3613.6363636363
  84    0.16460209129014E-01         -273.1500                        3614.5454545453
  85    0.16687482009358E-01         -273.1500                        3615.4545454544
  86    0.16914342325085E-01         -273.1500                        3616.3636363635
  87    0.17870833920691E-01         -273.1500                        5386.3636363635
  88    0.17870834722909E-01         -273.1500                        5387.3636363635
  89    0.17870852676506E-01         -273.1500                        5388.3636363635
  90    0.17871240966977E-01         -273.1500                        5389.3636363635
  91    0.17874353493681E-01         -273.1500                        5390.3636363635
  92    0.17886926855830E-01         -273.1500                        5391.3636363635
  93    0.17918925392546E-01         -273.1500                        5392.3636363635
  94    0.17978282272885E-01         -273.1500                        5393.3636363635
  95    0.18067196813354E-01         -273.1500                        5394.3636363635
  96    0.18181828048942E-01         -273.1500                        5395.3636363635
  97    0.18312879549691E-01         -273.1500                        5396.3636363635
  98    0.18455435710180E-01         -273.1500                        5397.3636363635
  99    0.18604833495737E-01         -273.1500                        5398.3636363635
  100   0.18757243404203E-01         -273.1500                        5399.3636363635
  101   0.18910181237528E-01         -273.1500                        5400.3636363635
  102   0.19061819115861E-01         -273.1500                        5401.3636363635
  103   0.19210965684759E-01         -273.1500                        5402.3636363635
  104   0.19356523498141E-01         -273.1500                        5403.3636363635
  105   0.19497846406428E-01         -273.1500                        5404.3636363635
  106   0.19631955811068E-01         -273.1500                        5405.3636363635
  107   0.19758712942165E-01         -273.1500                        5406.3636363635
  108   0.19878394551160E-01         -273.1500                        5407.3636363635
  109   0.19991125173922E-01         -273.1500                        5408.3636363635
  110   0.20096957407014E-01         -273.1500                        5409.3636363635
  111   0.20195793857282E-01         -273.1500                        5410.3636363635
  112   0.20287575210181E-01         -273.1500                        5411.3636363635
  113   0.20372307211029E-01         -273.1500                        5412.3636363635
  114   0.20449970798474E-01         -273.1500                        5413.3636363635
  115   0.20520555935397E-01         -273.1500                        5414.3636363635
  116   0.20584107036474E-01         -273.1500                        5415.3636363635
  117   0.20640720145486E-01         -273.1500                        5416.3636363635
  118   0.22244324960333E-01         -273.1500                        7186.3636363635
  119   0.22244474249675E-01         -273.1500                        7187.5454545453
  120   0.22244566691781E-01         -273.1500                        7188.7272727271
  121   0.22244616826629E-01         -273.1500                        7189.9090909090
  122   0.22244642552776E-01         -273.1500                        7191.0909090908
  123   0.22244660071408E-01         -273.1500                        7192.2727272726
  124   0.22244687127217E-01         -273.1500                        7193.4545454544
  125   0.22244761746236E-01         -273.1500                        7194.6363636362
  126   0.22244991346633E-01         -273.1500                        7195.8181818180
  127   0.22245674845755E-01         -273.1500                        7196.9999999998
  128   0.22247652412600E-01         -273.1500                        7198.1818181816
  129   0.22251110360548E-01         -273.1500                        7199.0909090907
  130   0.22258691012023E-01         -273.1500                        7199.9999999998
  131   0.22274436996331E-01         -273.1500                        7200.9090909089
  132   0.22304174360816E-01         -273.1500                        7201.8181818180
  133   0.22355401030269E-01         -273.1500                        7202.7272727271
  134   0.22434685231688E-01         -273.1500                        7203.6363636362
  135   0.22546017462952E-01         -273.1500                        7204.5454545453
  136   0.22688977019927E-01         -273.1500                        7205.4545454543
  137   0.22859482299468E-01         -273.1500                        7206.3636363634
  138   0.23049353091242E-01         -273.1500                        7207.2727272725
  139   0.23253298924336E-01         -273.1500                        7208.1818181816
  140   0.23467079056995E-01         -273.1500                        7209.0909090907
  141   0.23688148823720E-01         -273.1500                        7209.9999999998
  142   0.23913212386877E-01         -273.1500                        7210.9090909089
  143   0.24141966350033E-01         -273.1500                        7211.8181818180
  144   0.24372627274915E-01         -273.1500                        7212.7272727271
  145   0.24604856402788E-01         -273.1500                        7213.6363636362
  146   0.24838227709193E-01         -273.1500                        7214.5454545453
  147   0.25072514152465E-01         -273.1500                        7215.4545454543
  148   0.25308436603037E-01         -273.1500                        7216.3636363634
  149   0.26414440284526E-01         -273.1500                        8986.3636363634
  150   0.26414442018207E-01         -273.1500                        8987.3636363634
  151   0.26414464557261E-01         -273.1500                        8988.3636363634
  152   0.26414833437940E-01         -273.1500                        8989.3636363634
  153   0.26417593289990E-01         -273.1500                        8990.3636363634
  154   0.26428695722763E-01         -273.1500                        8991.3636363634
  155   0.26457491663743E-01         -273.1500                        8992.3636363634
  156   0.26512216736307E-01         -273.1500                        8993.3636363634
  157   0.26595961412592E-01         -273.1500                        8994.3636363634
  158   0.26705686934281E-01         -273.1500                        8995.3636363634
  159   0.26832630061012E-01         -273.1500                        8996.3636363634
  160   0.26971770594948E-01         -273.1500                        8997.3636363634
  161   0.27118345155220E-01         -273.1500                        8998.3636363634
  162   0.27268411480602E-01         -273.1500                        8999.3636363634
  163   0.27419381695108E-01         -273.1500                        9000.3636363634
  164   0.27569349951000E-01         -273.1500                        9001.3636363634
  165   0.27717065496457E-01         -273.1500                        9002.3636363634
  166   0.27861389155129E-01         -273.1500                        9003.3636363634
  167   0.28001641473071E-01         -273.1500                        9004.3636363634
  168   0.28134854981333E-01         -273.1500                        9005.3636363634
  169   0.28260861754257E-01         -273.1500                        9006.3636363634
  170   0.28379909790421E-01         -273.1500                        9007.3636363634
  171   0.28492102942391E-01         -273.1500                        9008.3636363634
  172   0.28597478031614E-01         -273.1500                        9009.3636363634
