 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
       50.0 -0.2399E-06  0.2629E-05 -0.2399E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44027066E-05 -0.10732570E-05 -0.44027066E-05
       50.0 -0.2399E-06  0.2629E-05 -0.2399E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44027066E-05 -0.10732570E-05 -0.44027066E-05
       51.0 -0.2396E-06  0.2628E-05 -0.2396E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44025781E-05 -0.10733515E-05 -0.44025781E-05
       52.0  0.2393E-06 -0.2627E-05  0.2393E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44024494E-05  0.10734462E-05  0.44024494E-05
       53.0 -0.2391E-06  0.2626E-05 -0.2391E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44023206E-05 -0.10735410E-05 -0.44023206E-05
       54.0  0.2388E-06 -0.2625E-05  0.2388E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44021917E-05  0.10736359E-05  0.44021917E-05
       55.0 -0.2385E-06  0.2624E-05 -0.2385E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44020626E-05 -0.10737310E-05 -0.44020626E-05
       56.0  0.2382E-06 -0.2623E-05  0.2382E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44019333E-05  0.10738262E-05  0.44019333E-05
       57.0 -0.2379E-06  0.2622E-05 -0.2379E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44018039E-05 -0.10739215E-05 -0.44018039E-05
       58.0  0.2376E-06 -0.2622E-05  0.2376E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44016744E-05  0.10740169E-05  0.44016744E-05
       59.0 -0.2373E-06  0.2621E-05 -0.2373E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44015447E-05 -0.10741125E-05 -0.44015447E-05
       60.0  0.2371E-06 -0.2620E-05  0.2371E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44014148E-05  0.10742082E-05  0.44014148E-05
       61.0 -0.2368E-06  0.2619E-05 -0.2368E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44012849E-05 -0.10743040E-05 -0.44012849E-05
       62.0  0.2365E-06 -0.2618E-05  0.2365E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44011547E-05  0.10744000E-05  0.44011547E-05
       63.0 -0.2362E-06  0.2617E-05 -0.2362E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44010244E-05 -0.10744961E-05 -0.44010244E-05
       64.0  0.2359E-06 -0.2616E-05  0.2359E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44008940E-05  0.10745923E-05  0.44008940E-05
       65.0 -0.2356E-06  0.2615E-05 -0.2356E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44007634E-05 -0.10746886E-05 -0.44007634E-05
       66.0  0.2353E-06 -0.2614E-05  0.2353E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44006327E-05  0.10747851E-05  0.44006327E-05
