 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0 -0.2206E-06  0.2537E-05 -0.2206E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44272277E-05 -0.10771048E-05 -0.44272277E-05
      -39.0  0.2203E-06 -0.2536E-05  0.2203E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44271084E-05  0.10771929E-05  0.44271084E-05
        0.0 -0.2098E-06  0.2504E-05 -0.2098E-06 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.44223561E-05 -0.10807171E-05 -0.44223561E-05
        1.0  0.2095E-06 -0.2503E-05  0.2095E-06  0.1415E-04  0.1415E-04  0.1415E-04  0.44222316E-05  0.10808098E-05  0.44222316E-05
       85.0 -0.2708E-06  0.3083E-05 -0.2708E-06 -0.1525E-04 -0.1525E-04 -0.1525E-04 -0.46867120E-05 -0.11269766E-05 -0.46867120E-05
       86.0  0.3929E-06 -0.4020E-05  0.3929E-06  0.1681E-04  0.1681E-04  0.1681E-04  0.50800257E-05  0.11813473E-05  0.50800257E-05
       90.0 -0.1490E-05  0.1245E-04 -0.1490E-05 -0.3090E-04 -0.3090E-04 -0.3090E-04 -0.86203071E-05 -0.16710444E-05 -0.86203071E-05
       91.0  0.1612E-05 -0.1338E-04  0.1612E-05  0.3246E-04  0.3246E-04  0.3246E-04  0.90139201E-05  0.17256658E-05  0.90139201E-05
       95.0 -0.2634E-05  0.2115E-04 -0.2634E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12284985E-04 -0.21774680E-05 -0.12284985E-04
       96.0  0.2632E-05 -0.2115E-04  0.2632E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12284216E-04  0.21781860E-05  0.12284216E-04
      180.0 -0.2460E-05  0.2056E-04 -0.2460E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12219226E-04 -0.22417490E-05 -0.12219226E-04
      181.0  0.2458E-05 -0.2055E-04  0.2458E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12218452E-04  0.22425358E-05  0.12218452E-04
