 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0  0.1224E-06  0.1146E-05  0.1224E-06 -0.1350E-04 -0.1350E-04 -0.1350E-04 -0.42429246E-05 -0.11442006E-05 -0.42429246E-05
      -39.0 -0.1226E-06 -0.1145E-05 -0.1226E-06  0.1350E-04  0.1350E-04  0.1350E-04  0.42428435E-05  0.11442691E-05  0.42428435E-05
        0.0  0.1303E-06  0.1120E-05  0.1303E-06 -0.1350E-04 -0.1350E-04 -0.1350E-04 -0.42396239E-05 -0.11469865E-05 -0.42396239E-05
        1.0 -0.1305E-06 -0.1120E-05 -0.1305E-06  0.1350E-04  0.1350E-04  0.1350E-04  0.42395399E-05  0.11470574E-05  0.42395399E-05
      130.0  0.1581E-06  0.1293E-05  0.1581E-06 -0.1435E-04 -0.1435E-04 -0.1435E-04 -0.44458521E-05 -0.12079535E-05 -0.44458521E-05
      131.0 -0.1582E-06 -0.1819E-05 -0.1582E-06  0.1605E-04  0.1605E-04  0.1605E-04  0.48812673E-05  0.13104554E-05  0.48812673E-05
      135.0  0.1598E-06  0.6546E-05  0.1598E-06 -0.3135E-04 -0.3135E-04 -0.3135E-04 -0.88054330E-05 -0.22319186E-05 -0.88054330E-05
      136.0 -0.1585E-06 -0.7073E-05 -0.1585E-06  0.3305E-04  0.3305E-04  0.3305E-04  0.92436791E-05  0.23339691E-05  0.92436791E-05
      140.0  0.1438E-06  0.1154E-04  0.1438E-06 -0.4750E-04 -0.4750E-04 -0.4750E-04 -0.12964930E-04 -0.32037967E-05 -0.12964930E-04
      141.0 -0.1456E-06 -0.1154E-04 -0.1456E-06  0.4750E-04  0.4750E-04  0.4750E-04  0.12964296E-04  0.32044836E-05  0.12964296E-04
      180.0  0.2289E-06  0.1126E-04  0.2289E-06 -0.4750E-04 -0.4750E-04 -0.4750E-04 -0.12933023E-04 -0.32340268E-05 -0.12933023E-04
      181.0 -0.2310E-06 -0.1125E-04 -0.2310E-06  0.4750E-04  0.4750E-04  0.4750E-04  0.12932196E-04  0.32348160E-05  0.12932196E-04
