 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0  0.1088E-06  0.3830E-07  0.1088E-06 -0.1000E-04 -0.1000E-04 -0.1000E-04 -0.33571118E-05 -0.93909650E-06 -0.33571118E-05
      -39.0 -0.1088E-06 -0.3823E-07 -0.1088E-06  0.1000E-04  0.1000E-04  0.1000E-04  0.33570913E-05  0.93910433E-06  0.33570913E-05
        0.0  0.1100E-06  0.3548E-07  0.1100E-06 -0.1000E-04 -0.1000E-04 -0.1000E-04 -0.33562791E-05 -0.93941039E-06 -0.33562791E-05
        1.0 -0.1100E-06 -0.3541E-07 -0.1100E-06  0.1000E-04  0.1000E-04  0.1000E-04  0.33562580E-05  0.93941826E-06  0.33562580E-05
      151.0  0.1268E-06  0.1759E-06  0.1268E-06 -0.1069E-04 -0.1069E-04 -0.1069E-04 -0.35274511E-05 -0.98912186E-06 -0.35274511E-05
      152.0 -0.1515E-06 -0.4776E-06 -0.1515E-06  0.1206E-04  0.1206E-04  0.1206E-04  0.38765324E-05  0.10861949E-05  0.38765324E-05
      156.0  0.3733E-06  0.3193E-05  0.3733E-06 -0.2444E-04 -0.2444E-04 -0.2444E-04 -0.70206213E-05 -0.19594163E-05 -0.70206213E-05
      157.0 -0.3967E-06 -0.3498E-05 -0.3967E-06  0.2581E-04  0.2581E-04  0.2581E-04  0.73715905E-05  0.20559465E-05  0.73715905E-05
      161.0  0.5784E-06  0.6117E-05  0.5784E-06 -0.3750E-04 -0.3750E-04 -0.3750E-04 -0.10360211E-04 -0.28745259E-05 -0.10360211E-04
      162.0 -0.5795E-06 -0.6113E-05 -0.5795E-06  0.3750E-04  0.3750E-04  0.3750E-04  0.10359807E-04  0.28749254E-05  0.10359807E-04
      180.0  0.6002E-06  0.6045E-05  0.6002E-06 -0.3750E-04 -0.3750E-04 -0.3750E-04 -0.10352820E-04 -0.28820989E-05 -0.10352820E-04
      181.0 -0.6013E-06 -0.6041E-05 -0.6013E-06  0.3750E-04  0.3750E-04  0.3750E-04  0.10352430E-04  0.28825000E-05  0.10352430E-04
