 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.1775E-04  0.1763E-03 -0.4797E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.87751568E-04  0.18016995E-04 -0.22412107E-03
 0.1000E-13  0.3927E-05  0.1832E-03 -0.4780E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.95465377E-04  0.18801955E-04 -0.23561738E-03
 0.1000E-12 -0.1171E-04  0.1894E-03 -0.4733E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10321546E-03  0.19520761E-04 -0.24682264E-03
 0.1000E-11 -0.3089E-04  0.1957E-03 -0.4653E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11191438E-03  0.20259466E-04 -0.25906167E-03
 0.1000E-10 -0.5703E-04  0.2028E-03 -0.4516E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12282792E-03  0.21096089E-04 -0.27397365E-03
 0.1000E-09 -0.9412E-04  0.2107E-03 -0.4286E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13710145E-03  0.22064091E-04 -0.29286022E-03
 0.1000E-08 -0.1614E-03  0.2216E-03 -0.3807E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16079504E-03  0.23421385E-04 -0.32299974E-03
 0.1000E-07 -0.2883E-03  0.2351E-03 -0.2783E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20112776E-03  0.25201454E-04 -0.37173714E-03
 0.1000E-06 -0.5486E-03  0.2508E-03 -0.4701E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.27569831E-03  0.27430783E-04 -0.45672480E-03
 0.1000E-05 -0.1176E-02  0.2672E-03  0.5493E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.43973913E-03  0.30092514E-04 -0.63286712E-03
 0.1000E-04 -0.2578E-02  0.2783E-03  0.1928E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.78418707E-03  0.32314216E-04 -0.98625034E-03
 0.1000E-03 -0.5384E-02  0.2857E-03  0.4722E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.14570640E-02  0.33750395E-04 -0.16609464E-02
 0.1000E-02 -0.1067E-01  0.2978E-03  0.9993E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.27165768E-02  0.34654688E-04 -0.29085732E-02
 0.1000E-01 -0.1702E-01  0.3260E-03  0.1632E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.42340783E-02  0.35697735E-04 -0.43990438E-02
 0.1000E+00 -0.2027E-01  0.3757E-03  0.1952E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50217834E-02  0.40722707E-04 -0.51835274E-02
 0.1000E+01 -0.2224E-01  0.5106E-03  0.2136E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.55171508E-02  0.59977643E-04 -0.57324841E-02
 0.1000E+02 -0.2265E-01  0.8044E-03  0.2148E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.56574258E-02  0.10841978E-03 -0.60415819E-02
 0.1000E+03 -0.2204E-01  0.1412E-02  0.2026E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.55957815E-02  0.21440663E-03 -0.63623293E-02
 0.1000E+04 -0.2093E-01  0.2572E-02  0.1800E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.54666099E-02  0.41980075E-03 -0.69742627E-02
 0.1000E+05 -0.1966E-01  0.3996E-02  0.1531E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.52810325E-02  0.67792872E-03 -0.77178393E-02
 0.1000E+06 -0.1856E-01  0.5278E-02  0.1294E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50856559E-02  0.91780733E-03 -0.83833419E-02
 0.1000E+07 -0.1772E-01  0.6259E-02  0.1113E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.49149358E-02  0.11075773E-02 -0.88919039E-02
 0.1000E+08 -0.1712E-01  0.6952E-02  0.9837E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.47820645E-02  0.12454926E-02 -0.92517237E-02
 0.1000E+09 -0.1669E-01  0.7417E-02  0.8944E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.46876431E-02  0.13400806E-02 -0.94946961E-02
 0.1000E+10 -0.1635E-01  0.7725E-02  0.8303E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.46247489E-02  0.14041063E-02 -0.96598431E-02
 0.1000E+11 -0.1606E-01  0.7917E-02  0.7820E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.45908767E-02  0.14448532E-02 -0.97707284E-02
 0.1000E+12 -0.1600E-01  0.7951E-02  0.7733E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.45852885E-02  0.14519584E-02 -0.97903286E-02
 0.1000E+13 -0.1593E-01  0.7994E-02  0.7613E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.45785880E-02  0.14612192E-02 -0.98164628E-02
 0.1000E+14 -0.1543E-01  0.8124E-02  0.6990E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.45773031E-02  0.14903860E-02 -0.99178205E-02
 0.1000E+15 -0.1543E-01  0.8126E-02  0.6983E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.45773588E-02  0.14907439E-02 -0.99191167E-02
 0.1000E+16 -0.1534E-01  0.8142E-02  0.6885E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.45789395E-02  0.14942045E-02 -0.99328044E-02
