 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.3468E-04  0.1550E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74790100E-04  0.15852278E-04 -0.20706318E-03
 0.1000E-13  0.3468E-04  0.1550E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74791625E-04  0.15853465E-04 -0.20705939E-03
 0.1000E-12  0.3468E-04  0.1550E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74792007E-04  0.15853645E-04 -0.20706043E-03
 0.1000E-11  0.3468E-04  0.1550E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74792143E-04  0.15853696E-04 -0.20706076E-03
 0.1000E-10  0.3468E-04  0.1550E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74792357E-04  0.15853730E-04 -0.20706112E-03
 0.1000E-09  0.3468E-04  0.1551E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74794112E-04  0.15853920E-04 -0.20706388E-03
 0.1000E-08  0.3466E-04  0.1551E-03 -0.4851E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74811426E-04  0.15855758E-04 -0.20709093E-03
 0.1000E-07  0.3446E-04  0.1552E-03 -0.4852E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74978584E-04  0.15873497E-04 -0.20735203E-03
 0.1000E-06  0.3283E-04  0.1564E-03 -0.4860E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.76321052E-04  0.16015269E-04 -0.20944478E-03
 0.1000E-05  0.2948E-04  0.1598E-03 -0.4887E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.79560495E-04  0.16390747E-04 -0.21457165E-03
 0.1000E-04  0.2665E-04  0.1620E-03 -0.4899E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81884775E-04  0.16641605E-04 -0.21817008E-03
 0.1000E-03  0.2366E-04  0.1641E-03 -0.4909E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84240268E-04  0.16889707E-04 -0.22178466E-03
 0.1000E-02  0.1995E-04  0.1666E-03 -0.4918E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.87018034E-04  0.17173983E-04 -0.22600305E-03
 0.1000E-01  0.1557E-04  0.1692E-03 -0.4923E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.90118676E-04  0.17480910E-04 -0.23065660E-03
 0.1000E+00  0.1003E-04  0.1723E-03 -0.4923E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.93836526E-04  0.17835031E-04 -0.23616365E-03
 0.1000E+01  0.3225E-05  0.1756E-03 -0.4917E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.98138460E-04  0.18227062E-04 -0.24244226E-03
 0.1000E+02 -0.4706E-05  0.1791E-03 -0.4902E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10290388E-03  0.18645671E-04 -0.24930254E-03
 0.1000E+03 -0.1279E-04  0.1832E-03 -0.4889E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10788396E-03  0.19127389E-04 -0.25655467E-03
 0.1000E+04 -0.1747E-04  0.1928E-03 -0.4956E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11405291E-03  0.20253846E-04 -0.26706981E-03
 0.1000E+05 -0.5279E-05  0.2229E-03 -0.5357E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12360081E-03  0.23790224E-04 -0.28871531E-03
 0.1000E+06  0.2554E-04  0.2755E-03 -0.6124E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13574513E-03  0.30137209E-04 -0.32208725E-03
 0.1000E+07  0.6237E-04  0.3339E-03 -0.6999E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14742076E-03  0.37465146E-04 -0.35829455E-03
 0.1000E+08  0.9553E-04  0.3874E-03 -0.7799E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15782930E-03  0.44431590E-04 -0.39221622E-03
 0.1000E+09  0.1195E-03  0.4350E-03 -0.8470E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.16849258E-03  0.50867714E-04 -0.42503350E-03
 0.1000E+10  0.1356E-03  0.4765E-03 -0.9021E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17896996E-03  0.56670370E-04 -0.45581248E-03
 0.1000E+11  0.1429E-03  0.5152E-03 -0.9471E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19026690E-03  0.62224995E-04 -0.48689394E-03
 0.1000E+12  0.1412E-03  0.5536E-03 -0.9840E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20284666E-03  0.67849913E-04 -0.51980021E-03
 0.1000E+13  0.1265E-03  0.5969E-03 -0.1014E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.21894987E-03  0.74361006E-04 -0.55974648E-03
 0.1000E+14  0.9829E-04  0.6469E-03 -0.1038E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.23898682E-03  0.82052884E-04 -0.60811499E-03
 0.1000E+15  0.4772E-04  0.7101E-03 -0.1055E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26616874E-03  0.92008418E-04 -0.67207818E-03
 0.1000E+16 -0.3944E-04  0.7948E-03 -0.1057E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.30486142E-03  0.10569819E-03 -0.76135022E-03
