 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.5906E-04  0.1076E-03 -0.2957E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19806687E-04  0.97742690E-05 -0.55589721E-04
 0.1000E-13  0.5862E-04  0.1082E-03 -0.2963E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19995454E-04  0.98378368E-05 -0.55924374E-04
 0.1000E-12  0.5713E-04  0.1105E-03 -0.2983E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20633842E-04  0.10048223E-04 -0.57054237E-04
 0.1000E-11  0.5601E-04  0.1122E-03 -0.2998E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.21116619E-04  0.10209305E-04 -0.57907520E-04
 0.1000E-10  0.5481E-04  0.1139E-03 -0.3011E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.21587054E-04  0.10364080E-04 -0.58733660E-04
 0.1000E-09  0.5327E-04  0.1158E-03 -0.3024E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22124730E-04  0.10535740E-04 -0.59666770E-04
 0.1000E-08  0.5142E-04  0.1179E-03 -0.3036E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22718250E-04  0.10720559E-04 -0.60685908E-04
 0.1000E-07  0.4896E-04  0.1202E-03 -0.3047E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.23435807E-04  0.10936179E-04 -0.61900651E-04
 0.1000E-06  0.4618E-04  0.1235E-03 -0.3065E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.24257426E-04  0.11206694E-04 -0.63329322E-04
 0.1000E-05  0.4210E-04  0.1260E-03 -0.3064E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.25188472E-04  0.11446399E-04 -0.64822742E-04
 0.1000E-04  0.3816E-04  0.1293E-03 -0.3072E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.26126614E-04  0.11728174E-04 -0.66394811E-04
 0.1000E-03  0.3293E-04  0.1318E-03 -0.3059E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.27154771E-04  0.11967990E-04 -0.67985898E-04
 0.1000E-02  0.2576E-04  0.1363E-03 -0.3051E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.28573171E-04  0.12346541E-04 -0.70259931E-04
 0.1000E-01  0.1584E-04  0.1408E-03 -0.3018E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30295242E-04  0.12742461E-04 -0.72889758E-04
 0.1000E+00  0.4511E-05  0.1450E-03 -0.2968E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32088775E-04  0.13120883E-04 -0.75550996E-04
 0.1000E+01 -0.6247E-05  0.1485E-03 -0.2912E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.33672036E-04  0.13429962E-04 -0.77842737E-04
 0.1000E+02 -0.1904E-04  0.1522E-03 -0.2839E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.35455838E-04  0.13754800E-04 -0.80371352E-04
 0.1000E+03 -0.3336E-04  0.1558E-03 -0.2749E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.37344146E-04  0.14073248E-04 -0.82989256E-04
 0.1000E+04 -0.5080E-04  0.1598E-03 -0.2633E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.39560331E-04  0.14425480E-04 -0.86007708E-04
 0.1000E+05 -0.6784E-04  0.1643E-03 -0.2522E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.41974984E-04  0.14872725E-04 -0.89390868E-04
 0.1000E+06 -0.7636E-04  0.1755E-03 -0.2552E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.46306104E-04  0.16369998E-04 -0.96664838E-04
 0.1000E+07 -0.2565E-04  0.2045E-03 -0.3286E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.54567519E-04  0.21369021E-04 -0.11435881E-03
 0.1000E+08  0.8357E-04  0.2572E-03 -0.4787E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.67631171E-04  0.30813545E-04 -0.14524100E-03
 0.1000E+09  0.2124E-03  0.3295E-03 -0.6681E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84053104E-04  0.43394314E-04 -0.18558577E-03
 0.1000E+10  0.3352E-03  0.4261E-03 -0.8783E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10549494E-03  0.59769967E-04 -0.23846206E-03
 0.1000E+11  0.4480E-03  0.5645E-03 -0.1122E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.13578655E-03  0.83304609E-04 -0.31418534E-03
 0.1000E+12  0.5521E-03  0.7942E-03 -0.1449E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.18564690E-03  0.12298755E-03 -0.44076776E-03
 0.1000E+13  0.6640E-03  0.1139E-02 -0.1899E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.25920049E-03  0.18383364E-03 -0.63172370E-03
 0.1000E+14  0.8083E-03  0.1628E-02 -0.2525E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.36388220E-03  0.27201654E-03 -0.90600939E-03
 0.1000E+15  0.1009E-02  0.2109E-02 -0.3201E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.46090552E-03  0.35832810E-03 -0.11684055E-02
 0.1000E+16  0.1221E-02  0.2526E-02 -0.3827E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.54235587E-03  0.43277360E-03 -0.13920287E-02
