 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.6734E-04  0.1260E-03 -0.3264E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.24586145E-04  0.11802269E-04 -0.65053677E-04
 0.1000E-13  0.6433E-04  0.1295E-03 -0.3285E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.25651515E-04  0.12141926E-04 -0.66872196E-04
 0.1000E-12  0.6073E-04  0.1322E-03 -0.3289E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.26614454E-04  0.12416367E-04 -0.68453160E-04
 0.1000E-11  0.5742E-04  0.1356E-03 -0.3304E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.27616499E-04  0.12731067E-04 -0.70147123E-04
 0.1000E-10  0.5258E-04  0.1391E-03 -0.3306E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.28794596E-04  0.13064978E-04 -0.72067026E-04
 0.1000E-09  0.4550E-04  0.1434E-03 -0.3297E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.30339592E-04  0.13479242E-04 -0.74532391E-04
 0.1000E-08  0.3615E-04  0.1480E-03 -0.3272E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.32152757E-04  0.13932403E-04 -0.77352022E-04
 0.1000E-07  0.2606E-04  0.1522E-03 -0.3232E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.33910635E-04  0.14339204E-04 -0.80013067E-04
 0.1000E-06  0.1579E-04  0.1559E-03 -0.3183E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.35569572E-04  0.14698388E-04 -0.82469333E-04
 0.1000E-05  0.3592E-05  0.1597E-03 -0.3117E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.37410532E-04  0.15069914E-04 -0.85135077E-04
 0.1000E-04 -0.1071E-04  0.1636E-03 -0.3031E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.39433594E-04  0.15448887E-04 -0.87999336E-04
 0.1000E-03 -0.2756E-04  0.1675E-03 -0.2920E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.41670489E-04  0.15833922E-04 -0.91090712E-04
 0.1000E-02 -0.4836E-04  0.1717E-03 -0.2773E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.44286481E-04  0.16248193E-04 -0.94625595E-04
 0.1000E-01 -0.7825E-04  0.1768E-03 -0.2549E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.47847056E-04  0.16760588E-04 -0.99318565E-04
 0.1000E+00 -0.1157E-03  0.1831E-03 -0.2261E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.52387424E-04  0.17439590E-04 -0.10531449E-03
 0.1000E+01 -0.1503E-03  0.1960E-03 -0.2055E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.59615799E-04  0.19344375E-04 -0.11630265E-03
 0.1000E+02 -0.1278E-03  0.2310E-03 -0.2578E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73502628E-04  0.26070838E-04 -0.14299116E-03
 0.1000E+03 -0.4159E-04  0.3022E-03 -0.4047E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.97487251E-04  0.40475043E-04 -0.19440024E-03
 0.1000E+04  0.5915E-04  0.4215E-03 -0.6138E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13513881E-03  0.64340236E-04 -0.27780358E-03
 0.1000E+05  0.1388E-03  0.6260E-03 -0.8874E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.19542297E-03  0.10461228E-03 -0.41565104E-03
 0.1000E+06  0.2148E-03  0.9587E-03 -0.1285E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.28062410E-03  0.16826864E-03 -0.62345238E-03
 0.1000E+07  0.3365E-03  0.1437E-02 -0.1875E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.38971060E-03  0.25821603E-03 -0.90536356E-03
 0.1000E+08  0.5852E-03  0.1924E-02 -0.2602E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.48141503E-03  0.34555169E-03 -0.11643396E-02
 0.1000E+09  0.8746E-03  0.2352E-02 -0.3313E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.55219052E-03  0.41902757E-03 -0.13754629E-02
 0.1000E+10  0.1118E-02  0.2624E-02 -0.3825E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.59173458E-03  0.46480787E-03 -0.15022930E-02
 0.1000E+11  0.1317E-02  0.2857E-02 -0.4254E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.62541570E-03  0.50222664E-03 -0.16072044E-02
 0.1000E+12  0.1485E-02  0.3021E-02 -0.4583E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.64212298E-03  0.52456878E-03 -0.16664200E-02
 0.1000E+13  0.1483E-02  0.3099E-02 -0.4660E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.66374071E-03  0.53964069E-03 -0.17166056E-02
 0.1000E+14  0.1695E-02  0.3328E-02 -0.5098E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.69598254E-03  0.57565051E-03 -0.18172278E-02
 0.1000E+15  0.1656E-02  0.3331E-02 -0.5063E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.70014366E-03  0.57642448E-03 -0.18228204E-02
 0.1000E+16  0.1785E-02  0.3393E-02 -0.5253E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.70276235E-03  0.58551073E-03 -0.18427283E-02
