 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.9799E-04  0.1993E-03 -0.5679E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.88978270E-04  0.21384643E-04 -0.23877429E-03
 0.1000E-13  0.9651E-04  0.2081E-03 -0.5782E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.94730628E-04  0.22461944E-04 -0.24890904E-03
 0.1000E-12  0.9415E-04  0.2168E-03 -0.5874E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10068326E-03  0.23538458E-04 -0.25923557E-03
 0.1000E-11  0.9010E-04  0.2273E-03 -0.5973E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10826820E-03  0.24855804E-04 -0.27216288E-03
 0.1000E-10  0.8409E-04  0.2385E-03 -0.6061E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11696489E-03  0.26293913E-04 -0.28668236E-03
 0.1000E-09  0.7545E-04  0.2506E-03 -0.6137E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12719055E-03  0.27897588E-04 -0.30339377E-03
 0.1000E-08  0.6258E-04  0.2645E-03 -0.6192E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13990635E-03  0.29768210E-04 -0.32366778E-03
 0.1000E-07  0.4154E-04  0.2817E-03 -0.6210E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15756018E-03  0.32173071E-04 -0.35103075E-03
 0.1000E-06 -0.2954E-06  0.3062E-03 -0.6117E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.18703212E-03  0.35751323E-04 -0.39493791E-03
 0.1000E-05 -0.8703E-04  0.3390E-03 -0.5687E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.23801333E-03  0.40913603E-04 -0.46672697E-03
 0.1000E-04 -0.2846E-03  0.3817E-03 -0.4282E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.33663248E-03  0.48421102E-04 -0.59555557E-03
 0.1000E-03 -0.8006E-03  0.4324E-03  0.1959E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.56307154E-03  0.59062422E-04 -0.86452413E-03
 0.1000E-02 -0.1981E-02  0.4792E-03  0.1139E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.10456093E-02  0.70593486E-04 -0.13911080E-02
 0.1000E-01 -0.4333E-02  0.5757E-03  0.3388E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.19677128E-02  0.89697834E-04 -0.23766010E-02
 0.1000E+00 -0.8725E-02  0.9182E-03  0.7438E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.36055184E-02  0.14885880E-03 -0.42007873E-02
 0.1000E+01 -0.1306E-01  0.1612E-02  0.1109E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50629152E-02  0.27177739E-03 -0.60605036E-02
 0.1000E+02 -0.1522E-01  0.2550E-02  0.1231E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.55109555E-02  0.44917520E-03 -0.71267355E-02
 0.1000E+03 -0.1695E-01  0.3587E-02  0.1301E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.57297861E-02  0.65186559E-03 -0.80582357E-02
 0.1000E+04 -0.1734E-01  0.4387E-02  0.1261E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.55257319E-02  0.81462838E-03 -0.84384712E-02
 0.1000E+05 -0.1743E-01  0.4943E-02  0.1214E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.53267537E-02  0.92922448E-03 -0.86520259E-02
 0.1000E+06 -0.1745E-01  0.5310E-02  0.1180E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.51966143E-02  0.10058087E-02 -0.87971347E-02
 0.1000E+07 -0.1743E-01  0.5574E-02  0.1152E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.51062785E-02  0.10612643E-02 -0.89058081E-02
 0.1000E+08 -0.1737E-01  0.5754E-02  0.1128E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50484048E-02  0.10993396E-02 -0.89843584E-02
 0.1000E+09 -0.1728E-01  0.5869E-02  0.1108E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50156563E-02  0.11237183E-02 -0.90387776E-02
 0.1000E+10 -0.1725E-01  0.5895E-02  0.1102E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50090546E-02  0.11293099E-02 -0.90521257E-02
 0.1000E+11 -0.1720E-01  0.5927E-02  0.1094E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50023433E-02  0.11360000E-02 -0.90692376E-02
 0.1000E+12 -0.1713E-01  0.5952E-02  0.1085E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.49990720E-02  0.11414999E-02 -0.90854828E-02
 0.1000E+13 -0.1706E-01  0.5968E-02  0.1076E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50000408E-02  0.11449789E-02 -0.90986904E-02
 0.1000E+14 -0.1705E-01  0.5968E-02  0.1075E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50002047E-02  0.11451344E-02 -0.90993984E-02
 0.1000E+15 -0.1705E-01  0.5969E-02  0.1075E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50003447E-02  0.11451930E-02 -0.90997393E-02
 0.1000E+16 -0.1705E-01  0.5969E-02  0.1075E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.50004957E-02  0.11452194E-02 -0.90999781E-02
