  LS    nlcreq                        Temp                       Time    
  1     0.17796346251176E-15         -273.1500                       -1301.7181818182
  2     0.70005845824251E-03         -273.1500                       -1172.2181818182
  3     0.23264552756236E-02         -273.1500                       -1001.8181818182
  4     0.32567895830058E-02         -273.1500                          -1.8181818182
  5     0.32569676948470E-02         -273.1500                          -0.9090909091
  6     0.32570751668351E-02         -273.1500                           0.0000000000
  7     0.32571522710856E-02         -273.1500                           0.9090909091
  8     0.32572321590096E-02         -273.1500                           1.8181818182
  9     0.32573581770961E-02         -273.1500                           2.7272727273
  10    0.32576112684177E-02         -273.1500                           3.6363636364
  11    0.32581535487576E-02         -273.1500                           4.5454545455
  12    0.32592835539088E-02         -273.1500                           5.4545454545
  13    0.32615034048198E-02         -273.1500                           6.3636363636
  14    0.32655694285398E-02         -273.1500                           7.2727272727
  15    0.32725445879332E-02         -273.1500                           8.1818181818
  16    0.32837746829163E-02         -273.1500                           9.0909090909
  17    0.33007774592011E-02         -273.1500                          10.0000000000
  18    0.33247251691066E-02         -273.1500                          10.9090909091
  19    0.33565746539636E-02         -273.1500                          11.8181818182
  20    0.33961185352275E-02         -273.1500                          12.7272727273
  21    0.34422650649841E-02         -273.1500                          13.6363636364
  22    0.34927764756121E-02         -273.1500                          14.5454545454
  23    0.35443784720784E-02         -273.1500                          15.4545454545
  24    0.35934917175905E-02         -273.1500                          16.3636363636
  25    0.38467486327973E-02         -273.1500                        1786.3636363636
  26    0.38467563776429E-02         -273.1500                        1787.3636363636
  27    0.38467704188975E-02         -273.1500                        1788.3636363636
  28    0.38468428896629E-02         -273.1500                        1789.3636363636
  29    0.38472419098669E-02         -273.1500                        1790.3636363636
  30    0.38487912127795E-02         -273.1500                        1791.3636363636
  31    0.38530984368151E-02         -273.1500                        1792.3636363636
  32    0.38623045563341E-02         -273.1500                        1793.3636363636
  33    0.38783883096155E-02         -273.1500                        1794.3636363636
  34    0.39025318368425E-02         -273.1500                        1795.3636363636
  35    0.39347839409537E-02         -273.1500                        1796.3636363636
  36    0.39746219186177E-02         -273.1500                        1797.3636363636
  37    0.40211032045661E-02         -273.1500                        1798.3636363636
  38    0.40730131132994E-02         -273.1500                        1799.3636363636
  39    0.41290466225490E-02         -273.1500                        1800.3636363636
  40    0.41879565243351E-02         -273.1500                        1801.3636363636
  41    0.42485503458689E-02         -273.1500                        1802.3636363636
  42    0.43097376627481E-02         -273.1500                        1803.3636363636
  43    0.43705590217734E-02         -273.1500                        1804.3636363636
  44    0.44294603824501E-02         -273.1500                        1805.3636363636
  45    0.44857014601615E-02         -273.1500                        1806.3636363636
  46    0.45388412145183E-02         -273.1500                        1807.3636363636
  47    0.45885343084505E-02         -273.1500                        1808.3636363636
  48    0.46345220042177E-02         -273.1500                        1809.3636363636
  49    0.46766212296916E-02         -273.1500                        1810.3636363636
  50    0.47147216871506E-02         -273.1500                        1811.3636363636
  51    0.47487938671065E-02         -273.1500                        1812.3636363636
  52    0.47788716664331E-02         -273.1500                        1813.3636363636
  53    0.48050525328562E-02         -273.1500                        1814.3636363636
  54    0.48274962785733E-02         -273.1500                        1815.3636363636
  55    0.48464187993780E-02         -273.1500                        1816.3636363636
  56    0.61903618856677E-02         -273.1500                        3586.3636363636
  57    0.61906275322051E-02         -273.1500                        3587.5454545454
  58    0.61908969265191E-02         -273.1500                        3588.7272727272
  59    0.61911651458718E-02         -273.1500                        3589.9090909091
  60    0.61914333513720E-02         -273.1500                        3591.0909090909
  61    0.61917072481842E-02         -273.1500                        3592.2727272727
  62    0.61919949209160E-02         -273.1500                        3593.4545454545
  63    0.61923097603392E-02         -273.1500                        3594.6363636363
  64    0.61926714225302E-02         -273.1500                        3595.8181818181
  65    0.61931149112418E-02         -273.1500                        3596.9999999999
  66    0.61937181305175E-02         -273.1500                        3598.1818181817
  67    0.61943636809103E-02         -273.1500                        3599.0909090908
  68    0.61953435153733E-02         -273.1500                        3599.9999999999
  69    0.61969158931258E-02         -273.1500                        3600.9090909090
  70    0.61994413438607E-02         -273.1500                        3601.8181818181
  71    0.62034175095739E-02         -273.1500                        3602.7272727272
  72    0.62094440248418E-02         -273.1500                        3603.6363636363
  73    0.62182905574822E-02         -273.1500                        3604.5454545454
  74    0.62309775280384E-02         -273.1500                        3605.4545454544
  75    0.62485337630912E-02         -273.1500                        3606.3636363635
  76    0.62721010130874E-02         -273.1500                        3607.2727272726
  77    0.63027884071671E-02         -273.1500                        3608.1818181817
  78    0.63416188790130E-02         -273.1500                        3609.0909090908
  79    0.63892969503582E-02         -273.1500                        3609.9999999999
  80    0.64455290085719E-02         -273.1500                        3610.9090909090
  81    0.65103421857168E-02         -273.1500                        3611.8181818181
  82    0.65824674382090E-02         -273.1500                        3612.7272727272
  83    0.66605282591208E-02         -273.1500                        3613.6363636363
  84    0.67427997547958E-02         -273.1500                        3614.5454545453
  85    0.68271293479479E-02         -273.1500                        3615.4545454544
  86    0.69113472167892E-02         -273.1500                        3616.3636363635
  87    0.75355612198624E-02         -273.1500                        5386.3636363635
  88    0.75355675989102E-02         -273.1500                        5387.3636363635
  89    0.75355745569938E-02         -273.1500                        5388.3636363635
  90    0.75356136327774E-02         -273.1500                        5389.3636363635
  91    0.75358391861338E-02         -273.1500                        5390.3636363635
  92    0.75367543196462E-02         -273.1500                        5391.3636363635
  93    0.75394124088898E-02         -273.1500                        5392.3636363635
  94    0.75453303555864E-02         -273.1500                        5393.3636363635
  95    0.75561197347760E-02         -273.1500                        5394.3636363635
  96    0.75729580972628E-02         -273.1500                        5395.3636363635
  97    0.75962791636026E-02         -273.1500                        5396.3636363635
  98    0.76260362071931E-02         -273.1500                        5397.3636363635
  99    0.76617729586506E-02         -273.1500                        5398.3636363635
  100   0.77027214091425E-02         -273.1500                        5399.3636363635
  101   0.77479415575680E-02         -273.1500                        5400.3636363635
  102   0.77964568130084E-02         -273.1500                        5401.3636363635
  103   0.78472617324600E-02         -273.1500                        5402.3636363635
  104   0.78993836400441E-02         -273.1500                        5403.3636363635
  105   0.79519213847657E-02         -273.1500                        5404.3636363635
  106   0.80034863047646E-02         -273.1500                        5405.3636363635
  107   0.80533122386257E-02         -273.1500                        5406.3636363635
  108   0.81008857481865E-02         -273.1500                        5407.3636363635
  109   0.81457876604471E-02         -273.1500                        5408.3636363635
  110   0.81876853589610E-02         -273.1500                        5409.3636363635
  111   0.82263208596668E-02         -273.1500                        5410.3636363635
  112   0.82615172889094E-02         -273.1500                        5411.3636363635
  113   0.82931801234472E-02         -273.1500                        5412.3636363635
  114   0.83212821815746E-02         -273.1500                        5413.3636363635
  115   0.83458639794659E-02         -273.1500                        5414.3636363635
  116   0.83670299766952E-02         -273.1500                        5415.3636363635
  117   0.83849464496009E-02         -273.1500                        5416.3636363635
  118   0.96537794539739E-02         -273.1500                        7186.3636363635
  119   0.96540302422216E-02         -273.1500                        7187.5454545453
  120   0.96542817269831E-02         -273.1500                        7188.7272727271
  121   0.96545287456655E-02         -273.1500                        7189.9090909090
  122   0.96547715957232E-02         -273.1500                        7191.0909090908
  123   0.96550142088248E-02         -273.1500                        7192.2727272726
  124   0.96552620915152E-02         -273.1500                        7193.4545454544
  125   0.96555244096100E-02         -273.1500                        7194.6363636362
  126   0.96558143399013E-02         -273.1500                        7195.8181818180
  127   0.96561543598323E-02         -273.1500                        7196.9999999998
  128   0.96565948989247E-02         -273.1500                        7198.1818181816
  129   0.96570546560195E-02         -273.1500                        7199.0909090907
  130   0.96577558200253E-02         -273.1500                        7199.9999999998
  131   0.96589285882492E-02         -273.1500                        7200.9090909089
  132   0.96609389101476E-02         -273.1500                        7201.8181818180
  133   0.96643270890570E-02         -273.1500                        7202.7272727271
  134   0.96697765212612E-02         -273.1500                        7203.6363636362
  135   0.96781471989805E-02         -273.1500                        7204.5454545453
  136   0.96905602984767E-02         -273.1500                        7205.4545454543
  137   0.97081629786071E-02         -273.1500                        7206.3636363634
  138   0.97322163949106E-02         -273.1500                        7207.2727272725
  139   0.97639252792778E-02         -273.1500                        7208.1818181816
  140   0.98043937055723E-02         -273.1500                        7209.0909090907
  141   0.98543881402345E-02         -273.1500                        7209.9999999998
  142   0.99137056929123E-02         -273.1500                        7210.9090909089
  143   0.99824400331173E-02         -273.1500                        7211.8181818180
  144   0.10059442881310E-01         -273.1500                        7212.7272727271
  145   0.10143464916597E-01         -273.1500                        7213.6363636362
  146   0.10232966248915E-01         -273.1500                        7214.5454545453
  147   0.10326063939715E-01         -273.1500                        7215.4545454543
  148   0.10420910901304E-01         -273.1500                        7216.3636363634
  149   0.11240613553093E-01         -273.1500                        8986.3636363634
  150   0.11240622491287E-01         -273.1500                        8987.3636363634
  151   0.11240629733589E-01         -273.1500                        8988.3636363634
  152   0.11240665804340E-01         -273.1500                        8989.3636363634
  153   0.11240856559344E-01         -273.1500                        8990.3636363634
  154   0.11241597711610E-01         -273.1500                        8991.3636363634
  155   0.11243719727198E-01         -273.1500                        8992.3636363634
  156   0.11248458888907E-01         -273.1500                        8993.3636363634
  157   0.11257199721476E-01         -273.1500                        8994.3636363634
  158   0.11271115997067E-01         -273.1500                        8995.3636363634
  159   0.11290786022882E-01         -273.1500                        8996.3636363634
  160   0.11316363217167E-01         -273.1500                        8997.3636363634
  161   0.11347603055149E-01         -273.1500                        8998.3636363634
  162   0.11383931213483E-01         -273.1500                        8999.3636363634
  163   0.11424565281148E-01         -273.1500                        9000.3636363634
  164   0.11468643284119E-01         -273.1500                        9001.3636363634
  165   0.11515241632575E-01         -273.1500                        9002.3636363634
  166   0.11563440364535E-01         -273.1500                        9003.3636363634
  167   0.11612367354976E-01         -273.1500                        9004.3636363634
  168   0.11660706459539E-01         -273.1500                        9005.3636363634
  169   0.11707686314695E-01         -273.1500                        9006.3636363634
  170   0.11752766523335E-01         -273.1500                        9007.3636363634
  171   0.11795499635620E-01         -273.1500                        9008.3636363634
  172   0.11835524815963E-01         -273.1500                        9009.3636363634
  173   0.11872556904229E-01         -273.1500                        9010.3636363634
  174   0.11906392658684E-01         -273.1500                        9011.3636363634
  175   0.11936912095486E-01         -273.1500                        9012.3636363634
  176   0.11964063869776E-01         -273.1500                        9013.3636363634
  177   0.11987865481265E-01         -273.1500                        9014.3636363634
  178   0.12008399631361E-01         -273.1500                        9015.3636363634
  179   0.12025812651828E-01         -273.1500                        9016.3636363634
  180   0.13254941024719E-01         -273.1500                       10786.3636363634
  181   0.13255183100097E-01         -273.1500                       10787.5454545452
  182   0.13255423977030E-01         -273.1500                       10788.7272727271
  183   0.13255658206804E-01         -273.1500                       10789.9090909089
  184   0.13255885570342E-01         -273.1500                       10791.0909090907
  185   0.13256109158965E-01         -273.1500                       10792.2727272725
  186   0.13256333280697E-01         -273.1500                       10793.4545454543
  187   0.13256565462292E-01         -273.1500                       10794.6363636361
  188   0.13256816568046E-01         -273.1500                       10795.8181818179
  189   0.13257104952151E-01         -273.1500                       10796.9999999997
  190   0.13257471880737E-01         -273.1500                       10798.1818181815
