  LS    nlcreq                        Temp                       Time    
  1     0.14164496114924E-15         -273.1500                       -1301.7181818182
  2     0.80909647369784E-02         -273.1500                       -1172.2181818182
  3     0.12180030232942E-01         -273.1500                       -1001.8181818182
  4     0.12953530946607E-01         -273.1500                          -1.8181818182
  5     0.12953576392543E-01         -273.1500                          -0.9090909091
  6     0.12953587188329E-01         -273.1500                           0.0000000000
  7     0.12953597850281E-01         -273.1500                           0.9090909091
  8     0.12953632540771E-01         -273.1500                           1.8181818182
  9     0.12953776787980E-01         -273.1500                           2.7272727273
  10    0.12954375760801E-01         -273.1500                           3.6363636364
  11    0.12956611239486E-01         -273.1500                           4.5454545455
  12    0.12963817422902E-01         -273.1500                           5.4545454545
  13    0.12982992358544E-01         -273.1500                           6.3636363636
  14    0.13024046935589E-01         -273.1500                           7.2727272727
  15    0.13095468456448E-01         -273.1500                           8.1818181818
  16    0.13197740772898E-01         -273.1500                           9.0909090909
  17    0.13374545688451E-01         -273.1500                          10.0000000000
  18    0.13753184297334E-01         -273.1500                          10.9090909091
  19    0.14312407500120E-01         -273.1500                          11.8181818182
  20    0.14837498729202E-01         -273.1500                          12.7272727273
  21    0.15207456966490E-01         -273.1500                          13.6363636364
  22    0.15405948975189E-01         -273.1500                          14.5454545454
  23    0.15501816879133E-01         -273.1500                          15.4545454545
  24    0.15633998835378E-01         -273.1500                          16.3636363636
  25    0.16903545958775E-01         -273.1500                        1786.3636363636
  26    0.16903596142648E-01         -273.1500                        1787.3636363636
  27    0.16908654807213E-01         -273.1500                        1788.3636363636
  28    0.17028502439668E-01         -273.1500                        1789.3636363636
  29    0.17560695903731E-01         -273.1500                        1790.3636363636
  30    0.18437109995311E-01         -273.1500                        1791.3636363636
  31    0.19379862955264E-01         -273.1500                        1792.3636363636
  32    0.20040614306151E-01         -273.1500                        1793.3636363636
  33    0.20421021369950E-01         -273.1500                        1794.3636363636
  34    0.20705454320471E-01         -273.1500                        1795.3636363636
  35    0.20945961372703E-01         -273.1500                        1796.3636363636
  36    0.21162980048648E-01         -273.1500                        1797.3636363636
  37    0.21362027213375E-01         -273.1500                        1798.3636363636
  38    0.21551858362133E-01         -273.1500                        1799.3636363636
  39    0.21733889586313E-01         -273.1500                        1800.3636363636
  40    0.21908831387997E-01         -273.1500                        1801.3636363636
  41    0.22077176498854E-01         -273.1500                        1802.3636363636
  42    0.22239125330065E-01         -273.1500                        1803.3636363636
  43    0.22394798915446E-01         -273.1500                        1804.3636363636
  44    0.22541643388047E-01         -273.1500                        1805.3636363636
  45    0.22680068726790E-01         -273.1500                        1806.3636363636
  46    0.22810820739594E-01         -273.1500                        1807.3636363636
  47    0.22934330127843E-01         -273.1500                        1808.3636363636
  48    0.23050781235232E-01         -273.1500                        1809.3636363636
  49    0.23160234076028E-01         -273.1500                        1810.3636363636
  50    0.23262691204100E-01         -273.1500                        1811.3636363636
  51    0.23358130658224E-01         -273.1500                        1812.3636363636
  52    0.23446503711673E-01         -273.1500                        1813.3636363636
  53    0.23527762686933E-01         -273.1500                        1814.3636363636
  54    0.23601874359004E-01         -273.1500                        1815.3636363636
  55    0.23668833093389E-01         -273.1500                        1816.3636363636
  56    0.25337491633152E-01         -273.1500                        3586.3636363636
  57    0.25337633301164E-01         -273.1500                        3587.5454545454
  58    0.25337715256878E-01         -273.1500                        3588.7272727272
  59    0.25337757274686E-01         -273.1500                        3589.9090909091
  60    0.25337780655507E-01         -273.1500                        3591.0909090909
  61    0.25337806808920E-01         -273.1500                        3592.2727272727
  62    0.25337869951174E-01         -273.1500                        3593.4545454545
  63    0.25338060341445E-01         -273.1500                        3594.6363636363
  64    0.25338617383467E-01         -273.1500                        3595.8181818181
  65    0.25340173899133E-01         -273.1500                        3596.9999999999
  66    0.25344582051616E-01         -273.1500                        3598.1818181817
  67    0.25352324716961E-01         -273.1500                        3599.0909090908
  68    0.25369058598918E-01         -273.1500                        3599.9999999999
  69    0.25401966627997E-01         -273.1500                        3600.9090909090
  70    0.25459126469714E-01         -273.1500                        3601.8181818181
  71    0.25547271101356E-01         -273.1500                        3602.7272727272
  72    0.25667498354092E-01         -273.1500                        3603.6363636363
  73    0.25814654446774E-01         -273.1500                        3604.5454545454
  74    0.25982268067674E-01         -273.1500                        3605.4545454544
  75    0.26161379354121E-01         -273.1500                        3606.3636363635
  76    0.26346353160731E-01         -273.1500                        3607.2727272726
  77    0.26532370453122E-01         -273.1500                        3608.1818181817
  78    0.26712467117296E-01         -273.1500                        3609.0909090908
  79    0.26938698068536E-01         -273.1500                        3609.9999999999
  80    0.27327938665838E-01         -273.1500                        3610.9090909090
  81    0.27843607275713E-01         -273.1500                        3611.8181818181
  82    0.28302604501209E-01         -273.1500                        3612.7272727272
  83    0.28657232979274E-01         -273.1500                        3613.6363636363
  84    0.28936712183483E-01         -273.1500                        3614.5454545453
  85    0.29189114610955E-01         -273.1500                        3615.4545454544
  86    0.29576739199796E-01         -273.1500                        3616.3636363635
  87    0.32679474559543E-01         -273.1500                        5386.3636363635
  88    0.32679486523844E-01         -273.1500                        5387.3636363635
  89    0.32682253482908E-01         -273.1500                        5388.3636363635
  90    0.32781532002152E-01         -273.1500                        5389.3636363635
  91    0.33268219182538E-01         -273.1500                        5390.3636363635
