  LS    nlcreq                        Temp                       Time    
  1     0.52391761543854E-15         -273.1500                       -1301.7181818182
  2     0.79982377882998E-03         -273.1500                       -1172.2181818182
  3     0.24286274020196E-02         -273.1500                       -1001.8181818182
  4     0.30587457250982E-02         -273.1500                          -1.8181818182
  5     0.30588094567391E-02         -273.1500                          -0.9090909091
  6     0.30588307044065E-02         -273.1500                           0.0000000000
  7     0.30588400082319E-02         -273.1500                           0.9090909091
  8     0.30588510473876E-02         -273.1500                           1.8181818182
  9     0.30588796273764E-02         -273.1500                           2.7272727273
  10    0.30589742603350E-02         -273.1500                           3.6363636364
  11    0.30592986924837E-02         -273.1500                           4.5454545455
  12    0.30603747355904E-02         -273.1500                           5.4545454545
  13    0.30636920703715E-02         -273.1500                           6.3636363636
  14    0.30727197302763E-02         -273.1500                           7.2727272727
  15    0.30934420108873E-02         -273.1500                           8.1818181818
  16    0.31329140671559E-02         -273.1500                           9.0909090909
  17    0.31964274393161E-02         -273.1500                          10.0000000000
  18    0.32852757698645E-02         -273.1500                          10.9090909091
  19    0.33967589943239E-02         -273.1500                          11.8181818182
  20    0.35257866898451E-02         -273.1500                          12.7272727273
  21    0.36665860495106E-02         -273.1500                          13.6363636364
  22    0.38149139561563E-02         -273.1500                          14.5454545454
  23    0.39687538243959E-02         -273.1500                          15.4545454545
  24    0.41254307540929E-02         -273.1500                          16.3636363636
  25    0.47395875499648E-02         -273.1500                        1786.3636363636
  26    0.47395877967284E-02         -273.1500                        1787.3636363636
  27    0.47395885282577E-02         -273.1500                        1788.3636363636
  28    0.47396295580620E-02         -273.1500                        1789.3636363636
  29    0.47401260020007E-02         -273.1500                        1790.3636363636
  30    0.47427168387985E-02         -273.1500                        1791.3636363636
  31    0.47508511706325E-02         -273.1500                        1792.3636363636
  32    0.47689332139706E-02         -273.1500                        1793.3636363636
  33    0.48003561959437E-02         -273.1500                        1794.3636363636
  34    0.48462764756269E-02         -273.1500                        1795.3636363636
  35    0.49051425441817E-02         -273.1500                        1796.3636363636
  36    0.49744981454229E-02         -273.1500                        1797.3636363636
  37    0.50516115799061E-02         -273.1500                        1798.3636363636
  38    0.51339353073350E-02         -273.1500                        1799.3636363636
  39    0.52193076413931E-02         -273.1500                        1800.3636363636
  40    0.53059773719681E-02         -273.1500                        1801.3636363636
  41    0.53925646855317E-02         -273.1500                        1802.3636363636
  42    0.54780081452868E-02         -273.1500                        1803.3636363636
  43    0.55614908521038E-02         -273.1500                        1804.3636363636
  44    0.56412224145401E-02         -273.1500                        1805.3636363636
  45    0.57167630010591E-02         -273.1500                        1806.3636363636
  46    0.57879906476983E-02         -273.1500                        1807.3636363636
  47    0.58547839533904E-02         -273.1500                        1808.3636363636
  48    0.59170314133313E-02         -273.1500                        1809.3636363636
  49    0.59746313419964E-02         -273.1500                        1810.3636363636
  50    0.60275106578866E-02         -273.1500                        1811.3636363636
  51    0.60756357035361E-02         -273.1500                        1812.3636363636
  52    0.61190094157248E-02         -273.1500                        1813.3636363636
  53    0.61576754730685E-02         -273.1500                        1814.3636363636
  54    0.61917215557332E-02         -273.1500                        1815.3636363636
  55    0.62212846780323E-02         -273.1500                        1816.3636363636
  56    0.74922851583182E-02         -273.1500                        3586.3636363636
  57    0.74924450557232E-02         -273.1500                        3587.5454545454
  58    0.74925672347705E-02         -273.1500                        3588.7272727272
  59    0.74926508584491E-02         -273.1500                        3589.9090909091
  60    0.74927020986026E-02         -273.1500                        3591.0909090909
  61    0.74927309216467E-02         -273.1500                        3592.2727272727
  62    0.74927478529184E-02         -273.1500                        3593.4545454545
