 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
      -40.0 -0.5060E-15  0.2172E-14 -0.5067E-15 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.49525000E-05 -0.13442500E-05 -0.49525000E-05
      -39.0  0.5072E-15 -0.2172E-14  0.5068E-15  0.1415E-04  0.1415E-04  0.1415E-04  0.49525000E-05  0.13442500E-05  0.49525000E-05
        0.0 -0.5083E-15  0.2172E-14 -0.5085E-15 -0.1415E-04 -0.1415E-04 -0.1415E-04 -0.49525000E-05 -0.13442500E-05 -0.49525000E-05
        1.0  0.5053E-15 -0.2170E-14  0.5051E-15  0.1415E-04  0.1415E-04  0.1415E-04  0.49525000E-05  0.13442500E-05  0.49525000E-05
       85.0 -0.5492E-15  0.2342E-14 -0.5494E-15 -0.1525E-04 -0.1525E-04 -0.1525E-04 -0.53359250E-05 -0.14483225E-05 -0.53359250E-05
       86.0  0.6012E-15 -0.2580E-14  0.6016E-15  0.1681E-04  0.1681E-04  0.1681E-04  0.58836750E-05  0.15969975E-05  0.58836750E-05
       90.0 -0.1114E-14  0.4749E-14 -0.1117E-14 -0.3090E-04 -0.3090E-04 -0.3090E-04 -0.10813425E-04 -0.29350725E-05 -0.10813425E-04
       91.0  0.1166E-14 -0.4985E-14  0.1162E-14  0.3246E-04  0.3246E-04  0.3246E-04  0.11361175E-04  0.30837475E-05  0.11361175E-04
       95.0 -0.1626E-14  0.6976E-14 -0.1626E-14 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.15907500E-04 -0.43177500E-05 -0.15907500E-04
       96.0  0.1623E-14 -0.6971E-14  0.1624E-14  0.4545E-04  0.4545E-04  0.4545E-04  0.15907500E-04  0.43177500E-05  0.15907500E-04
      180.0 -0.1628E-14  0.6977E-14 -0.1630E-14 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.15907500E-04 -0.43177500E-05 -0.15907500E-04
      181.0  0.1631E-14 -0.6976E-14  0.1628E-14  0.4545E-04  0.4545E-04  0.4545E-04  0.15907500E-04  0.43177500E-05  0.15907500E-04
